Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,401.34,444.33,47.19,47.19,entsoe.eu,False,
2021-01-01 01:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,416.08,459.77,45.25,45.25,entsoe.eu,False,
2021-01-01 02:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,430.02,474.37,43.42,43.42,entsoe.eu,False,
2021-01-01 03:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,420.89,464.79,44.62,44.62,entsoe.eu,False,
2021-01-01 04:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,367.51,408.89,51.64,51.64,entsoe.eu,False,
2021-01-01 05:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,350.92,391.51,53.83,53.83,entsoe.eu,False,
2021-01-01 06:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,355.79,396.58,53.19,53.19,entsoe.eu,False,
2021-01-01 07:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,374.57,416.25,50.71,50.71,entsoe.eu,False,
2021-01-01 08:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,379.56,421.53,50.06,50.0,entsoe.eu,False,
2021-01-01 09:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,363.99,405.26,52.11,51.99,entsoe.eu,False,
2021-01-01 10:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,355.38,396.21,53.24,53.1,entsoe.eu,False,
2021-01-01 11:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,364.11,405.29,52.09,52.04,entsoe.eu,False,
2021-01-01 12:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,371.04,412.54,51.18,51.12,entsoe.eu,False,
2021-01-01 13:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,336.71,376.5,55.7,55.7,entsoe.eu,False,
2021-01-01 14:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,343.04,383.06,54.86,54.86,entsoe.eu,False,
2021-01-01 15:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,376.5,418.1,50.46,50.46,entsoe.eu,False,
2021-01-01 16:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,301.76,339.83,60.29,60.29,entsoe.eu,False,
2021-01-01 17:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,372.58,414.03,50.98,50.98,entsoe.eu,False,
2021-01-01 18:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,339.38,379.24,55.35,55.35,entsoe.eu,False,
2021-01-01 19:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,372.94,414.4,50.93,50.93,entsoe.eu,False,
2021-01-01 20:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,380.0,421.8,50.0,50.0,entsoe.eu,False,
2021-01-01 21:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,358.62,399.42,52.81,52.81,entsoe.eu,False,
