Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Belgium,Belgium,BE,194.53,256.74,62.54,12.89,entsoe.eu,False,
2021-01-01 01:00:00,Belgium,Belgium,BE,188.77,249.59,64.05,13.14,entsoe.eu,False,
2021-01-01 02:00:00,Belgium,Belgium,BE,164.69,221.43,68.08,12.48,entsoe.eu,False,
2021-01-01 03:00:00,Belgium,Belgium,BE,139.85,192.93,71.42,11.78,entsoe.eu,False,
2021-01-01 04:00:00,Belgium,Belgium,BE,157.26,212.67,69.23,12.73,entsoe.eu,False,
2021-01-01 05:00:00,Belgium,Belgium,BE,171.25,228.19,67.7,13.49,entsoe.eu,False,
2021-01-01 06:00:00,Belgium,Belgium,BE,168.45,225.53,67.5,12.71,entsoe.eu,False,
2021-01-01 07:00:00,Belgium,Belgium,BE,171.88,229.74,66.71,12.24,entsoe.eu,False,
2021-01-01 08:00:00,Belgium,Belgium,BE,174.22,233.08,65.67,13.34,entsoe.eu,False,
2021-01-01 09:00:00,Belgium,Belgium,BE,163.22,220.72,67.63,18.04,entsoe.eu,False,
2021-01-01 10:00:00,Belgium,Belgium,BE,147.18,202.78,69.74,21.95,entsoe.eu,False,
2021-01-01 11:00:00,Belgium,Belgium,BE,143.12,198.0,71.14,24.86,entsoe.eu,False,
2021-01-01 12:00:00,Belgium,Belgium,BE,133.57,187.32,72.41,24.35,entsoe.eu,False,
2021-01-01 13:00:00,Belgium,Belgium,BE,132.95,187.06,71.65,20.8,entsoe.eu,False,
2021-01-01 14:00:00,Belgium,Belgium,BE,134.36,187.95,71.17,18.53,entsoe.eu,False,
2021-01-01 15:00:00,Belgium,Belgium,BE,140.44,194.57,69.53,14.34,entsoe.eu,False,
2021-01-01 16:00:00,Belgium,Belgium,BE,158.05,213.66,67.19,16.97,entsoe.eu,False,
2021-01-01 17:00:00,Belgium,Belgium,BE,185.53,247.11,62.11,16.88,entsoe.eu,False,
2021-01-01 18:00:00,Belgium,Belgium,BE,192.94,256.3,60.7,16.22,entsoe.eu,False,
2021-01-01 19:00:00,Belgium,Belgium,BE,193.1,257.25,60.12,15.15,entsoe.eu,False,
2021-01-01 20:00:00,Belgium,Belgium,BE,201.85,268.65,57.7,13.62,entsoe.eu,False,
2021-01-01 21:00:00,Belgium,Belgium,BE,210.96,279.33,56.44,13.66,entsoe.eu,False,
2021-01-01 22:00:00,Belgium,Belgium,BE,215.42,282.89,57.48,15.34,entsoe.eu,False,
2021-01-01 23:00:00,Belgium,Belgium,BE,198.04,260.9,62.3,16.49,entsoe.eu,False,
2021-01-02 00:00:00,Belgium,Belgium,BE,191.11,251.7,65.04,16.09,entsoe.eu,False,
2021-01-02 01:00:00,Belgium,Belgium,BE,184.35,244.31,65.81,13.76,entsoe.eu,False,
2021-01-02 02:00:00,Belgium,Belgium,BE,182.08,242.16,65.7,13.32,entsoe.eu,False,
2021-01-02 03:00:00,Belgium,Belgium,BE,175.47,234.21,67.01,13.06,entsoe.eu,False,
2021-01-02 04:00:00,Belgium,Belgium,BE,175.46,234.38,66.79,12.93,entsoe.eu,False,
2021-01-02 05:00:00,Belgium,Belgium,BE,181.61,242.32,64.8,12.41,entsoe.eu,False,
2021-01-02 06:00:00,Belgium,Belgium,BE,201.66,266.39,60.4,12.63,entsoe.eu,False,
2021-01-02 07:00:00,Belgium,Belgium,BE,220.29,290.88,54.56,10.74,entsoe.eu,False,
2021-01-02 08:00:00,Belgium,Belgium,BE,226.9,299.37,52.68,11.37,entsoe.eu,False,
2021-01-02 09:00:00,Belgium,Belgium,BE,203.96,273.35,56.18,16.08,entsoe.eu,False,
2021-01-02 10:00:00,Belgium,Belgium,BE,199.08,267.81,57.01,17.01,entsoe.eu,False,
2021-01-02 11:00:00,Belgium,Belgium,BE,197.32,265.14,57.37,18.13,entsoe.eu,False,
2021-01-02 12:00:00,Belgium,Belgium,BE,196.1,264.42,57.11,16.22,entsoe.eu,False,
2021-01-02 13:00:00,Belgium,Belgium,BE,193.62,262.1,57.15,14.17,entsoe.eu,False,
2021-01-02 14:00:00,Belgium,Belgium,BE,198.01,267.89,55.47,11.47,entsoe.eu,False,
2021-01-02 15:00:00,Belgium,Belgium,BE,203.25,274.09,54.16,8.8,entsoe.eu,False,
2021-01-02 16:00:00,Belgium,Belgium,BE,217.32,286.93,54.67,10.68,entsoe.eu,False,
2021-01-02 17:00:00,Belgium,Belgium,BE,231.72,303.45,52.55,11.98,entsoe.eu,False,
2021-01-02 18:00:00,Belgium,Belgium,BE,238.58,311.23,51.53,12.77,entsoe.eu,False,
2021-01-02 19:00:00,Belgium,Belgium,BE,244.13,319.24,49.62,11.02,entsoe.eu,False,
2021-01-02 20:00:00,Belgium,Belgium,BE,242.53,317.56,49.74,10.83,entsoe.eu,False,
2021-01-02 21:00:00,Belgium,Belgium,BE,241.17,314.96,51.12,11.27,entsoe.eu,False,
2021-01-02 22:00:00,Belgium,Belgium,BE,239.31,311.55,52.48,12.46,entsoe.eu,False,
2021-01-02 23:00:00,Belgium,Belgium,BE,221.25,289.06,57.47,12.7,entsoe.eu,False,
2021-01-03 00:00:00,Belgium,Belgium,BE,211.12,276.57,60.05,13.59,entsoe.eu,False,
2021-01-03 01:00:00,Belgium,Belgium,BE,204.89,269.68,60.92,14.04,entsoe.eu,False,
2021-01-03 02:00:00,Belgium,Belgium,BE,200.94,265.58,60.95,13.95,entsoe.eu,False,
2021-01-03 03:00:00,Belgium,Belgium,BE,191.57,255.18,61.84,14.42,entsoe.eu,False,
2021-01-03 04:00:00,Belgium,Belgium,BE,189.21,251.77,62.93,16.21,entsoe.eu,False,
2021-01-03 05:00:00,Belgium,Belgium,BE,190.25,252.61,62.8,17.91,entsoe.eu,False,
2021-01-03 06:00:00,Belgium,Belgium,BE,196.59,260.24,61.41,17.76,entsoe.eu,False,
2021-01-03 07:00:00,Belgium,Belgium,BE,198.59,261.92,61.27,19.14,entsoe.eu,False,
2021-01-03 08:00:00,Belgium,Belgium,BE,202.17,266.07,60.44,19.53,entsoe.eu,False,
2021-01-03 09:00:00,Belgium,Belgium,BE,183.13,243.52,64.14,24.82,entsoe.eu,False,
2021-01-03 10:00:00,Belgium,Belgium,BE,176.87,235.72,65.5,27.53,entsoe.eu,False,
2021-01-03 11:00:00,Belgium,Belgium,BE,176.52,234.26,66.31,29.47,entsoe.eu,False,
2021-01-03 12:00:00,Belgium,Belgium,BE,172.4,229.67,66.84,29.46,entsoe.eu,False,
2021-01-03 13:00:00,Belgium,Belgium,BE,164.37,221.11,67.39,29.51,entsoe.eu,False,
2021-01-03 14:00:00,Belgium,Belgium,BE,155.44,210.28,68.99,30.66,entsoe.eu,False,
2021-01-03 15:00:00,Belgium,Belgium,BE,157.78,212.13,68.56,29.84,entsoe.eu,False,
2021-01-03 16:00:00,Belgium,Belgium,BE,173.16,229.83,65.64,29.94,entsoe.eu,False,
2021-01-03 17:00:00,Belgium,Belgium,BE,179.34,235.73,65.64,33.21,entsoe.eu,False,
2021-01-03 18:00:00,Belgium,Belgium,BE,177.74,236.5,64.1,30.83,entsoe.eu,False,
2021-01-03 19:00:00,Belgium,Belgium,BE,166.61,222.58,66.96,32.16,entsoe.eu,False,
2021-01-03 20:00:00,Belgium,Belgium,BE,165.03,221.15,67.01,30.79,entsoe.eu,False,
2021-01-03 21:00:00,Belgium,Belgium,BE,165.53,223.04,65.16,30.17,entsoe.eu,False,
2021-01-03 22:00:00,Belgium,Belgium,BE,157.44,213.32,66.92,29.5,entsoe.eu,False,
2021-01-03 23:00:00,Belgium,Belgium,BE,151.67,206.18,68.2,29.48,entsoe.eu,False,
2021-01-04 00:00:00,Belgium,Belgium,BE,151.45,204.51,69.95,29.45,entsoe.eu,False,
2021-01-04 01:00:00,Belgium,Belgium,BE,143.36,196.26,69.89,29.0,entsoe.eu,False,
2021-01-04 02:00:00,Belgium,Belgium,BE,143.56,196.28,69.93,28.61,entsoe.eu,False,
2021-01-04 03:00:00,Belgium,Belgium,BE,144.83,197.05,70.79,29.23,entsoe.eu,False,
2021-01-04 04:00:00,Belgium,Belgium,BE,143.04,195.69,69.93,30.78,entsoe.eu,False,
2021-01-04 05:00:00,Belgium,Belgium,BE,158.88,213.77,67.48,30.6,entsoe.eu,False,
2021-01-04 06:00:00,Belgium,Belgium,BE,179.37,237.81,63.82,29.37,entsoe.eu,False,
2021-01-04 07:00:00,Belgium,Belgium,BE,191.29,253.32,60.26,27.52,entsoe.eu,False,
2021-01-04 08:00:00,Belgium,Belgium,BE,186.23,247.91,60.52,27.75,entsoe.eu,False,
2021-01-04 09:00:00,Belgium,Belgium,BE,174.92,236.16,61.34,29.39,entsoe.eu,False,
2021-01-04 10:00:00,Belgium,Belgium,BE,168.36,227.78,62.97,30.94,entsoe.eu,False,
2021-01-04 11:00:00,Belgium,Belgium,BE,173.93,234.48,62.11,30.85,entsoe.eu,False,
2021-01-04 12:00:00,Belgium,Belgium,BE,175.24,236.51,61.57,30.56,entsoe.eu,False,
