Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Bulgaria,Bulgaria,BG,350.64,375.83,59.33,9.74,eso.bg,False,
2021-01-01 01:00:00,Bulgaria,Bulgaria,BG,327.2,352.4,61.39,10.3,eso.bg,False,
2021-01-01 02:00:00,Bulgaria,Bulgaria,BG,351.9,376.35,59.1,8.15,eso.bg,False,
2021-01-01 03:00:00,Bulgaria,Bulgaria,BG,341.19,366.27,59.95,8.32,eso.bg,False,
2021-01-01 04:00:00,Bulgaria,Bulgaria,BG,330.95,356.42,60.87,9.22,eso.bg,False,
2021-01-01 05:00:00,Bulgaria,Bulgaria,BG,323.74,349.35,61.64,10.94,eso.bg,False,
2021-01-01 06:00:00,Bulgaria,Bulgaria,BG,309.38,335.05,63.23,14.12,eso.bg,False,
2021-01-01 07:00:00,Bulgaria,Bulgaria,BG,299.59,325.87,64.38,17.28,eso.bg,False,
2021-01-01 08:00:00,Bulgaria,Bulgaria,BG,289.39,315.37,65.56,19.57,eso.bg,False,
2021-01-01 09:00:00,Bulgaria,Bulgaria,BG,287.96,313.82,65.99,21.19,eso.bg,False,
2021-01-01 10:00:00,Bulgaria,Bulgaria,BG,284.42,310.52,66.32,21.67,eso.bg,False,
2021-01-01 11:00:00,Bulgaria,Bulgaria,BG,281.27,307.71,66.59,22.16,eso.bg,False,
2021-01-01 12:00:00,Bulgaria,Bulgaria,BG,288.45,314.97,65.72,20.22,eso.bg,False,
2021-01-01 13:00:00,Bulgaria,Bulgaria,BG,302.18,328.67,64.14,16.42,eso.bg,False,
2021-01-01 14:00:00,Bulgaria,Bulgaria,BG,313.26,339.65,62.83,13.72,eso.bg,False,
2021-01-01 15:00:00,Bulgaria,Bulgaria,BG,295.39,319.42,65.3,21.27,eso.bg,False,
2021-01-01 16:00:00,Bulgaria,Bulgaria,BG,292.7,315.71,65.93,24.55,eso.bg,False,
2021-01-01 17:00:00,Bulgaria,Bulgaria,BG,297.08,319.67,65.54,23.9,eso.bg,False,
2021-01-01 18:00:00,Bulgaria,Bulgaria,BG,303.12,325.76,64.88,22.23,eso.bg,False,
2021-01-01 19:00:00,Bulgaria,Bulgaria,BG,316.7,340.0,63.28,18.88,eso.bg,False,
2021-01-01 20:00:00,Bulgaria,Bulgaria,BG,314.0,337.9,63.33,17.66,eso.bg,False,
2021-01-01 21:00:00,Bulgaria,Bulgaria,BG,311.48,335.64,63.29,15.57,eso.bg,False,
2021-01-01 22:00:00,Bulgaria,Bulgaria,BG,352.21,377.12,59.12,8.42,eso.bg,False,
2021-01-01 23:00:00,Bulgaria,Bulgaria,BG,346.6,373.39,59.43,8.98,eso.bg,False,
2021-01-02 00:00:00,Bulgaria,Bulgaria,BG,334.38,361.47,60.28,8.58,eso.bg,False,
2021-01-02 01:00:00,Bulgaria,Bulgaria,BG,335.31,362.12,60.07,7.96,eso.bg,False,
2021-01-02 02:00:00,Bulgaria,Bulgaria,BG,334.93,361.35,60.04,7.34,eso.bg,False,
2021-01-02 03:00:00,Bulgaria,Bulgaria,BG,336.15,362.69,59.81,7.76,eso.bg,False,
2021-01-02 04:00:00,Bulgaria,Bulgaria,BG,337.36,364.61,59.3,8.73,eso.bg,False,
2021-01-02 05:00:00,Bulgaria,Bulgaria,BG,336.15,362.82,59.52,7.82,eso.bg,False,
2021-01-02 06:00:00,Bulgaria,Bulgaria,BG,354.68,380.28,57.96,7.46,eso.bg,False,
2021-01-02 07:00:00,Bulgaria,Bulgaria,BG,361.14,386.67,57.84,11.65,eso.bg,False,
2021-01-02 08:00:00,Bulgaria,Bulgaria,BG,356.81,381.56,58.89,13.97,eso.bg,False,
2021-01-02 09:00:00,Bulgaria,Bulgaria,BG,343.97,369.28,59.88,14.86,eso.bg,False,
2021-01-02 10:00:00,Bulgaria,Bulgaria,BG,321.5,347.5,61.73,16.02,eso.bg,False,
2021-01-02 11:00:00,Bulgaria,Bulgaria,BG,321.17,347.13,61.85,15.98,eso.bg,False,
2021-01-02 12:00:00,Bulgaria,Bulgaria,BG,325.76,351.88,61.27,15.24,eso.bg,False,
2021-01-02 13:00:00,Bulgaria,Bulgaria,BG,338.65,364.54,60.03,12.58,eso.bg,False,
2021-01-02 14:00:00,Bulgaria,Bulgaria,BG,388.9,413.09,55.63,10.07,eso.bg,False,
2021-01-02 15:00:00,Bulgaria,Bulgaria,BG,368.88,391.31,58.48,18.03,eso.bg,False,
2021-01-02 16:00:00,Bulgaria,Bulgaria,BG,344.76,367.12,61.14,23.76,eso.bg,False,
2021-01-02 17:00:00,Bulgaria,Bulgaria,BG,345.01,367.49,61.09,23.46,eso.bg,False,
2021-01-02 18:00:00,Bulgaria,Bulgaria,BG,354.92,378.04,59.96,21.42,eso.bg,False,
2021-01-02 19:00:00,Bulgaria,Bulgaria,BG,371.63,395.52,58.08,17.52,eso.bg,False,
2021-01-02 20:00:00,Bulgaria,Bulgaria,BG,377.89,402.73,57.2,14.98,eso.bg,False,
2021-01-02 21:00:00,Bulgaria,Bulgaria,BG,365.05,391.06,57.99,13.54,eso.bg,False,
2021-01-02 22:00:00,Bulgaria,Bulgaria,BG,335.09,361.52,60.74,14.78,eso.bg,False,
2021-01-02 23:00:00,Bulgaria,Bulgaria,BG,336.05,361.31,60.77,13.56,eso.bg,False,
2021-01-03 00:00:00,Bulgaria,Bulgaria,BG,332.43,357.99,61.16,14.36,eso.bg,False,
2021-01-03 01:00:00,Bulgaria,Bulgaria,BG,357.45,382.88,58.72,12.21,eso.bg,False,
2021-01-03 02:00:00,Bulgaria,Bulgaria,BG,363.97,389.04,58.03,11.18,eso.bg,False,
2021-01-03 03:00:00,Bulgaria,Bulgaria,BG,344.0,369.63,59.88,12.81,eso.bg,False,
2021-01-03 04:00:00,Bulgaria,Bulgaria,BG,332.11,357.56,60.98,13.71,eso.bg,False,
2021-01-03 05:00:00,Bulgaria,Bulgaria,BG,331.17,357.07,61.07,14.32,eso.bg,False,
2021-01-03 06:00:00,Bulgaria,Bulgaria,BG,328.15,353.9,61.5,15.43,eso.bg,False,
2021-01-03 07:00:00,Bulgaria,Bulgaria,BG,352.22,377.21,59.52,15.1,eso.bg,False,
2021-01-03 08:00:00,Bulgaria,Bulgaria,BG,366.05,390.12,58.61,16.67,eso.bg,False,
2021-01-03 09:00:00,Bulgaria,Bulgaria,BG,372.39,396.12,58.17,17.33,eso.bg,False,
2021-01-03 10:00:00,Bulgaria,Bulgaria,BG,372.86,396.73,58.03,17.26,eso.bg,False,
2021-01-03 11:00:00,Bulgaria,Bulgaria,BG,382.42,406.37,57.05,15.51,eso.bg,False,
2021-01-03 12:00:00,Bulgaria,Bulgaria,BG,388.26,412.49,56.21,12.97,eso.bg,False,
2021-01-03 13:00:00,Bulgaria,Bulgaria,BG,392.58,417.25,55.59,11.31,eso.bg,False,
2021-01-03 14:00:00,Bulgaria,Bulgaria,BG,389.38,413.82,56.0,12.44,eso.bg,False,
2021-01-03 15:00:00,Bulgaria,Bulgaria,BG,358.78,381.76,59.4,19.43,eso.bg,False,
2021-01-03 16:00:00,Bulgaria,Bulgaria,BG,354.67,376.3,60.4,24.34,eso.bg,False,
2021-01-03 17:00:00,Bulgaria,Bulgaria,BG,352.63,373.98,60.61,24.3,eso.bg,False,
2021-01-03 18:00:00,Bulgaria,Bulgaria,BG,362.85,384.69,59.35,21.28,eso.bg,False,
2021-01-03 19:00:00,Bulgaria,Bulgaria,BG,401.56,424.23,55.24,14.37,eso.bg,False,
2021-01-03 20:00:00,Bulgaria,Bulgaria,BG,407.76,431.26,54.35,11.58,eso.bg,False,
2021-01-03 21:00:00,Bulgaria,Bulgaria,BG,402.78,427.18,54.44,9.25,eso.bg,False,
2021-01-03 22:00:00,Bulgaria,Bulgaria,BG,388.29,413.1,55.53,7.7,eso.bg,False,
2021-01-03 23:00:00,Bulgaria,Bulgaria,BG,387.95,413.42,55.5,7.57,eso.bg,False,
2021-01-04 00:00:00,Bulgaria,Bulgaria,BG,397.29,422.8,54.55,6.84,eso.bg,False,
2021-01-04 01:00:00,Bulgaria,Bulgaria,BG,385.26,411.49,55.44,8.25,eso.bg,False,
2021-01-04 02:00:00,Bulgaria,Bulgaria,BG,380.93,406.68,55.85,7.86,eso.bg,False,
2021-01-04 03:00:00,Bulgaria,Bulgaria,BG,395.99,421.23,54.48,7.01,eso.bg,False,
2021-01-04 04:00:00,Bulgaria,Bulgaria,BG,399.51,424.94,54.06,7.42,eso.bg,False,
2021-01-04 05:00:00,Bulgaria,Bulgaria,BG,421.64,444.29,52.82,8.88,eso.bg,False,
2021-01-04 06:00:00,Bulgaria,Bulgaria,BG,421.66,444.2,53.29,12.81,eso.bg,False,
2021-01-04 07:00:00,Bulgaria,Bulgaria,BG,424.01,446.13,53.36,15.54,eso.bg,False,
2021-01-04 08:00:00,Bulgaria,Bulgaria,BG,418.68,440.8,53.82,15.95,eso.bg,False,
2021-01-04 09:00:00,Bulgaria,Bulgaria,BG,425.32,447.87,53.06,14.56,eso.bg,False,
2021-01-04 10:00:00,Bulgaria,Bulgaria,BG,433.69,456.6,52.1,13.13,eso.bg,False,
2021-01-04 11:00:00,Bulgaria,Bulgaria,BG,429.74,452.89,52.41,13.53,eso.bg,False,
2021-01-04 12:00:00,Bulgaria,Bulgaria,BG,439.51,462.54,51.4,12.08,eso.bg,False,
2021-01-04 13:00:00,Bulgaria,Bulgaria,BG,431.1,454.66,52.2,13.31,eso.bg,False,
2021-01-04 14:00:00,Bulgaria,Bulgaria,BG,429.83,453.26,52.46,14.56,eso.bg,False,
2021-01-04 15:00:00,Bulgaria,Bulgaria,BG,401.59,424.48,55.42,19.33,eso.bg,False,
2021-01-04 16:00:00,Bulgaria,Bulgaria,BG,375.83,397.96,58.26,24.42,eso.bg,False,
