Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Denmark,Bornholm,DK-BHM,2.84,33.99,99.34,68.03,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Denmark,Bornholm,DK-BHM,2.29,53.79,99.47,75.11,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Denmark,Bornholm,DK-BHM,1.69,112.19,99.62,83.74,bornholm.powerlab.dk,False,
2021-01-01 03:00:00,Denmark,Bornholm,DK-BHM,1.48,117.39,99.66,84.11,bornholm.powerlab.dk,False,
2021-01-01 04:00:00,Denmark,Bornholm,DK-BHM,1.77,110.19,99.59,81.69,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Denmark,Bornholm,DK-BHM,1.94,107.35,99.55,80.78,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Denmark,Bornholm,DK-BHM,2.05,105.1,99.52,79.89,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Denmark,Bornholm,DK-BHM,2.2,101.61,99.49,80.23,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Denmark,Bornholm,DK-BHM,2.07,96.05,99.52,81.77,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Denmark,Bornholm,DK-BHM,2.25,93.16,99.48,80.44,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Denmark,Bornholm,DK-BHM,2.37,91.69,99.45,79.81,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Denmark,Bornholm,DK-BHM,2.49,91.89,99.42,78.91,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Denmark,Bornholm,DK-BHM,2.54,92.74,99.41,78.85,bornholm.powerlab.dk,True,ESTIMATED_TIME_SLICER_AVERAGE
