Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Costa Rica,Costa Rica,CR,4.42,30.58,99.26,99.26,grupoice.com,False,
2021-01-01 01:00:00,Costa Rica,Costa Rica,CR,4.38,30.64,99.27,99.27,grupoice.com,False,
2021-01-01 02:00:00,Costa Rica,Costa Rica,CR,4.07,29.83,99.32,99.32,grupoice.com,False,
2021-01-01 03:00:00,Costa Rica,Costa Rica,CR,4.71,30.2,99.21,99.21,grupoice.com,False,
2021-01-01 04:00:00,Costa Rica,Costa Rica,CR,4.75,29.91,99.2,99.2,grupoice.com,False,
2021-01-01 05:00:00,Costa Rica,Costa Rica,CR,4.2,28.74,99.3,99.3,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Costa Rica,Costa Rica,CR,5.14,29.11,99.16,99.16,grupoice.com,False,
2021-01-01 07:00:00,Costa Rica,Costa Rica,CR,5.68,29.44,99.07,99.07,grupoice.com,False,
2021-01-01 08:00:00,Costa Rica,Costa Rica,CR,5.41,29.29,99.11,99.11,grupoice.com,False,
2021-01-01 09:00:00,Costa Rica,Costa Rica,CR,5.26,28.99,99.13,99.13,grupoice.com,False,
2021-01-01 10:00:00,Costa Rica,Costa Rica,CR,2.52,25.54,99.58,99.58,grupoice.com,False,
2021-01-01 11:00:00,Costa Rica,Costa Rica,CR,2.88,25.99,99.53,99.53,grupoice.com,False,
2021-01-01 12:00:00,Costa Rica,Costa Rica,CR,2.45,25.3,99.59,99.59,grupoice.com,False,
2021-01-01 13:00:00,Costa Rica,Costa Rica,CR,1.97,24.5,99.69,99.69,grupoice.com,False,
2021-01-01 14:00:00,Costa Rica,Costa Rica,CR,1.2,23.51,99.8,99.8,grupoice.com,False,
2021-01-01 15:00:00,Costa Rica,Costa Rica,CR,1.36,23.97,99.78,99.78,grupoice.com,False,
2021-01-01 16:00:00,Costa Rica,Costa Rica,CR,1.28,24.24,99.79,99.79,grupoice.com,False,
2021-01-01 17:00:00,Costa Rica,Costa Rica,CR,1.92,25.35,99.7,99.7,grupoice.com,False,
2021-01-01 18:00:00,Costa Rica,Costa Rica,CR,0.94,24.4,99.84,99.84,grupoice.com,False,
2021-01-01 19:00:00,Costa Rica,Costa Rica,CR,1.51,26.32,99.76,99.76,grupoice.com,False,
2021-01-01 20:00:00,Costa Rica,Costa Rica,CR,1.96,28.92,99.7,99.7,grupoice.com,False,
2021-01-01 21:00:00,Costa Rica,Costa Rica,CR,1.55,28.47,99.75,99.75,grupoice.com,False,
2021-01-01 22:00:00,Costa Rica,Costa Rica,CR,2.59,29.68,99.61,99.61,grupoice.com,False,
2021-01-01 23:00:00,Costa Rica,Costa Rica,CR,4.47,31.35,99.33,99.33,grupoice.com,False,
2021-01-02 00:00:00,Costa Rica,Costa Rica,CR,4.3,30.83,99.35,99.35,grupoice.com,False,
2021-01-02 01:00:00,Costa Rica,Costa Rica,CR,3.93,30.71,99.4,99.4,grupoice.com,False,
2021-01-02 02:00:00,Costa Rica,Costa Rica,CR,3.86,30.74,99.41,99.41,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,Costa Rica,Costa Rica,CR,4.23,31.29,99.36,99.36,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,Costa Rica,Costa Rica,CR,5.16,32.49,99.22,99.22,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,Costa Rica,Costa Rica,CR,6.21,33.72,99.06,99.06,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,Costa Rica,Costa Rica,CR,1.9,29.19,99.69,99.69,grupoice.com,False,
2021-01-02 07:00:00,Costa Rica,Costa Rica,CR,1.48,29.05,99.75,99.75,grupoice.com,False,
2021-01-02 08:00:00,Costa Rica,Costa Rica,CR,1.21,28.89,99.79,99.79,grupoice.com,False,
2021-01-02 09:00:00,Costa Rica,Costa Rica,CR,1.77,29.3,99.71,99.71,grupoice.com,False,
2021-01-02 10:00:00,Costa Rica,Costa Rica,CR,2.14,29.08,99.65,99.65,grupoice.com,False,
2021-01-02 11:00:00,Costa Rica,Costa Rica,CR,1.98,29.02,99.68,99.68,grupoice.com,False,
2021-01-02 12:00:00,Costa Rica,Costa Rica,CR,2.95,29.94,99.55,99.55,grupoice.com,False,
2021-01-02 13:00:00,Costa Rica,Costa Rica,CR,1.98,28.14,99.68,99.68,grupoice.com,False,
2021-01-02 14:00:00,Costa Rica,Costa Rica,CR,1.26,27.25,99.79,99.79,grupoice.com,False,
2021-01-02 15:00:00,Costa Rica,Costa Rica,CR,1.4,27.01,99.78,99.78,grupoice.com,False,
2021-01-02 16:00:00,Costa Rica,Costa Rica,CR,1.4,26.92,99.78,99.78,grupoice.com,False,
2021-01-02 17:00:00,Costa Rica,Costa Rica,CR,1.06,26.57,99.83,99.83,grupoice.com,False,
2021-01-02 18:00:00,Costa Rica,Costa Rica,CR,0.82,26.27,99.86,99.86,grupoice.com,False,
2021-01-02 19:00:00,Costa Rica,Costa Rica,CR,1.55,27.03,99.76,99.76,grupoice.com,False,
2021-01-02 20:00:00,Costa Rica,Costa Rica,CR,0.99,26.65,99.83,99.83,grupoice.com,False,
2021-01-02 21:00:00,Costa Rica,Costa Rica,CR,1.4,27.12,99.77,99.77,grupoice.com,False,
2021-01-02 22:00:00,Costa Rica,Costa Rica,CR,0.9,26.47,99.85,99.85,grupoice.com,False,
2021-01-02 23:00:00,Costa Rica,Costa Rica,CR,2.23,27.7,99.64,99.64,grupoice.com,False,
2021-01-03 00:00:00,Costa Rica,Costa Rica,CR,2.8,28.19,99.54,99.54,grupoice.com,False,
2021-01-03 01:00:00,Costa Rica,Costa Rica,CR,4.57,30.5,99.19,99.19,grupoice.com,False,
2021-01-03 02:00:00,Costa Rica,Costa Rica,CR,4.5,30.61,99.2,99.2,grupoice.com,False,
2021-01-03 03:00:00,Costa Rica,Costa Rica,CR,4.64,31.09,99.18,99.18,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 04:00:00,Costa Rica,Costa Rica,CR,2.38,28.92,99.58,99.58,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 05:00:00,Costa Rica,Costa Rica,CR,1.65,28.58,99.72,99.72,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 06:00:00,Costa Rica,Costa Rica,CR,1.45,28.95,99.76,99.76,grupoice.com,False,
2021-01-03 07:00:00,Costa Rica,Costa Rica,CR,2.12,30.04,99.66,99.66,grupoice.com,False,
2021-01-03 08:00:00,Costa Rica,Costa Rica,CR,2.48,30.61,99.61,99.61,grupoice.com,False,
2021-01-03 09:00:00,Costa Rica,Costa Rica,CR,1.77,29.9,99.71,99.71,grupoice.com,False,
2021-01-03 10:00:00,Costa Rica,Costa Rica,CR,2.06,30.11,99.67,99.67,grupoice.com,False,
2021-01-03 11:00:00,Costa Rica,Costa Rica,CR,1.69,29.72,99.73,99.73,grupoice.com,False,
2021-01-03 12:00:00,Costa Rica,Costa Rica,CR,1.29,29.47,99.78,99.78,grupoice.com,False,
2021-01-03 13:00:00,Costa Rica,Costa Rica,CR,1.49,29.3,99.75,99.75,grupoice.com,False,
2021-01-03 14:00:00,Costa Rica,Costa Rica,CR,2.04,29.4,99.68,99.68,grupoice.com,False,
2021-01-03 15:00:00,Costa Rica,Costa Rica,CR,1.27,28.07,99.79,99.79,grupoice.com,False,
2021-01-03 16:00:00,Costa Rica,Costa Rica,CR,0.84,27.4,99.85,99.85,grupoice.com,False,
2021-01-03 17:00:00,Costa Rica,Costa Rica,CR,1.27,27.73,99.79,99.79,grupoice.com,False,
2021-01-03 18:00:00,Costa Rica,Costa Rica,CR,0.79,27.43,99.86,99.86,grupoice.com,False,
2021-01-03 19:00:00,Costa Rica,Costa Rica,CR,0.81,27.77,99.86,99.86,grupoice.com,False,
2021-01-03 20:00:00,Costa Rica,Costa Rica,CR,0.83,27.91,99.86,99.86,grupoice.com,False,
2021-01-03 21:00:00,Costa Rica,Costa Rica,CR,0.82,28.08,99.86,99.86,grupoice.com,False,
2021-01-03 22:00:00,Costa Rica,Costa Rica,CR,0.84,27.73,99.85,99.85,grupoice.com,False,
2021-01-03 23:00:00,Costa Rica,Costa Rica,CR,0.8,27.62,99.86,99.86,grupoice.com,False,
2021-01-04 00:00:00,Costa Rica,Costa Rica,CR,0.7,27.13,99.88,99.88,grupoice.com,False,
2021-01-04 01:00:00,Costa Rica,Costa Rica,CR,0.71,27.33,99.88,99.88,grupoice.com,False,
2021-01-04 02:00:00,Costa Rica,Costa Rica,CR,0.75,27.36,99.87,99.87,grupoice.com,False,
2021-01-04 03:00:00,Costa Rica,Costa Rica,CR,0.81,27.81,99.86,99.86,grupoice.com,False,
2021-01-04 04:00:00,Costa Rica,Costa Rica,CR,0.88,28.02,99.85,99.85,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-04 05:00:00,Costa Rica,Costa Rica,CR,0.96,28.27,99.83,99.83,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-04 06:00:00,Costa Rica,Costa Rica,CR,1.06,28.58,99.82,99.82,grupoice.com,False,
2021-01-04 07:00:00,Costa Rica,Costa Rica,CR,1.11,28.65,99.81,99.81,grupoice.com,False,
2021-01-04 08:00:00,Costa Rica,Costa Rica,CR,1.13,28.84,99.8,99.8,grupoice.com,False,
2021-01-04 09:00:00,Costa Rica,Costa Rica,CR,1.13,28.15,99.8,99.8,grupoice.com,False,
2021-01-04 10:00:00,Costa Rica,Costa Rica,CR,1.06,27.45,99.82,99.82,grupoice.com,False,
2021-01-04 11:00:00,Costa Rica,Costa Rica,CR,0.96,27.33,99.83,99.83,grupoice.com,False,
2021-01-04 12:00:00,Costa Rica,Costa Rica,CR,0.88,26.93,99.85,99.85,grupoice.com,False,
2021-01-04 13:00:00,Costa Rica,Costa Rica,CR,0.81,26.53,99.86,99.86,grupoice.com,False,
2021-01-04 14:00:00,Costa Rica,Costa Rica,CR,0.74,26.43,99.87,99.87,grupoice.com,False,
2021-01-04 15:00:00,Costa Rica,Costa Rica,CR,0.71,26.43,99.88,99.88,grupoice.com,False,
2021-01-04 16:00:00,Costa Rica,Costa Rica,CR,0.7,26.45,99.88,99.88,grupoice.com,False,
2021-01-04 17:00:00,Costa Rica,Costa Rica,CR,0.66,26.16,99.89,99.89,grupoice.com,False,
2021-01-04 18:00:00,Costa Rica,Costa Rica,CR,0.65,26.17,99.89,99.89,grupoice.com,False,
2021-01-04 19:00:00,Costa Rica,Costa Rica,CR,0.66,26.41,99.89,99.89,grupoice.com,False,
2021-01-04 20:00:00,Costa Rica,Costa Rica,CR,0.67,26.28,99.88,99.88,grupoice.com,False,
2021-01-04 21:00:00,Costa Rica,Costa Rica,CR,0.66,26.09,99.88,99.88,grupoice.com,False,
2021-01-04 22:00:00,Costa Rica,Costa Rica,CR,0.68,25.69,99.88,99.88,grupoice.com,False,
2021-01-04 23:00:00,Costa Rica,Costa Rica,CR,0.67,25.86,99.88,99.88,grupoice.com,False,
2021-01-05 00:00:00,Costa Rica,Costa Rica,CR,0.64,26.09,99.89,99.89,grupoice.com,False,
2021-01-05 01:00:00,Costa Rica,Costa Rica,CR,0.66,25.82,99.89,99.89,grupoice.com,False,
2021-01-05 02:00:00,Costa Rica,Costa Rica,CR,0.69,25.81,99.88,99.88,grupoice.com,False,
2021-01-05 03:00:00,Costa Rica,Costa Rica,CR,0.75,25.93,99.87,99.87,grupoice.com,False,
2021-01-05 04:00:00,Costa Rica,Costa Rica,CR,0.86,26.23,99.85,99.85,grupoice.com,False,
2021-01-05 05:00:00,Costa Rica,Costa Rica,CR,0.93,26.36,99.84,99.84,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-05 06:00:00,Costa Rica,Costa Rica,CR,1.01,26.51,99.82,99.82,grupoice.com,False,
2021-01-05 07:00:00,Costa Rica,Costa Rica,CR,1.05,26.58,99.82,99.82,grupoice.com,False,
2021-01-05 08:00:00,Costa Rica,Costa Rica,CR,1.08,26.84,99.81,99.81,grupoice.com,False,
2021-01-05 09:00:00,Costa Rica,Costa Rica,CR,1.07,26.79,99.81,99.81,grupoice.com,False,
2021-01-05 10:00:00,Costa Rica,Costa Rica,CR,1.02,26.58,99.82,99.82,grupoice.com,False,
2021-01-05 11:00:00,Costa Rica,Costa Rica,CR,0.95,26.46,99.84,99.84,grupoice.com,False,
2021-01-05 12:00:00,Costa Rica,Costa Rica,CR,0.87,26.69,99.85,99.85,grupoice.com,False,
2021-01-05 13:00:00,Costa Rica,Costa Rica,CR,0.8,26.21,99.86,99.86,grupoice.com,False,
2021-01-05 14:00:00,Costa Rica,Costa Rica,CR,0.75,26.28,99.87,99.87,grupoice.com,False,
2021-01-05 15:00:00,Costa Rica,Costa Rica,CR,0.72,26.01,99.87,99.87,grupoice.com,False,
2021-01-05 16:00:00,Costa Rica,Costa Rica,CR,0.71,25.94,99.88,99.88,grupoice.com,False,
2021-01-05 17:00:00,Costa Rica,Costa Rica,CR,0.67,26.04,99.88,99.88,grupoice.com,False,
2021-01-05 18:00:00,Costa Rica,Costa Rica,CR,0.67,25.97,99.88,99.88,grupoice.com,False,
2021-01-05 19:00:00,Costa Rica,Costa Rica,CR,0.67,26.02,99.88,99.88,grupoice.com,False,
2021-01-05 20:00:00,Costa Rica,Costa Rica,CR,0.68,26.06,99.88,99.88,grupoice.com,False,
2021-01-05 21:00:00,Costa Rica,Costa Rica,CR,0.68,26.21,99.88,99.88,grupoice.com,False,
2021-01-05 22:00:00,Costa Rica,Costa Rica,CR,0.69,26.09,99.88,99.88,grupoice.com,False,
