Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Cyprus,Cyprus,CY,859.26,1100.71,2.46,2.46,tsoc.org.cy,False,
2021-01-01 01:00:00,Cyprus,Cyprus,CY,851.75,1091.55,3.31,3.31,tsoc.org.cy,False,
2021-01-01 02:00:00,Cyprus,Cyprus,CY,852.31,1092.4,3.25,3.25,tsoc.org.cy,False,
2021-01-01 03:00:00,Cyprus,Cyprus,CY,851.5,1091.4,3.34,3.34,tsoc.org.cy,False,
2021-01-01 04:00:00,Cyprus,Cyprus,CY,840.2,1077.11,4.62,4.62,tsoc.org.cy,False,
2021-01-01 05:00:00,Cyprus,Cyprus,CY,826.61,1060.11,6.16,6.16,tsoc.org.cy,False,
2021-01-01 06:00:00,Cyprus,Cyprus,CY,755.14,970.56,14.28,14.28,tsoc.org.cy,False,
2021-01-01 07:00:00,Cyprus,Cyprus,CY,710.82,915.34,19.31,19.31,tsoc.org.cy,False,
2021-01-01 08:00:00,Cyprus,Cyprus,CY,674.23,869.7,23.46,23.46,tsoc.org.cy,False,
2021-01-01 09:00:00,Cyprus,Cyprus,CY,676.25,872.06,23.23,23.23,tsoc.org.cy,False,
2021-01-01 10:00:00,Cyprus,Cyprus,CY,694.11,894.3,21.2,21.2,tsoc.org.cy,False,
2021-01-01 11:00:00,Cyprus,Cyprus,CY,688.97,887.85,21.79,21.79,tsoc.org.cy,False,
2021-01-01 12:00:00,Cyprus,Cyprus,CY,723.8,931.4,17.83,17.83,tsoc.org.cy,False,
2021-01-01 13:00:00,Cyprus,Cyprus,CY,781.74,1003.74,11.26,11.26,tsoc.org.cy,False,
2021-01-01 14:00:00,Cyprus,Cyprus,CY,844.2,1081.66,4.17,4.17,tsoc.org.cy,False,
2021-01-01 15:00:00,Cyprus,Cyprus,CY,869.06,1112.37,1.34,1.34,tsoc.org.cy,False,
2021-01-01 16:00:00,Cyprus,Cyprus,CY,865.62,1107.81,1.74,1.74,tsoc.org.cy,False,
2021-01-01 17:00:00,Cyprus,Cyprus,CY,858.84,1099.22,2.51,2.51,tsoc.org.cy,False,
2021-01-01 18:00:00,Cyprus,Cyprus,CY,852.99,1091.86,3.17,3.17,tsoc.org.cy,False,
2021-01-01 19:00:00,Cyprus,Cyprus,CY,851.53,1090.04,3.33,3.33,tsoc.org.cy,False,
2021-01-01 20:00:00,Cyprus,Cyprus,CY,853.36,1092.53,3.13,3.13,tsoc.org.cy,False,
2021-01-01 21:00:00,Cyprus,Cyprus,CY,850.88,1089.61,3.41,3.41,tsoc.org.cy,False,
2021-01-01 22:00:00,Cyprus,Cyprus,CY,849.32,1087.99,3.59,3.59,tsoc.org.cy,False,
2021-01-01 23:00:00,Cyprus,Cyprus,CY,839.58,1076.07,4.69,4.69,tsoc.org.cy,False,
2021-01-02 00:00:00,Cyprus,Cyprus,CY,828.07,1061.84,6.0,6.0,tsoc.org.cy,False,
