Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Czechia,Czechia,CZ,525.42,558.27,44.01,6.68,entsoe.eu,False,
2021-01-01 01:00:00,Czechia,Czechia,CZ,518.16,552.67,44.43,6.76,entsoe.eu,False,
2021-01-01 02:00:00,Czechia,Czechia,CZ,516.41,551.82,44.56,7.13,entsoe.eu,False,
2021-01-01 03:00:00,Czechia,Czechia,CZ,521.64,557.77,44.02,7.09,entsoe.eu,False,
2021-01-01 04:00:00,Czechia,Czechia,CZ,514.87,550.1,44.69,7.08,entsoe.eu,False,
2021-01-01 05:00:00,Czechia,Czechia,CZ,510.33,545.61,44.87,7.09,entsoe.eu,False,
2021-01-01 06:00:00,Czechia,Czechia,CZ,504.07,538.25,45.44,7.55,entsoe.eu,False,
2021-01-01 07:00:00,Czechia,Czechia,CZ,494.43,528.42,46.38,7.93,entsoe.eu,False,
2021-01-01 08:00:00,Czechia,Czechia,CZ,493.65,528.41,46.27,8.82,entsoe.eu,False,
2021-01-01 09:00:00,Czechia,Czechia,CZ,484.48,519.04,47.27,10.27,entsoe.eu,False,
2021-01-01 10:00:00,Czechia,Czechia,CZ,480.48,514.17,47.65,10.58,entsoe.eu,False,
2021-01-01 11:00:00,Czechia,Czechia,CZ,493.89,526.1,46.69,10.09,entsoe.eu,False,
2021-01-01 12:00:00,Czechia,Czechia,CZ,496.83,529.39,46.29,9.59,entsoe.eu,False,
2021-01-01 13:00:00,Czechia,Czechia,CZ,508.3,541.7,45.28,8.37,entsoe.eu,False,
2021-01-01 14:00:00,Czechia,Czechia,CZ,510.58,544.33,44.98,8.03,entsoe.eu,False,
2021-01-01 15:00:00,Czechia,Czechia,CZ,522.9,556.46,44.33,8.6,entsoe.eu,False,
2021-01-01 16:00:00,Czechia,Czechia,CZ,533.86,568.19,42.9,7.92,entsoe.eu,False,
2021-01-01 17:00:00,Czechia,Czechia,CZ,538.99,573.07,42.75,8.5,entsoe.eu,False,
2021-01-01 18:00:00,Czechia,Czechia,CZ,544.27,578.62,42.28,8.33,entsoe.eu,False,
2021-01-01 19:00:00,Czechia,Czechia,CZ,549.66,584.57,41.32,7.24,entsoe.eu,False,
2021-01-01 20:00:00,Czechia,Czechia,CZ,544.55,579.38,41.72,6.38,entsoe.eu,False,
2021-01-01 21:00:00,Czechia,Czechia,CZ,542.42,577.65,42.04,6.45,entsoe.eu,False,
2021-01-01 22:00:00,Czechia,Czechia,CZ,536.48,571.72,42.55,6.62,entsoe.eu,False,
