Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Denmark,Denmark,DK,125.8,199.17,82.04,70.33,entsoe.eu,False,
2021-01-01 01:00:00,Denmark,Denmark,DK,111.7,184.58,83.49,71.53,entsoe.eu,False,
2021-01-01 02:00:00,Denmark,Denmark,DK,108.57,181.28,83.79,71.47,entsoe.eu,False,
2021-01-01 03:00:00,Denmark,Denmark,DK,111.67,184.95,83.38,71.04,entsoe.eu,False,
2021-01-01 04:00:00,Denmark,Denmark,DK,119.0,193.69,82.45,70.54,entsoe.eu,False,
2021-01-01 05:00:00,Denmark,Denmark,DK,123.24,200.17,81.93,70.41,entsoe.eu,False,
2021-01-01 06:00:00,Denmark,Denmark,DK,127.23,205.15,80.93,69.56,entsoe.eu,False,
2021-01-01 07:00:00,Denmark,Denmark,DK,127.5,208.27,80.64,69.54,entsoe.eu,False,
2021-01-01 08:00:00,Denmark,Denmark,DK,134.24,211.37,79.8,68.42,entsoe.eu,False,
2021-01-01 09:00:00,Denmark,Denmark,DK,142.98,222.73,78.66,68.4,entsoe.eu,False,
2021-01-01 10:00:00,Denmark,Denmark,DK,143.09,221.74,78.6,68.51,entsoe.eu,False,
2021-01-01 11:00:00,Denmark,Denmark,DK,155.97,234.2,76.75,66.45,entsoe.eu,False,
2021-01-01 12:00:00,Denmark,Denmark,DK,160.13,240.34,76.04,65.83,entsoe.eu,False,
2021-01-01 13:00:00,Denmark,Denmark,DK,153.77,234.55,76.59,66.49,entsoe.eu,False,
2021-01-01 14:00:00,Denmark,Denmark,DK,170.6,253.3,74.63,65.12,entsoe.eu,False,
2021-01-01 15:00:00,Denmark,Denmark,DK,177.81,262.66,73.35,64.17,entsoe.eu,False,
2021-01-01 16:00:00,Denmark,Denmark,DK,189.04,273.46,72.12,63.11,entsoe.eu,False,
2021-01-01 17:00:00,Denmark,Denmark,DK,188.14,272.98,72.5,63.67,entsoe.eu,False,
2021-01-01 18:00:00,Denmark,Denmark,DK,185.72,270.39,72.79,63.55,entsoe.eu,False,
2021-01-01 19:00:00,Denmark,Denmark,DK,180.31,263.83,72.97,63.43,entsoe.eu,False,
2021-01-01 20:00:00,Denmark,Denmark,DK,176.97,261.02,73.48,63.7,entsoe.eu,False,
2021-01-01 21:00:00,Denmark,Denmark,DK,171.02,258.15,74.8,64.84,entsoe.eu,False,
2021-01-01 22:00:00,Denmark,Denmark,DK,163.89,250.85,75.92,65.14,entsoe.eu,False,
2021-01-01 23:00:00,Denmark,Denmark,DK,136.64,217.46,79.58,67.55,entsoe.eu,False,
2021-01-02 00:00:00,Denmark,Denmark,DK,138.46,219.09,79.27,67.33,entsoe.eu,False,
2021-01-02 01:00:00,Denmark,Denmark,DK,125.74,206.32,80.67,68.6,entsoe.eu,False,
2021-01-02 02:00:00,Denmark,Denmark,DK,118.16,198.6,81.57,69.49,entsoe.eu,False,
2021-01-02 03:00:00,Denmark,Denmark,DK,113.83,192.41,81.9,69.62,entsoe.eu,False,
2021-01-02 04:00:00,Denmark,Denmark,DK,120.43,196.0,81.24,68.76,entsoe.eu,False,
2021-01-02 05:00:00,Denmark,Denmark,DK,130.53,206.97,79.83,68.39,entsoe.eu,False,
2021-01-02 06:00:00,Denmark,Denmark,DK,143.41,220.61,77.74,66.7,entsoe.eu,False,
2021-01-02 07:00:00,Denmark,Denmark,DK,147.6,225.94,76.36,66.18,entsoe.eu,False,
2021-01-02 08:00:00,Denmark,Denmark,DK,161.1,237.03,74.87,64.32,entsoe.eu,False,
