Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,India,Eastern India,IN-EA,721.43,774.96,4.85,4.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,India,Eastern India,IN-EA,721.43,774.96,4.85,4.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,India,Eastern India,IN-EA,717.5,770.98,5.37,5.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,India,Eastern India,IN-EA,715.53,768.99,5.63,5.63,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,India,Eastern India,IN-EA,714.81,768.27,5.72,5.72,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,India,Eastern India,IN-EA,714.44,767.89,5.77,5.77,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,India,Eastern India,IN-EA,714.29,767.74,5.79,5.79,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,India,Eastern India,IN-EA,714.06,767.54,5.82,5.81,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,India,Eastern India,IN-EA,713.66,767.21,5.86,5.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,India,Eastern India,IN-EA,713.54,767.16,5.86,5.81,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,India,Eastern India,IN-EA,714.31,767.93,5.76,5.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,India,Eastern India,IN-EA,718.3,771.82,5.26,5.25,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,India,Eastern India,IN-EA,721.43,774.97,4.85,4.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,India,Eastern India,IN-EA,721.44,774.97,4.85,4.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,India,Eastern India,IN-EA,721.44,774.97,4.85,4.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,India,Eastern India,IN-EA,721.44,774.97,4.85,4.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,India,Eastern India,IN-EA,721.43,774.97,4.85,4.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,India,Eastern India,IN-EA,721.43,774.96,4.85,4.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,India,Eastern India,IN-EA,680.33,734.15,9.77,8.41,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,India,Eastern India,IN-EA,675.06,728.89,10.4,8.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,India,Eastern India,IN-EA,714.97,768.56,5.61,5.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,India,Eastern India,IN-EA,722.55,776.11,4.7,4.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,India,Eastern India,IN-EA,722.55,776.11,4.7,4.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,India,Eastern India,IN-EA,722.55,776.11,4.7,4.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,India,Eastern India,IN-EA,722.55,776.11,4.7,4.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,India,Eastern India,IN-EA,722.55,776.11,4.7,4.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,India,Eastern India,IN-EA,718.64,772.15,5.22,5.22,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,India,Eastern India,IN-EA,716.53,770.08,5.49,5.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,India,Eastern India,IN-EA,715.75,769.34,5.58,5.55,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,India,Eastern India,IN-EA,715.51,769.03,5.62,5.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,India,Eastern India,IN-EA,715.12,768.63,5.68,5.66,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,India,Eastern India,IN-EA,714.66,768.22,5.73,5.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,India,Eastern India,IN-EA,714.55,768.13,5.74,5.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,India,Eastern India,IN-EA,714.82,768.43,5.7,5.65,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
