Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Estonia,Estonia,EE,245.88,299.42,62.4,38.8,entsoe.eu,False,
2021-01-01 01:00:00,Estonia,Estonia,EE,252.83,308.16,61.59,38.14,entsoe.eu,False,
2021-01-01 02:00:00,Estonia,Estonia,EE,257.13,311.12,60.92,37.37,entsoe.eu,False,
2021-01-01 03:00:00,Estonia,Estonia,EE,256.49,311.3,61.13,37.8,entsoe.eu,False,
2021-01-01 04:00:00,Estonia,Estonia,EE,251.51,307.09,61.9,38.48,entsoe.eu,False,
2021-01-01 05:00:00,Estonia,Estonia,EE,226.45,280.77,65.45,40.06,entsoe.eu,False,
2021-01-01 06:00:00,Estonia,Estonia,EE,222.67,277.46,66.27,40.68,entsoe.eu,False,
2021-01-01 07:00:00,Estonia,Estonia,EE,231.18,288.04,65.22,40.43,entsoe.eu,False,
2021-01-01 08:00:00,Estonia,Estonia,EE,248.62,302.74,62.25,38.18,entsoe.eu,False,
2021-01-01 09:00:00,Estonia,Estonia,EE,220.44,270.55,66.11,40.16,entsoe.eu,False,
2021-01-01 10:00:00,Estonia,Estonia,EE,217.04,270.01,67.09,41.17,entsoe.eu,False,
2021-01-01 11:00:00,Estonia,Estonia,EE,219.07,272.84,66.8,40.93,entsoe.eu,False,
2021-01-01 12:00:00,Estonia,Estonia,EE,218.09,271.77,66.92,41.63,entsoe.eu,False,
2021-01-01 13:00:00,Estonia,Estonia,EE,215.39,268.84,67.34,42.42,entsoe.eu,False,
2021-01-01 14:00:00,Estonia,Estonia,EE,237.28,291.37,64.74,41.43,entsoe.eu,False,
2021-01-01 15:00:00,Estonia,Estonia,EE,237.28,291.58,64.61,41.46,entsoe.eu,False,
2021-01-01 16:00:00,Estonia,Estonia,EE,233.76,288.0,65.17,41.9,entsoe.eu,False,
2021-01-01 17:00:00,Estonia,Estonia,EE,248.98,303.05,63.68,40.76,entsoe.eu,False,
2021-01-01 18:00:00,Estonia,Estonia,EE,255.65,309.71,62.82,39.86,entsoe.eu,False,
2021-01-01 19:00:00,Estonia,Estonia,EE,236.64,289.99,64.79,40.45,entsoe.eu,False,
2021-01-01 20:00:00,Estonia,Estonia,EE,234.46,287.09,65.29,40.75,entsoe.eu,False,
2021-01-01 21:00:00,Estonia,Estonia,EE,227.86,280.19,66.03,40.76,entsoe.eu,False,
2021-01-01 22:00:00,Estonia,Estonia,EE,235.53,288.17,64.88,39.49,entsoe.eu,False,
2021-01-01 23:00:00,Estonia,Estonia,EE,255.36,311.7,62.7,38.81,entsoe.eu,False,
2021-01-02 00:00:00,Estonia,Estonia,EE,223.93,279.15,66.02,40.36,entsoe.eu,False,
2021-01-02 01:00:00,Estonia,Estonia,EE,240.52,297.32,63.53,39.42,entsoe.eu,False,
2021-01-02 02:00:00,Estonia,Estonia,EE,244.71,300.21,62.78,38.62,entsoe.eu,False,
2021-01-02 03:00:00,Estonia,Estonia,EE,229.71,285.69,65.41,40.53,entsoe.eu,False,
2021-01-02 04:00:00,Estonia,Estonia,EE,231.54,286.74,65.46,40.8,entsoe.eu,False,
2021-01-02 05:00:00,Estonia,Estonia,EE,226.03,278.64,66.11,40.09,entsoe.eu,False,
2021-01-02 06:00:00,Estonia,Estonia,EE,239.52,292.34,64.75,39.81,entsoe.eu,False,
2021-01-02 07:00:00,Estonia,Estonia,EE,239.27,290.34,63.9,38.49,entsoe.eu,False,
2021-01-02 08:00:00,Estonia,Estonia,EE,285.61,339.11,59.06,35.61,entsoe.eu,False,
2021-01-02 09:00:00,Estonia,Estonia,EE,302.68,358.11,57.51,35.53,entsoe.eu,False,
2021-01-02 10:00:00,Estonia,Estonia,EE,307.19,363.05,56.84,35.39,entsoe.eu,False,
2021-01-02 11:00:00,Estonia,Estonia,EE,309.83,365.68,56.54,35.48,entsoe.eu,False,
2021-01-02 12:00:00,Estonia,Estonia,EE,310.78,366.61,56.58,35.95,entsoe.eu,False,
2021-01-02 13:00:00,Estonia,Estonia,EE,306.93,362.66,57.21,37.18,entsoe.eu,False,
2021-01-02 14:00:00,Estonia,Estonia,EE,306.65,362.35,57.47,37.59,entsoe.eu,False,
2021-01-02 15:00:00,Estonia,Estonia,EE,307.36,363.06,57.45,37.69,entsoe.eu,False,
