Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Finland,Finland,FI,149.86,184.7,74.21,40.5,entsoe.eu,False,
2021-01-01 01:00:00,Finland,Finland,FI,152.79,188.12,73.69,39.72,entsoe.eu,False,
2021-01-01 02:00:00,Finland,Finland,FI,152.99,188.2,73.64,39.81,entsoe.eu,False,
2021-01-01 03:00:00,Finland,Finland,FI,153.01,188.26,73.65,39.79,entsoe.eu,False,
2021-01-01 04:00:00,Finland,Finland,FI,151.38,186.51,73.96,40.06,entsoe.eu,False,
2021-01-01 05:00:00,Finland,Finland,FI,151.59,186.74,74.17,40.55,entsoe.eu,False,
2021-01-01 06:00:00,Finland,Finland,FI,149.34,184.59,74.62,41.43,entsoe.eu,False,
2021-01-01 07:00:00,Finland,Finland,FI,152.16,187.73,74.23,41.37,entsoe.eu,False,
2021-01-01 08:00:00,Finland,Finland,FI,157.07,193.14,73.48,40.75,entsoe.eu,False,
2021-01-01 09:00:00,Finland,Finland,FI,152.86,188.46,74.33,41.96,entsoe.eu,False,
2021-01-01 10:00:00,Finland,Finland,FI,156.56,192.64,74.06,41.85,entsoe.eu,False,
2021-01-01 11:00:00,Finland,Finland,FI,159.45,196.29,73.67,41.56,entsoe.eu,False,
2021-01-01 12:00:00,Finland,Finland,FI,157.63,194.34,73.92,42.46,entsoe.eu,False,
2021-01-01 13:00:00,Finland,Finland,FI,153.21,189.39,74.74,43.66,entsoe.eu,False,
2021-01-01 14:00:00,Finland,Finland,FI,152.04,188.61,74.68,44.37,entsoe.eu,False,
2021-01-01 15:00:00,Finland,Finland,FI,154.6,191.27,74.2,44.03,entsoe.eu,False,
2021-01-01 16:00:00,Finland,Finland,FI,154.72,191.26,74.39,44.14,entsoe.eu,False,
2021-01-01 17:00:00,Finland,Finland,FI,153.21,189.34,74.85,43.99,entsoe.eu,False,
2021-01-01 18:00:00,Finland,Finland,FI,152.04,187.97,74.96,43.64,entsoe.eu,False,
2021-01-01 19:00:00,Finland,Finland,FI,149.28,185.1,75.09,42.76,entsoe.eu,False,
2021-01-01 20:00:00,Finland,Finland,FI,141.67,176.76,76.21,43.14,entsoe.eu,False,
2021-01-01 21:00:00,Finland,Finland,FI,139.95,174.92,76.37,42.46,entsoe.eu,False,
2021-01-01 22:00:00,Finland,Finland,FI,145.03,180.47,75.42,40.85,entsoe.eu,False,
2021-01-01 23:00:00,Finland,Finland,FI,148.76,184.42,75.15,39.52,entsoe.eu,False,
2021-01-02 00:00:00,Finland,Finland,FI,152.62,188.82,74.57,38.33,entsoe.eu,False,
2021-01-02 01:00:00,Finland,Finland,FI,156.59,193.24,73.99,36.76,entsoe.eu,False,
2021-01-02 02:00:00,Finland,Finland,FI,157.19,193.98,73.8,36.66,entsoe.eu,False,
2021-01-02 03:00:00,Finland,Finland,FI,152.26,188.79,74.65,38.56,entsoe.eu,False,
2021-01-02 04:00:00,Finland,Finland,FI,151.09,187.53,74.65,39.52,entsoe.eu,False,
2021-01-02 05:00:00,Finland,Finland,FI,150.51,187.39,74.63,39.62,entsoe.eu,False,
2021-01-02 06:00:00,Finland,Finland,FI,148.41,185.18,74.98,40.73,entsoe.eu,False,
2021-01-02 07:00:00,Finland,Finland,FI,152.14,190.13,74.16,39.95,entsoe.eu,False,
2021-01-02 08:00:00,Finland,Finland,FI,155.06,193.47,73.83,39.88,entsoe.eu,False,
2021-01-02 09:00:00,Finland,Finland,FI,154.66,192.89,73.94,41.02,entsoe.eu,False,
2021-01-02 10:00:00,Finland,Finland,FI,158.94,197.75,73.22,41.08,entsoe.eu,False,
2021-01-02 11:00:00,Finland,Finland,FI,159.52,198.19,73.13,41.58,entsoe.eu,False,
2021-01-02 12:00:00,Finland,Finland,FI,158.06,196.64,73.42,42.6,entsoe.eu,False,
2021-01-02 13:00:00,Finland,Finland,FI,156.02,194.59,73.76,43.81,entsoe.eu,False,
2021-01-02 14:00:00,Finland,Finland,FI,156.31,194.86,74.01,44.13,entsoe.eu,False,
2021-01-02 15:00:00,Finland,Finland,FI,159.98,198.81,73.58,44.03,entsoe.eu,False,
2021-01-02 16:00:00,Finland,Finland,FI,158.02,196.58,73.79,44.42,entsoe.eu,False,
2021-01-02 17:00:00,Finland,Finland,FI,157.7,196.21,73.73,44.1,entsoe.eu,False,
2021-01-02 18:00:00,Finland,Finland,FI,158.18,196.9,73.5,43.0,entsoe.eu,False,
2021-01-02 19:00:00,Finland,Finland,FI,157.75,196.32,73.57,41.67,entsoe.eu,False,
2021-01-02 20:00:00,Finland,Finland,FI,150.82,188.64,74.53,43.02,entsoe.eu,False,
2021-01-02 21:00:00,Finland,Finland,FI,151.6,189.2,74.57,42.12,entsoe.eu,False,
2021-01-02 22:00:00,Finland,Finland,FI,152.08,189.2,74.78,40.97,entsoe.eu,False,
2021-01-02 23:00:00,Finland,Finland,FI,146.6,181.98,75.94,42.57,entsoe.eu,False,
2021-01-03 00:00:00,Finland,Finland,FI,150.77,187.18,75.17,40.82,entsoe.eu,False,
2021-01-03 01:00:00,Finland,Finland,FI,156.78,194.42,74.18,38.63,entsoe.eu,False,
2021-01-03 02:00:00,Finland,Finland,FI,158.36,196.08,73.92,38.23,entsoe.eu,False,
2021-01-03 03:00:00,Finland,Finland,FI,155.88,193.38,74.35,39.51,entsoe.eu,False,
2021-01-03 04:00:00,Finland,Finland,FI,151.98,188.88,75.04,41.32,entsoe.eu,False,
2021-01-03 05:00:00,Finland,Finland,FI,157.52,195.56,73.92,40.4,entsoe.eu,False,
2021-01-03 06:00:00,Finland,Finland,FI,155.96,194.06,73.97,41.58,entsoe.eu,False,
2021-01-03 07:00:00,Finland,Finland,FI,156.16,194.56,73.89,41.91,entsoe.eu,False,
2021-01-03 08:00:00,Finland,Finland,FI,156.87,195.35,73.78,42.34,entsoe.eu,False,
2021-01-03 09:00:00,Finland,Finland,FI,155.74,194.15,73.94,43.14,entsoe.eu,False,
2021-01-03 10:00:00,Finland,Finland,FI,153.94,192.19,74.22,43.66,entsoe.eu,False,
2021-01-03 11:00:00,Finland,Finland,FI,152.27,189.81,74.71,44.39,entsoe.eu,False,
2021-01-03 12:00:00,Finland,Finland,FI,151.52,189.17,74.76,44.41,entsoe.eu,False,
2021-01-03 13:00:00,Finland,Finland,FI,148.28,185.82,75.28,44.44,entsoe.eu,False,
2021-01-03 14:00:00,Finland,Finland,FI,145.26,182.67,75.68,45.55,entsoe.eu,False,
2021-01-03 15:00:00,Finland,Finland,FI,145.35,182.74,75.59,45.93,entsoe.eu,False,
2021-01-03 16:00:00,Finland,Finland,FI,145.63,183.0,75.48,45.99,entsoe.eu,False,
2021-01-03 17:00:00,Finland,Finland,FI,145.38,183.06,75.45,45.42,entsoe.eu,False,
2021-01-03 18:00:00,Finland,Finland,FI,145.43,182.47,75.77,45.48,entsoe.eu,False,
2021-01-03 19:00:00,Finland,Finland,FI,148.85,186.32,75.39,43.94,entsoe.eu,False,
2021-01-03 20:00:00,Finland,Finland,FI,145.45,182.4,75.9,44.76,entsoe.eu,False,
2021-01-03 21:00:00,Finland,Finland,FI,147.74,184.51,75.84,43.55,entsoe.eu,False,
2021-01-03 22:00:00,Finland,Finland,FI,150.11,187.38,75.39,42.57,entsoe.eu,False,
2021-01-03 23:00:00,Finland,Finland,FI,158.08,196.67,74.0,39.38,entsoe.eu,False,
2021-01-04 00:00:00,Finland,Finland,FI,159.91,198.81,73.63,38.51,entsoe.eu,False,
2021-01-04 01:00:00,Finland,Finland,FI,160.52,199.69,73.55,38.16,entsoe.eu,False,
2021-01-04 02:00:00,Finland,Finland,FI,161.42,200.1,73.45,38.41,entsoe.eu,False,
2021-01-04 03:00:00,Finland,Finland,FI,158.7,196.93,73.73,40.0,entsoe.eu,False,
2021-01-04 04:00:00,Finland,Finland,FI,155.02,194.32,73.86,40.54,entsoe.eu,False,
