Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Greece,Greece,GR,457.7,519.25,34.5,30.09,entsoe.eu,False,
2021-01-01 01:00:00,Greece,Greece,GR,462.37,524.03,34.23,30.05,entsoe.eu,False,
2021-01-01 02:00:00,Greece,Greece,GR,483.66,546.52,31.75,27.47,entsoe.eu,False,
2021-01-01 03:00:00,Greece,Greece,GR,491.14,554.69,30.64,26.08,entsoe.eu,False,
2021-01-01 04:00:00,Greece,Greece,GR,488.58,554.18,29.34,24.7,entsoe.eu,False,
2021-01-01 05:00:00,Greece,Greece,GR,492.89,561.29,27.45,23.34,entsoe.eu,False,
2021-01-01 06:00:00,Greece,Greece,GR,494.29,557.57,31.03,26.72,entsoe.eu,False,
2021-01-01 07:00:00,Greece,Greece,GR,468.18,527.4,36.82,32.98,entsoe.eu,False,
2021-01-01 08:00:00,Greece,Greece,GR,445.19,503.16,40.14,36.73,entsoe.eu,False,
2021-01-01 09:00:00,Greece,Greece,GR,402.5,461.86,42.53,39.36,entsoe.eu,False,
2021-01-01 10:00:00,Greece,Greece,GR,376.21,437.85,42.89,39.85,entsoe.eu,False,
2021-01-01 11:00:00,Greece,Greece,GR,375.14,436.64,43.0,40.07,entsoe.eu,False,
2021-01-01 12:00:00,Greece,Greece,GR,404.56,466.95,40.47,37.58,entsoe.eu,False,
2021-01-01 13:00:00,Greece,Greece,GR,445.68,512.35,33.78,30.22,entsoe.eu,False,
2021-01-01 14:00:00,Greece,Greece,GR,490.47,564.54,24.86,21.16,entsoe.eu,False,
2021-01-01 15:00:00,Greece,Greece,GR,485.77,562.56,22.8,19.54,entsoe.eu,False,
2021-01-01 16:00:00,Greece,Greece,GR,468.57,545.75,23.82,21.07,entsoe.eu,False,
2021-01-01 17:00:00,Greece,Greece,GR,476.77,562.73,17.4,17.0,entsoe.eu,False,
2021-01-01 18:00:00,Greece,Greece,GR,482.48,569.03,16.24,13.61,entsoe.eu,False,
2021-01-01 19:00:00,Greece,Greece,GR,495.49,583.59,14.42,11.57,entsoe.eu,False,
2021-01-01 20:00:00,Greece,Greece,GR,508.21,596.5,13.83,11.37,entsoe.eu,False,
2021-01-01 21:00:00,Greece,Greece,GR,503.13,589.92,14.91,11.83,entsoe.eu,False,
2021-01-01 22:00:00,Greece,Greece,GR,526.23,613.76,13.29,9.74,entsoe.eu,False,
2021-01-01 23:00:00,Greece,Greece,GR,543.83,626.8,13.88,8.89,entsoe.eu,False,
2021-01-02 00:00:00,Greece,Greece,GR,539.97,620.52,15.58,10.27,entsoe.eu,False,
2021-01-02 01:00:00,Greece,Greece,GR,541.42,623.84,14.23,9.62,entsoe.eu,False,
2021-01-02 02:00:00,Greece,Greece,GR,544.51,626.29,14.45,10.27,entsoe.eu,False,
2021-01-02 03:00:00,Greece,Greece,GR,543.27,625.0,14.64,10.96,entsoe.eu,False,
2021-01-02 04:00:00,Greece,Greece,GR,532.4,612.19,16.69,13.13,entsoe.eu,False,
2021-01-02 05:00:00,Greece,Greece,GR,538.75,615.09,18.74,14.82,entsoe.eu,False,
2021-01-02 06:00:00,Greece,Greece,GR,520.23,593.82,22.32,18.85,entsoe.eu,False,
2021-01-02 07:00:00,Greece,Greece,GR,451.27,523.6,28.93,26.37,entsoe.eu,False,
2021-01-02 08:00:00,Greece,Greece,GR,411.02,485.0,31.67,31.01,entsoe.eu,False,
2021-01-02 09:00:00,Greece,Greece,GR,393.55,465.74,34.09,32.24,entsoe.eu,False,
2021-01-02 10:00:00,Greece,Greece,GR,394.88,469.88,32.1,30.32,entsoe.eu,False,
2021-01-02 11:00:00,Greece,Greece,GR,399.75,474.94,31.16,29.34,entsoe.eu,False,
2021-01-02 12:00:00,Greece,Greece,GR,414.29,490.74,29.16,27.28,entsoe.eu,False,
2021-01-02 13:00:00,Greece,Greece,GR,428.51,507.48,25.87,23.64,entsoe.eu,False,
2021-01-02 14:00:00,Greece,Greece,GR,445.71,525.51,23.65,21.58,entsoe.eu,False,
2021-01-02 15:00:00,Greece,Greece,GR,435.68,511.76,26.65,24.31,entsoe.eu,False,
2021-01-02 16:00:00,Greece,Greece,GR,417.99,490.15,30.53,28.02,entsoe.eu,False,
2021-01-02 17:00:00,Greece,Greece,GR,405.75,475.9,32.6,30.16,entsoe.eu,False,
2021-01-02 18:00:00,Greece,Greece,GR,402.02,470.73,33.77,31.32,entsoe.eu,False,
2021-01-02 19:00:00,Greece,Greece,GR,386.04,451.98,36.61,34.22,entsoe.eu,False,
2021-01-02 20:00:00,Greece,Greece,GR,374.27,434.55,41.3,38.84,entsoe.eu,False,
2021-01-02 21:00:00,Greece,Greece,GR,381.59,444.44,39.32,37.1,entsoe.eu,False,
2021-01-02 22:00:00,Greece,Greece,GR,379.49,440.5,41.01,39.09,entsoe.eu,False,
2021-01-02 23:00:00,Greece,Greece,GR,371.8,427.48,45.49,44.14,entsoe.eu,False,
2021-01-03 00:00:00,Greece,Greece,GR,374.44,420.08,51.3,48.05,entsoe.eu,False,
2021-01-03 01:00:00,Greece,Greece,GR,366.59,411.32,52.54,49.84,entsoe.eu,False,
2021-01-03 02:00:00,Greece,Greece,GR,355.33,398.67,54.47,52.37,entsoe.eu,False,
2021-01-03 03:00:00,Greece,Greece,GR,358.49,402.31,54.08,52.12,entsoe.eu,False,
2021-01-03 04:00:00,Greece,Greece,GR,357.64,401.71,53.86,51.55,entsoe.eu,False,
2021-01-03 05:00:00,Greece,Greece,GR,376.12,423.05,50.32,47.07,entsoe.eu,False,
2021-01-03 06:00:00,Greece,Greece,GR,369.03,411.03,54.27,50.57,entsoe.eu,False,
2021-01-03 07:00:00,Greece,Greece,GR,349.5,395.31,53.61,50.84,entsoe.eu,False,
2021-01-03 08:00:00,Greece,Greece,GR,336.65,384.62,53.63,51.72,entsoe.eu,False,
2021-01-03 09:00:00,Greece,Greece,GR,321.36,369.94,54.43,52.43,entsoe.eu,False,
2021-01-03 10:00:00,Greece,Greece,GR,321.9,372.61,53.05,51.11,entsoe.eu,False,
2021-01-03 11:00:00,Greece,Greece,GR,326.71,380.06,50.92,49.1,entsoe.eu,False,
2021-01-03 12:00:00,Greece,Greece,GR,343.4,397.51,49.37,47.6,entsoe.eu,False,
2021-01-03 13:00:00,Greece,Greece,GR,353.51,406.92,48.45,46.17,entsoe.eu,False,
2021-01-03 14:00:00,Greece,Greece,GR,370.63,427.01,44.73,42.58,entsoe.eu,False,
2021-01-03 15:00:00,Greece,Greece,GR,376.05,434.14,43.25,41.1,entsoe.eu,False,
2021-01-03 16:00:00,Greece,Greece,GR,358.32,414.35,45.93,44.09,entsoe.eu,False,
2021-01-03 17:00:00,Greece,Greece,GR,361.23,418.42,44.76,42.83,entsoe.eu,False,
2021-01-03 18:00:00,Greece,Greece,GR,363.27,421.18,43.92,41.92,entsoe.eu,False,
2021-01-03 19:00:00,Greece,Greece,GR,368.7,429.36,41.44,39.53,entsoe.eu,False,
2021-01-03 20:00:00,Greece,Greece,GR,365.09,422.96,43.55,41.55,entsoe.eu,False,
2021-01-03 21:00:00,Greece,Greece,GR,378.3,437.81,41.69,39.67,entsoe.eu,False,
2021-01-03 22:00:00,Greece,Greece,GR,374.04,427.86,45.85,43.37,entsoe.eu,False,
2021-01-03 23:00:00,Greece,Greece,GR,404.63,459.17,43.23,40.47,entsoe.eu,False,
2021-01-04 00:00:00,Greece,Greece,GR,394.31,443.98,47.2,44.52,entsoe.eu,False,
2021-01-04 01:00:00,Greece,Greece,GR,396.34,442.42,49.8,47.93,entsoe.eu,False,
2021-01-04 02:00:00,Greece,Greece,GR,383.02,429.62,50.65,49.68,entsoe.eu,False,
2021-01-04 03:00:00,Greece,Greece,GR,370.3,416.85,51.54,50.6,entsoe.eu,False,
2021-01-04 04:00:00,Greece,Greece,GR,369.64,416.41,51.21,49.73,entsoe.eu,False,
2021-01-04 05:00:00,Greece,Greece,GR,352.03,401.42,50.32,48.37,entsoe.eu,False,
2021-01-04 06:00:00,Greece,Greece,GR,326.53,377.41,51.26,49.96,entsoe.eu,False,
2021-01-04 07:00:00,Greece,Greece,GR,333.78,389.77,47.37,46.02,entsoe.eu,False,
2021-01-04 08:00:00,Greece,Greece,GR,342.63,398.17,47.49,46.46,entsoe.eu,False,
2021-01-04 09:00:00,Greece,Greece,GR,350.27,405.82,47.21,46.42,entsoe.eu,False,
2021-01-04 10:00:00,Greece,Greece,GR,337.94,395.78,46.47,45.63,entsoe.eu,False,
2021-01-04 11:00:00,Greece,Greece,GR,337.13,394.73,46.76,46.02,entsoe.eu,False,
2021-01-04 12:00:00,Greece,Greece,GR,359.0,418.71,43.94,43.41,entsoe.eu,False,
2021-01-04 13:00:00,Greece,Greece,GR,361.51,421.66,43.28,42.56,entsoe.eu,False,
2021-01-04 14:00:00,Greece,Greece,GR,348.44,407.9,44.4,43.54,entsoe.eu,False,
2021-01-04 15:00:00,Greece,Greece,GR,336.35,393.16,46.84,45.57,entsoe.eu,False,
2021-01-04 16:00:00,Greece,Greece,GR,329.55,381.72,50.33,48.41,entsoe.eu,False,
2021-01-04 17:00:00,Greece,Greece,GR,316.77,364.79,54.08,52.32,entsoe.eu,False,
2021-01-04 18:00:00,Greece,Greece,GR,320.84,368.7,53.69,51.62,entsoe.eu,False,
2021-01-04 19:00:00,Greece,Greece,GR,330.25,381.25,50.63,48.51,entsoe.eu,False,
2021-01-04 20:00:00,Greece,Greece,GR,336.54,390.09,48.61,46.77,entsoe.eu,False,
2021-01-04 21:00:00,Greece,Greece,GR,344.96,400.64,46.59,44.51,entsoe.eu,False,
2021-01-04 22:00:00,Greece,Greece,GR,351.51,405.12,47.49,45.18,entsoe.eu,False,
2021-01-04 23:00:00,Greece,Greece,GR,372.86,428.49,44.87,43.13,entsoe.eu,False,
2021-01-05 00:00:00,Greece,Greece,GR,397.88,450.12,45.43,43.51,entsoe.eu,False,
2021-01-05 01:00:00,Greece,Greece,GR,425.7,478.84,42.9,40.91,entsoe.eu,False,
2021-01-05 02:00:00,Greece,Greece,GR,394.34,446.87,45.22,42.94,entsoe.eu,False,
2021-01-05 03:00:00,Greece,Greece,GR,395.93,448.47,44.82,42.19,entsoe.eu,False,
2021-01-05 04:00:00,Greece,Greece,GR,401.02,453.87,44.0,40.71,entsoe.eu,False,
