Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Croatia,Croatia,HR,517.25,273.53,13.44,13.34,entsoe.eu; hops.hr,False,
2021-01-01 01:00:00,Croatia,Croatia,HR,538.29,291.48,10.48,10.33,hops.hr,False,
2021-01-01 02:00:00,Croatia,Croatia,HR,522.65,305.66,14.45,14.25,entsoe.eu; hops.hr,False,
2021-01-01 03:00:00,Croatia,Croatia,HR,489.88,298.41,20.4,20.17,entsoe.eu; hops.hr,False,
2021-01-01 04:00:00,Croatia,Croatia,HR,493.03,287.67,19.14,18.89,entsoe.eu; hops.hr,False,
2021-01-01 05:00:00,Croatia,Croatia,HR,454.01,287.31,26.8,26.43,entsoe.eu; hops.hr,False,
2021-01-01 06:00:00,Croatia,Croatia,HR,456.64,291.57,26.58,26.29,entsoe.eu; hops.hr,False,
2021-01-01 07:00:00,Croatia,Croatia,HR,447.72,285.62,28.01,27.69,entsoe.eu; hops.hr,False,
2021-01-01 08:00:00,Croatia,Croatia,HR,451.87,291.91,27.62,27.19,entsoe.eu; hops.hr,False,
2021-01-01 09:00:00,Croatia,Croatia,HR,426.33,285.72,32.28,31.81,entsoe.eu; hops.hr,False,
2021-01-01 10:00:00,Croatia,Croatia,HR,397.33,282.65,37.82,37.28,entsoe.eu; hops.hr,False,
2021-01-01 11:00:00,Croatia,Croatia,HR,318.12,274.09,53.22,52.77,entsoe.eu; hops.hr,False,
2021-01-01 12:00:00,Croatia,Croatia,HR,460.19,280.66,25.3,24.86,hops.hr,False,
2021-01-01 13:00:00,Croatia,Croatia,HR,438.33,267.32,28.82,28.4,entsoe.eu; hops.hr,False,
2021-01-01 14:00:00,Croatia,Croatia,HR,404.52,267.21,35.56,35.18,entsoe.eu; hops.hr,False,
2021-01-01 15:00:00,Croatia,Croatia,HR,435.88,261.57,28.96,28.7,entsoe.eu; hops.hr,False,
2021-01-01 16:00:00,Croatia,Croatia,HR,415.74,246.81,32.02,31.8,entsoe.eu; hops.hr,False,
2021-01-01 17:00:00,Croatia,Croatia,HR,339.1,255.85,47.89,47.68,entsoe.eu; hops.hr,False,
2021-01-01 18:00:00,Croatia,Croatia,HR,377.91,246.39,39.42,39.23,entsoe.eu; hops.hr,False,
2021-01-01 19:00:00,Croatia,Croatia,HR,377.88,248.43,39.5,39.31,entsoe.eu; hops.hr,False,
2021-01-01 20:00:00,Croatia,Croatia,HR,419.88,255.26,31.7,31.47,entsoe.eu; hops.hr,False,
2021-01-01 21:00:00,Croatia,Croatia,HR,375.92,228.0,38.65,38.48,entsoe.eu; hops.hr,False,
2021-01-01 22:00:00,Croatia,Croatia,HR,385.82,236.11,37.23,37.07,entsoe.eu; hops.hr,False,
2021-01-01 23:00:00,Croatia,Croatia,HR,395.88,243.72,35.68,35.53,entsoe.eu; hops.hr,False,
2021-01-02 00:00:00,Croatia,Croatia,HR,392.83,273.96,38.2,38.07,entsoe.eu; hops.hr,False,
2021-01-02 01:00:00,Croatia,Croatia,HR,382.24,285.12,40.99,40.84,entsoe.eu; hops.hr,False,
2021-01-02 02:00:00,Croatia,Croatia,HR,447.54,291.79,28.55,28.42,hops.hr,False,
2021-01-02 03:00:00,Croatia,Croatia,HR,409.38,283.71,35.56,35.44,entsoe.eu; hops.hr,False,
2021-01-02 04:00:00,Croatia,Croatia,HR,403.61,277.74,36.35,36.3,entsoe.eu; hops.hr,False,
2021-01-02 05:00:00,Croatia,Croatia,HR,433.32,274.34,30.6,30.6,hops.hr,False,
2021-01-02 06:00:00,Croatia,Croatia,HR,325.13,270.23,51.11,51.1,entsoe.eu; hops.hr,False,
2021-01-02 07:00:00,Croatia,Croatia,HR,418.01,272.9,33.16,33.08,hops.hr,False,
2021-01-02 08:00:00,Croatia,Croatia,HR,394.25,268.57,37.6,37.46,entsoe.eu; hops.hr,False,
2021-01-02 09:00:00,Croatia,Croatia,HR,371.46,268.41,42.1,41.95,entsoe.eu; hops.hr,False,
2021-01-02 10:00:00,Croatia,Croatia,HR,359.91,268.71,44.37,44.17,entsoe.eu; hops.hr,False,
2021-01-02 11:00:00,Croatia,Croatia,HR,412.3,277.83,34.57,34.36,entsoe.eu; hops.hr,False,
2021-01-02 12:00:00,Croatia,Croatia,HR,358.67,269.08,44.55,44.34,entsoe.eu; hops.hr,False,
2021-01-02 13:00:00,Croatia,Croatia,HR,397.3,272.74,37.2,37.01,entsoe.eu; hops.hr,False,
2021-01-02 14:00:00,Croatia,Croatia,HR,374.38,265.26,41.23,41.06,entsoe.eu; hops.hr,False,
2021-01-02 15:00:00,Croatia,Croatia,HR,365.68,252.94,42.16,42.03,entsoe.eu; hops.hr,False,
2021-01-02 16:00:00,Croatia,Croatia,HR,368.53,230.47,40.27,40.15,entsoe.eu; hops.hr,False,
2021-01-02 17:00:00,Croatia,Croatia,HR,445.69,243.0,25.83,25.69,entsoe.eu; hops.hr,False,
2021-01-02 18:00:00,Croatia,Croatia,HR,285.7,238.29,57.08,56.94,entsoe.eu; hops.hr,False,
2021-01-02 19:00:00,Croatia,Croatia,HR,315.91,250.62,51.89,51.71,entsoe.eu; hops.hr,False,
2021-01-02 20:00:00,Croatia,Croatia,HR,362.62,263.99,43.51,43.29,entsoe.eu; hops.hr,False,
2021-01-02 21:00:00,Croatia,Croatia,HR,377.06,271.74,41.17,40.87,entsoe.eu; hops.hr,False,
2021-01-02 22:00:00,Croatia,Croatia,HR,450.11,282.98,27.45,27.12,entsoe.eu; hops.hr,False,
