Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Hungary,Hungary,HU,243.7,276.34,63.78,9.47,entsoe.eu,False,
2021-01-01 01:00:00,Hungary,Hungary,HU,249.02,273.53,62.87,8.93,entsoe.eu,False,
2021-01-01 02:00:00,Hungary,Hungary,HU,261.1,278.47,60.44,9.05,entsoe.eu,False,
2021-01-01 03:00:00,Hungary,Hungary,HU,265.07,284.75,59.57,9.18,entsoe.eu,False,
2021-01-01 04:00:00,Hungary,Hungary,HU,264.37,284.18,59.65,9.16,entsoe.eu,False,
2021-01-01 05:00:00,Hungary,Hungary,HU,264.36,288.29,59.93,11.41,entsoe.eu,False,
2021-01-01 06:00:00,Hungary,Hungary,HU,269.39,291.74,58.93,12.15,entsoe.eu,False,
2021-01-01 07:00:00,Hungary,Hungary,HU,260.49,282.04,60.48,15.12,entsoe.eu,False,
2021-01-01 08:00:00,Hungary,Hungary,HU,249.38,269.09,62.67,19.87,entsoe.eu,False,
2021-01-01 09:00:00,Hungary,Hungary,HU,232.95,257.79,65.13,22.62,entsoe.eu,False,
2021-01-01 10:00:00,Hungary,Hungary,HU,235.86,263.37,64.61,24.05,entsoe.eu,False,
2021-01-01 11:00:00,Hungary,Hungary,HU,225.94,259.83,66.42,24.97,entsoe.eu,False,
2021-01-01 12:00:00,Hungary,Hungary,HU,253.13,272.21,61.45,19.42,entsoe.eu,False,
2021-01-01 13:00:00,Hungary,Hungary,HU,262.85,281.72,59.84,16.48,entsoe.eu,False,
2021-01-01 14:00:00,Hungary,Hungary,HU,268.3,288.74,59.58,15.73,entsoe.eu,False,
2021-01-01 15:00:00,Hungary,Hungary,HU,272.71,287.72,58.45,13.56,entsoe.eu,False,
2021-01-01 16:00:00,Hungary,Hungary,HU,267.92,289.2,59.17,13.6,entsoe.eu,False,
2021-01-01 17:00:00,Hungary,Hungary,HU,257.05,288.92,61.06,15.59,entsoe.eu,False,
2021-01-01 18:00:00,Hungary,Hungary,HU,255.05,282.13,61.89,14.58,entsoe.eu,False,
2021-01-01 19:00:00,Hungary,Hungary,HU,253.37,284.34,62.26,14.05,entsoe.eu,False,
2021-01-01 20:00:00,Hungary,Hungary,HU,255.31,283.38,61.33,13.43,entsoe.eu,False,
2021-01-01 21:00:00,Hungary,Hungary,HU,246.46,279.6,62.79,12.47,entsoe.eu,False,
2021-01-01 22:00:00,Hungary,Hungary,HU,244.46,279.68,63.17,11.84,entsoe.eu,False,
2021-01-01 23:00:00,Hungary,Hungary,HU,235.6,274.87,64.68,11.42,entsoe.eu,False,
2021-01-02 00:00:00,Hungary,Hungary,HU,232.64,270.09,65.24,13.02,entsoe.eu,False,
2021-01-02 01:00:00,Hungary,Hungary,HU,240.53,273.13,64.44,13.68,entsoe.eu,False,
2021-01-02 02:00:00,Hungary,Hungary,HU,253.61,279.99,62.43,12.64,entsoe.eu,False,
2021-01-02 03:00:00,Hungary,Hungary,HU,248.81,277.14,63.28,12.98,entsoe.eu,False,
