Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Ireland,Ireland,IE,176.55,227.07,63.53,63.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Ireland,Ireland,IE,161.09,208.29,66.72,66.72,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Ireland,Ireland,IE,133.64,174.95,72.39,72.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Ireland,Ireland,IE,133.34,174.58,72.46,72.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Ireland,Ireland,IE,126.35,166.08,73.9,73.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Ireland,Ireland,IE,131.03,171.78,72.93,72.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Ireland,Ireland,IE,150.58,195.52,68.9,68.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Ireland,Ireland,IE,188.74,241.87,61.01,61.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Ireland,Ireland,IE,206.7,263.68,57.3,57.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Ireland,Ireland,IE,224.69,285.53,53.59,53.59,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Ireland,Ireland,IE,263.72,332.95,45.52,45.52,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Ireland,Ireland,IE,297.72,374.24,38.5,38.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Ireland,Ireland,IE,303.66,381.45,37.28,37.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Ireland,Ireland,IE,310.78,390.1,35.8,35.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Ireland,Ireland,IE,308.26,387.05,36.32,36.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Ireland,Ireland,IE,311.61,391.11,35.63,35.63,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Ireland,Ireland,IE,312.78,392.53,35.39,35.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Ireland,Ireland,IE,319.87,401.14,33.93,33.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Ireland,Ireland,IE,335.94,420.66,30.61,30.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Ireland,Ireland,IE,337.12,422.1,30.36,30.36,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Ireland,Ireland,IE,341.28,427.15,29.5,29.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Ireland,Ireland,IE,345.34,432.08,28.67,28.67,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Ireland,Ireland,IE,346.6,433.61,28.41,28.41,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Ireland,Ireland,IE,351.49,439.55,27.4,27.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Ireland,Ireland,IE,350.79,438.7,27.54,27.54,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Ireland,Ireland,IE,349.28,436.86,27.85,27.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Ireland,Ireland,IE,326.88,409.66,32.48,32.48,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Ireland,Ireland,IE,312.97,392.76,35.35,35.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Ireland,Ireland,IE,293.25,368.81,39.43,39.43,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Ireland,Ireland,IE,288.32,362.82,40.45,40.45,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Ireland,Ireland,IE,293.57,369.21,39.36,39.36,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Ireland,Ireland,IE,304.95,383.02,37.01,37.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Ireland,Ireland,IE,300.82,378.0,37.86,37.86,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Ireland,Ireland,IE,290.92,365.98,39.91,39.91,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Ireland,Ireland,IE,285.79,359.76,40.97,40.97,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Ireland,Ireland,IE,302.19,379.67,37.58,37.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Ireland,Ireland,IE,310.3,389.52,35.9,35.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Ireland,Ireland,IE,312.83,392.6,35.38,35.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Ireland,Ireland,IE,321.84,403.54,33.52,33.52,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Ireland,Ireland,IE,328.39,411.49,32.17,32.17,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Ireland,Ireland,IE,332.64,416.66,31.29,31.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Ireland,Ireland,IE,342.69,428.86,29.21,29.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Ireland,Ireland,IE,341.39,427.28,29.48,29.48,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Ireland,Ireland,IE,333.05,417.15,31.21,31.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Ireland,Ireland,IE,336.07,420.82,30.58,30.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,Ireland,Ireland,IE,336.48,421.32,30.5,30.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,Ireland,Ireland,IE,325.88,408.45,32.68,32.68,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,Ireland,Ireland,IE,314.47,394.59,35.04,35.04,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,Ireland,Ireland,IE,299.39,376.27,38.16,38.16,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,Ireland,Ireland,IE,293.57,369.2,39.36,39.36,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,Ireland,Ireland,IE,285.43,359.32,41.04,41.04,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 03:00:00,Ireland,Ireland,IE,280.27,353.05,42.11,42.11,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 04:00:00,Ireland,Ireland,IE,277.76,350.0,42.62,42.62,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 05:00:00,Ireland,Ireland,IE,288.04,362.48,40.5,40.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 06:00:00,Ireland,Ireland,IE,295.41,371.43,38.98,38.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
