Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 01:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 02:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 03:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 04:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 05:00:00,Israel,Israel,IL,481.76,583.25,1.13,1.13,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 06:00:00,Israel,Israel,IL,445.42,542.65,8.59,8.59,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 07:00:00,Israel,Israel,IL,436.36,532.53,10.45,10.45,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 08:00:00,Israel,Israel,IL,433.51,529.34,11.04,11.04,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 09:00:00,Israel,Israel,IL,432.53,528.24,11.24,11.24,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 10:00:00,Israel,Israel,IL,432.23,527.91,11.3,11.3,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 11:00:00,Israel,Israel,IL,433.38,529.2,11.06,11.06,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 12:00:00,Israel,Israel,IL,437.05,533.29,10.31,10.31,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 13:00:00,Israel,Israel,IL,444.98,542.15,8.68,8.68,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 14:00:00,Israel,Israel,IL,463.23,562.54,4.94,4.94,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 15:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 16:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 17:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 18:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 19:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 20:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 21:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 22:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-01 23:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 00:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 01:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 02:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 03:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 04:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 05:00:00,Israel,Israel,IL,476.69,577.58,2.17,2.17,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 06:00:00,Israel,Israel,IL,442.06,538.89,9.28,9.28,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 07:00:00,Israel,Israel,IL,431.78,527.41,11.39,11.39,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 08:00:00,Israel,Israel,IL,429.79,525.19,11.8,11.8,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 09:00:00,Israel,Israel,IL,428.96,524.26,11.97,11.97,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 10:00:00,Israel,Israel,IL,428.25,523.46,12.11,12.11,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 11:00:00,Israel,Israel,IL,428.56,523.81,12.05,12.05,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 12:00:00,Israel,Israel,IL,431.37,526.95,11.47,11.47,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 13:00:00,Israel,Israel,IL,440.98,537.69,9.5,9.5,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 14:00:00,Israel,Israel,IL,460.76,559.78,5.44,5.44,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 15:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 16:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 17:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 18:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 19:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 20:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 21:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 22:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-02 23:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 00:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 01:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 02:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 03:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 04:00:00,Israel,Israel,IL,487.18,589.31,0.02,0.02,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 05:00:00,Israel,Israel,IL,482.55,584.13,0.97,0.97,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 06:00:00,Israel,Israel,IL,449.66,547.38,7.72,7.72,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 07:00:00,Israel,Israel,IL,440.68,537.36,9.56,9.56,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 08:00:00,Israel,Israel,IL,437.35,533.63,10.25,10.25,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 09:00:00,Israel,Israel,IL,435.42,531.47,10.64,10.64,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 10:00:00,Israel,Israel,IL,434.77,530.75,10.78,10.78,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 11:00:00,Israel,Israel,IL,436.06,532.19,10.51,10.51,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 12:00:00,Israel,Israel,IL,438.89,535.35,9.93,9.93,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 13:00:00,Israel,Israel,IL,445.45,542.68,8.59,8.59,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
2021-01-03 14:00:00,Israel,Israel,IL,463.03,562.32,4.98,4.98,Electricity Maps Estimation,True,ESTIMATED_RECONSTRUCT_BREAKDOWN
