Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,India,North Eastern India,IN-NE,351.05,441.18,21.44,21.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,India,North Eastern India,IN-NE,347.06,436.68,22.33,22.33,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,India,North Eastern India,IN-NE,325.6,412.46,27.13,27.13,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,India,North Eastern India,IN-NE,325.2,412.01,27.22,27.22,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,India,North Eastern India,IN-NE,324.43,411.14,27.4,27.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,India,North Eastern India,IN-NE,323.6,410.2,27.58,27.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,India,North Eastern India,IN-NE,323.34,409.91,27.64,27.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,India,North Eastern India,IN-NE,323.84,410.47,27.53,27.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,India,North Eastern India,IN-NE,324.74,411.49,27.33,27.33,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,India,North Eastern India,IN-NE,327.17,414.23,26.78,26.78,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,India,North Eastern India,IN-NE,332.63,420.39,25.56,25.56,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,India,North Eastern India,IN-NE,350.3,440.33,21.61,21.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,India,North Eastern India,IN-NE,351.05,441.18,21.44,21.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,India,North Eastern India,IN-NE,351.05,441.18,21.44,21.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,India,North Eastern India,IN-NE,351.05,441.18,21.44,21.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,India,North Eastern India,IN-NE,351.05,441.18,21.44,21.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,India,North Eastern India,IN-NE,351.05,441.18,21.44,21.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,India,North Eastern India,IN-NE,351.05,441.18,21.44,21.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,India,North Eastern India,IN-NE,341.48,430.53,23.26,23.26,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,India,North Eastern India,IN-NE,320.5,406.84,27.97,27.97,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,India,North Eastern India,IN-NE,320.1,406.38,28.07,28.07,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,India,North Eastern India,IN-NE,319.33,405.52,28.24,28.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,India,North Eastern India,IN-NE,318.53,404.61,28.42,28.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,India,North Eastern India,IN-NE,318.27,404.32,28.48,28.48,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,India,North Eastern India,IN-NE,318.75,404.86,28.37,28.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,India,North Eastern India,IN-NE,319.62,405.84,28.17,28.17,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,India,North Eastern India,IN-NE,321.96,408.49,27.65,27.65,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,India,North Eastern India,IN-NE,327.21,414.41,26.47,26.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,India,North Eastern India,IN-NE,344.31,433.72,22.62,22.62,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,India,North Eastern India,IN-NE,345.23,434.76,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,India,North Eastern India,IN-NE,340.21,430.16,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,India,North Eastern India,IN-NE,340.21,430.16,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,India,North Eastern India,IN-NE,340.21,430.16,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,India,North Eastern India,IN-NE,340.21,430.16,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,India,North Eastern India,IN-NE,340.21,430.16,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,India,North Eastern India,IN-NE,340.21,430.16,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,India,North Eastern India,IN-NE,340.21,430.16,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,India,North Eastern India,IN-NE,336.62,426.1,23.46,23.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,India,North Eastern India,IN-NE,315.8,402.53,28.19,28.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 03:00:00,India,North Eastern India,IN-NE,315.38,402.05,28.29,28.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 04:00:00,India,North Eastern India,IN-NE,314.62,401.19,28.46,28.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 05:00:00,India,North Eastern India,IN-NE,313.82,400.29,28.64,28.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 06:00:00,India,North Eastern India,IN-NE,313.56,400.0,28.7,28.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 07:00:00,India,North Eastern India,IN-NE,314.03,400.53,28.59,28.59,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
