Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,India,Northern India,IN-NO,613.04,669.56,17.61,14.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,India,Northern India,IN-NO,612.75,669.25,17.65,14.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,India,Northern India,IN-NO,595.6,651.77,19.95,16.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,India,Northern India,IN-NO,486.17,540.33,34.66,32.23,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,India,Northern India,IN-NO,466.06,519.88,37.36,35.13,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,India,Northern India,IN-NO,459.58,513.28,38.23,36.09,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,India,Northern India,IN-NO,443.37,496.69,40.41,38.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,India,Northern India,IN-NO,438.99,492.2,41.0,38.69,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,India,Northern India,IN-NO,436.28,489.41,41.36,39.0,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,India,Northern India,IN-NO,439.7,492.89,40.9,38.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,India,Northern India,IN-NO,442.02,495.19,40.59,38.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,India,Northern India,IN-NO,465.67,519.23,37.41,34.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,India,Northern India,IN-NO,607.91,664.13,18.3,14.59,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,India,Northern India,IN-NO,610.19,666.51,17.99,14.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,India,Northern India,IN-NO,609.23,665.47,18.12,14.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,India,Northern India,IN-NO,608.4,664.58,18.23,14.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,India,Northern India,IN-NO,609.77,666.05,18.05,14.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,India,Northern India,IN-NO,610.15,666.47,18.0,14.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,India,Northern India,IN-NO,613.62,670.32,17.51,14.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,India,Northern India,IN-NO,612.22,668.82,17.7,14.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,India,Northern India,IN-NO,610.44,666.91,17.94,14.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,India,Northern India,IN-NO,608.58,664.91,18.19,14.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,India,Northern India,IN-NO,608.2,664.51,18.24,14.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
