Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,India,Southern India,IN-SO,518.01,568.0,30.84,24.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,India,Southern India,IN-SO,527.79,578.51,29.53,23.77,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,India,Southern India,IN-SO,447.75,497.76,40.22,35.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,India,Southern India,IN-SO,409.6,459.18,45.31,41.23,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,India,Southern India,IN-SO,404.14,453.81,46.04,42.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,India,Southern India,IN-SO,410.13,460.22,45.24,41.6,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,India,Southern India,IN-SO,395.88,445.51,47.14,43.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,India,Southern India,IN-SO,392.57,442.13,47.58,43.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,India,Southern India,IN-SO,387.31,436.7,48.29,44.27,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,India,Southern India,IN-SO,386.33,435.62,48.42,44.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,India,Southern India,IN-SO,383.69,432.69,48.77,44.43,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,India,Southern India,IN-SO,387.47,436.09,48.27,43.49,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,India,Southern India,IN-SO,449.75,498.4,39.95,33.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,India,Southern India,IN-SO,505.98,555.07,32.44,25.76,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,India,Southern India,IN-SO,502.76,551.61,32.87,26.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,India,Southern India,IN-SO,498.91,547.48,33.39,26.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,India,Southern India,IN-SO,499.21,547.8,33.35,26.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,India,Southern India,IN-SO,499.71,548.33,33.28,26.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
