Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,India,Western India,IN-WE,703.62,762.77,6.08,4.13,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,India,Western India,IN-WE,706.65,766.01,5.67,3.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,India,Western India,IN-WE,705.92,765.31,5.76,4.03,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,India,Western India,IN-WE,703.68,763.05,6.07,4.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,India,Western India,IN-WE,704.54,763.97,5.95,4.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,India,Western India,IN-WE,700.27,759.53,6.52,4.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,India,Western India,IN-WE,673.41,732.12,10.06,8.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,India,Western India,IN-WE,672.84,731.64,10.12,8.62,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,India,Western India,IN-WE,672.6,731.34,10.16,8.59,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,India,Western India,IN-WE,673.03,731.75,10.11,8.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,India,Western India,IN-WE,669.65,728.26,10.56,8.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,India,Western India,IN-WE,671.95,730.56,10.25,8.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,India,Western India,IN-WE,689.48,748.3,7.9,6.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,India,Western India,IN-WE,690.96,749.77,7.69,5.78,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,India,Western India,IN-WE,690.11,748.86,7.8,5.81,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,India,Western India,IN-WE,689.7,748.37,7.87,5.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,India,Western India,IN-WE,691.25,750.01,7.66,5.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,India,Western India,IN-WE,690.48,749.18,7.77,5.67,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,India,Western India,IN-WE,695.05,753.54,7.38,5.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,India,Western India,IN-WE,697.42,755.99,7.07,4.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,India,Western India,IN-WE,698.79,757.38,6.9,4.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,India,Western India,IN-WE,700.02,758.68,6.74,4.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,India,Western India,IN-WE,699.0,757.59,6.88,4.65,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,India,Western India,IN-WE,701.43,760.18,6.55,4.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,India,Western India,IN-WE,703.81,762.72,6.23,4.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,India,Western India,IN-WE,705.96,765.01,5.95,4.13,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,India,Western India,IN-WE,705.28,764.34,6.04,4.26,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,India,Western India,IN-WE,705.23,764.34,6.04,4.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,India,Western India,IN-WE,705.67,764.83,5.99,4.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,India,Western India,IN-WE,705.76,764.93,5.97,4.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,India,Western India,IN-WE,674.94,733.51,10.02,8.54,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,India,Western India,IN-WE,670.51,728.94,10.6,9.05,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,India,Western India,IN-WE,671.38,729.79,10.5,8.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,India,Western India,IN-WE,672.36,730.76,10.37,8.74,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,India,Western India,IN-WE,670.73,729.06,10.59,8.92,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,India,Western India,IN-WE,672.17,730.48,10.39,8.67,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,India,Western India,IN-WE,688.12,746.61,8.25,6.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,India,Western India,IN-WE,690.42,748.93,7.93,6.02,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,India,Western India,IN-WE,688.87,747.31,8.13,6.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,India,Western India,IN-WE,687.8,746.14,8.28,6.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,India,Western India,IN-WE,689.3,747.73,8.08,5.97,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
