Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Italy,Central North Italy,IT-CNO,251.58,320.44,53.94,53.86,entsoe.eu,False,
2021-01-01 01:00:00,Italy,Central North Italy,IT-CNO,259.88,329.23,53.39,53.28,entsoe.eu,False,
2021-01-01 02:00:00,Italy,Central North Italy,IT-CNO,258.13,327.02,54.26,54.14,entsoe.eu,False,
2021-01-01 03:00:00,Italy,Central North Italy,IT-CNO,250.19,317.59,55.9,55.78,entsoe.eu,False,
2021-01-01 04:00:00,Italy,Central North Italy,IT-CNO,249.61,316.6,56.08,55.93,entsoe.eu,False,
2021-01-01 05:00:00,Italy,Central North Italy,IT-CNO,247.9,314.94,56.29,56.17,entsoe.eu,False,
2021-01-01 06:00:00,Italy,Central North Italy,IT-CNO,243.28,310.21,56.71,56.62,entsoe.eu,False,
2021-01-01 07:00:00,Italy,Central North Italy,IT-CNO,246.37,311.28,57.38,57.23,entsoe.eu,False,
2021-01-01 08:00:00,Italy,Central North Italy,IT-CNO,221.66,283.45,61.24,61.12,entsoe.eu,False,
2021-01-01 09:00:00,Italy,Central North Italy,IT-CNO,218.89,281.11,61.23,61.14,entsoe.eu,False,
2021-01-01 10:00:00,Italy,Central North Italy,IT-CNO,230.91,294.84,58.95,58.87,entsoe.eu,False,
2021-01-01 11:00:00,Italy,Central North Italy,IT-CNO,242.01,303.61,60.12,60.02,entsoe.eu,False,
2021-01-01 12:00:00,Italy,Central North Italy,IT-CNO,233.94,295.91,60.23,60.12,entsoe.eu,False,
2021-01-01 13:00:00,Italy,Central North Italy,IT-CNO,225.78,288.67,59.97,59.86,entsoe.eu,False,
2021-01-01 14:00:00,Italy,Central North Italy,IT-CNO,221.84,287.72,57.9,57.85,entsoe.eu,False,
2021-01-01 15:00:00,Italy,Central North Italy,IT-CNO,239.33,308.98,53.85,53.84,entsoe.eu,False,
2021-01-01 16:00:00,Italy,Central North Italy,IT-CNO,204.2,271.33,56.9,56.03,entsoe.eu,False,
2021-01-01 17:00:00,Italy,Central North Italy,IT-CNO,192.64,256.52,60.08,58.56,entsoe.eu,False,
2021-01-01 18:00:00,Italy,Central North Italy,IT-CNO,188.41,251.34,60.47,57.93,entsoe.eu,False,
2021-01-01 19:00:00,Italy,Central North Italy,IT-CNO,176.18,237.57,61.81,57.45,entsoe.eu,False,
2021-01-01 20:00:00,Italy,Central North Italy,IT-CNO,188.37,251.45,61.05,60.0,entsoe.eu,False,
2021-01-01 21:00:00,Italy,Central North Italy,IT-CNO,230.01,296.95,56.28,56.28,entsoe.eu,False,
2021-01-01 22:00:00,Italy,Central North Italy,IT-CNO,252.74,321.1,53.92,53.91,entsoe.eu,False,
2021-01-01 23:00:00,Italy,Central North Italy,IT-CNO,261.69,330.73,53.73,53.64,entsoe.eu,False,
2021-01-02 00:00:00,Italy,Central North Italy,IT-CNO,261.35,329.8,54.53,54.4,entsoe.eu,False,
2021-01-02 01:00:00,Italy,Central North Italy,IT-CNO,262.93,331.86,54.3,54.14,entsoe.eu,False,
2021-01-02 02:00:00,Italy,Central North Italy,IT-CNO,261.04,330.27,54.38,54.25,entsoe.eu,False,
2021-01-02 03:00:00,Italy,Central North Italy,IT-CNO,256.2,324.9,54.92,54.82,entsoe.eu,False,
2021-01-02 04:00:00,Italy,Central North Italy,IT-CNO,250.75,318.76,55.67,55.58,entsoe.eu,False,
2021-01-02 05:00:00,Italy,Central North Italy,IT-CNO,239.28,305.65,57.57,57.54,entsoe.eu,False,
2021-01-02 06:00:00,Italy,Central North Italy,IT-CNO,234.8,299.77,58.25,58.18,entsoe.eu,False,
2021-01-02 07:00:00,Italy,Central North Italy,IT-CNO,232.04,297.07,57.91,57.85,entsoe.eu,False,
2021-01-02 08:00:00,Italy,Central North Italy,IT-CNO,214.62,277.36,60.73,60.72,entsoe.eu,False,
2021-01-02 09:00:00,Italy,Central North Italy,IT-CNO,205.27,266.22,62.59,62.55,entsoe.eu,False,
2021-01-02 10:00:00,Italy,Central North Italy,IT-CNO,194.26,253.39,64.5,64.47,entsoe.eu,False,
2021-01-02 11:00:00,Italy,Central North Italy,IT-CNO,203.25,263.19,62.97,62.93,entsoe.eu,False,
2021-01-02 12:00:00,Italy,Central North Italy,IT-CNO,212.91,275.58,60.48,60.45,entsoe.eu,False,
2021-01-02 13:00:00,Italy,Central North Italy,IT-CNO,210.23,272.52,60.96,60.91,entsoe.eu,False,
2021-01-02 14:00:00,Italy,Central North Italy,IT-CNO,195.31,257.78,61.74,61.73,entsoe.eu,False,
2021-01-02 15:00:00,Italy,Central North Italy,IT-CNO,199.47,262.97,60.5,60.48,entsoe.eu,False,
2021-01-02 16:00:00,Italy,Central North Italy,IT-CNO,229.9,293.58,58.12,58.11,entsoe.eu,False,
2021-01-02 17:00:00,Italy,Central North Italy,IT-CNO,231.88,294.55,58.65,58.64,entsoe.eu,False,
2021-01-02 18:00:00,Italy,Central North Italy,IT-CNO,206.78,269.2,59.83,58.18,entsoe.eu,False,
2021-01-02 19:00:00,Italy,Central North Italy,IT-CNO,195.03,256.91,60.99,59.34,entsoe.eu,False,
2021-01-02 20:00:00,Italy,Central North Italy,IT-CNO,208.56,271.88,59.61,59.55,entsoe.eu,False,
2021-01-02 21:00:00,Italy,Central North Italy,IT-CNO,229.06,294.66,56.85,56.77,entsoe.eu,False,
2021-01-02 22:00:00,Italy,Central North Italy,IT-CNO,224.95,288.38,58.9,58.82,entsoe.eu,False,
2021-01-02 23:00:00,Italy,Central North Italy,IT-CNO,209.91,271.27,61.6,61.55,entsoe.eu,False,
2021-01-03 00:00:00,Italy,Central North Italy,IT-CNO,234.83,297.75,59.12,59.02,entsoe.eu,False,
2021-01-03 01:00:00,Italy,Central North Italy,IT-CNO,234.94,298.89,58.59,58.49,entsoe.eu,False,
2021-01-03 02:00:00,Italy,Central North Italy,IT-CNO,244.18,309.99,56.71,56.62,entsoe.eu,False,
2021-01-03 03:00:00,Italy,Central North Italy,IT-CNO,245.21,311.59,56.59,56.51,entsoe.eu,False,
2021-01-03 04:00:00,Italy,Central North Italy,IT-CNO,238.65,303.91,57.68,57.59,entsoe.eu,False,
2021-01-03 05:00:00,Italy,Central North Italy,IT-CNO,234.15,299.59,57.5,57.38,entsoe.eu,False,
2021-01-03 06:00:00,Italy,Central North Italy,IT-CNO,218.87,282.33,59.74,59.65,entsoe.eu,False,
2021-01-03 07:00:00,Italy,Central North Italy,IT-CNO,211.05,272.51,61.39,61.31,entsoe.eu,False,
2021-01-03 08:00:00,Italy,Central North Italy,IT-CNO,207.88,269.8,61.17,61.11,entsoe.eu,False,
2021-01-03 09:00:00,Italy,Central North Italy,IT-CNO,206.97,269.61,60.9,60.83,entsoe.eu,False,
2021-01-03 10:00:00,Italy,Central North Italy,IT-CNO,204.19,266.64,61.23,61.16,entsoe.eu,False,
2021-01-03 11:00:00,Italy,Central North Italy,IT-CNO,207.02,269.61,60.58,60.5,entsoe.eu,False,
2021-01-03 12:00:00,Italy,Central North Italy,IT-CNO,210.13,272.88,60.45,60.41,entsoe.eu,False,
2021-01-03 13:00:00,Italy,Central North Italy,IT-CNO,206.72,269.32,61.03,60.98,entsoe.eu,False,
