Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Italy,Central South Italy,IT-CSO,322.9,395.8,46.54,46.39,entsoe.eu,False,
2021-01-01 01:00:00,Italy,Central South Italy,IT-CSO,331.6,406.19,45.16,44.97,entsoe.eu,False,
2021-01-01 02:00:00,Italy,Central South Italy,IT-CSO,332.35,407.27,45.45,45.24,entsoe.eu,False,
2021-01-01 03:00:00,Italy,Central South Italy,IT-CSO,330.62,404.51,46.59,46.38,entsoe.eu,False,
2021-01-01 04:00:00,Italy,Central South Italy,IT-CSO,336.33,410.25,46.0,45.74,entsoe.eu,False,
2021-01-01 05:00:00,Italy,Central South Italy,IT-CSO,341.77,416.4,45.46,45.23,entsoe.eu,False,
2021-01-01 06:00:00,Italy,Central South Italy,IT-CSO,345.89,421.66,44.62,44.45,entsoe.eu,False,
2021-01-01 07:00:00,Italy,Central South Italy,IT-CSO,320.09,390.31,49.1,48.86,entsoe.eu,False,
2021-01-01 08:00:00,Italy,Central South Italy,IT-CSO,293.11,359.8,53.51,53.29,entsoe.eu,False,
2021-01-01 09:00:00,Italy,Central South Italy,IT-CSO,284.44,350.96,54.36,54.2,entsoe.eu,False,
2021-01-01 10:00:00,Italy,Central South Italy,IT-CSO,285.67,350.72,55.21,55.06,entsoe.eu,False,
2021-01-01 11:00:00,Italy,Central South Italy,IT-CSO,295.79,357.51,57.03,56.86,entsoe.eu,False,
2021-01-01 12:00:00,Italy,Central South Italy,IT-CSO,284.36,347.63,56.35,56.17,entsoe.eu,False,
2021-01-01 13:00:00,Italy,Central South Italy,IT-CSO,278.46,344.28,54.72,54.54,entsoe.eu,False,
2021-01-01 14:00:00,Italy,Central South Italy,IT-CSO,290.05,358.95,51.92,51.83,entsoe.eu,False,
2021-01-01 15:00:00,Italy,Central South Italy,IT-CSO,326.03,404.0,42.72,42.69,entsoe.eu,False,
2021-01-01 16:00:00,Italy,Central South Italy,IT-CSO,330.31,410.39,40.87,40.85,entsoe.eu,False,
2021-01-01 17:00:00,Italy,Central South Italy,IT-CSO,332.98,411.46,41.7,41.69,entsoe.eu,False,
2021-01-01 18:00:00,Italy,Central South Italy,IT-CSO,330.25,406.73,43.46,43.46,entsoe.eu,False,
2021-01-01 19:00:00,Italy,Central South Italy,IT-CSO,316.34,391.72,44.96,44.95,entsoe.eu,False,
2021-01-01 20:00:00,Italy,Central South Italy,IT-CSO,316.29,391.48,45.08,45.07,entsoe.eu,False,
2021-01-01 21:00:00,Italy,Central South Italy,IT-CSO,321.66,396.97,44.53,44.52,entsoe.eu,False,
2021-01-01 22:00:00,Italy,Central South Italy,IT-CSO,328.21,403.21,44.34,44.33,entsoe.eu,False,
2021-01-01 23:00:00,Italy,Central South Italy,IT-CSO,322.04,394.76,47.45,47.31,entsoe.eu,False,
2021-01-02 00:00:00,Italy,Central South Italy,IT-CSO,318.2,390.62,48.28,48.08,entsoe.eu,False,
2021-01-02 01:00:00,Italy,Central South Italy,IT-CSO,323.46,396.86,47.57,47.32,entsoe.eu,False,
2021-01-02 02:00:00,Italy,Central South Italy,IT-CSO,321.86,395.73,47.7,47.49,entsoe.eu,False,
2021-01-02 03:00:00,Italy,Central South Italy,IT-CSO,312.23,384.77,48.98,48.82,entsoe.eu,False,
2021-01-02 04:00:00,Italy,Central South Italy,IT-CSO,306.8,378.18,49.95,49.81,entsoe.eu,False,
2021-01-02 05:00:00,Italy,Central South Italy,IT-CSO,299.66,368.91,51.95,51.89,entsoe.eu,False,
2021-01-02 06:00:00,Italy,Central South Italy,IT-CSO,285.42,351.62,54.01,53.89,entsoe.eu,False,
2021-01-02 07:00:00,Italy,Central South Italy,IT-CSO,280.8,347.53,53.52,53.42,entsoe.eu,False,
2021-01-02 08:00:00,Italy,Central South Italy,IT-CSO,262.61,327.22,56.4,56.37,entsoe.eu,False,
2021-01-02 09:00:00,Italy,Central South Italy,IT-CSO,249.59,311.99,58.77,58.7,entsoe.eu,False,
2021-01-02 10:00:00,Italy,Central South Italy,IT-CSO,237.99,298.69,60.55,60.49,entsoe.eu,False,
2021-01-02 11:00:00,Italy,Central South Italy,IT-CSO,239.08,299.32,60.2,60.14,entsoe.eu,False,
2021-01-02 12:00:00,Italy,Central South Italy,IT-CSO,252.13,314.75,57.83,57.77,entsoe.eu,False,
2021-01-02 13:00:00,Italy,Central South Italy,IT-CSO,254.01,316.72,57.69,57.61,entsoe.eu,False,
2021-01-02 14:00:00,Italy,Central South Italy,IT-CSO,254.32,317.25,57.42,57.38,entsoe.eu,False,
2021-01-02 15:00:00,Italy,Central South Italy,IT-CSO,277.71,344.88,52.31,52.25,entsoe.eu,False,
2021-01-02 16:00:00,Italy,Central South Italy,IT-CSO,319.6,386.21,49.49,49.46,entsoe.eu,False,
2021-01-02 17:00:00,Italy,Central South Italy,IT-CSO,323.26,387.97,50.55,50.52,entsoe.eu,False,
2021-01-02 18:00:00,Italy,Central South Italy,IT-CSO,301.15,365.2,52.04,52.01,entsoe.eu,False,
2021-01-02 19:00:00,Italy,Central South Italy,IT-CSO,284.57,349.39,52.46,52.33,entsoe.eu,False,
2021-01-02 20:00:00,Italy,Central South Italy,IT-CSO,298.51,366.58,49.67,49.51,entsoe.eu,False,
2021-01-02 21:00:00,Italy,Central South Italy,IT-CSO,307.61,377.99,47.81,47.66,entsoe.eu,False,
2021-01-02 22:00:00,Italy,Central South Italy,IT-CSO,305.32,373.52,49.88,49.72,entsoe.eu,False,
2021-01-02 23:00:00,Italy,Central South Italy,IT-CSO,302.58,366.66,53.55,53.43,entsoe.eu,False,
2021-01-03 00:00:00,Italy,Central South Italy,IT-CSO,304.37,370.63,52.39,52.22,entsoe.eu,False,
2021-01-03 01:00:00,Italy,Central South Italy,IT-CSO,302.15,370.31,51.39,51.21,entsoe.eu,False,
2021-01-03 02:00:00,Italy,Central South Italy,IT-CSO,319.28,390.23,48.75,48.6,entsoe.eu,False,
2021-01-03 03:00:00,Italy,Central South Italy,IT-CSO,321.68,393.4,48.25,48.11,entsoe.eu,False,
