Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Italy,Sardinia,IT-SAR,504.37,592.13,29.14,29.14,entsoe.eu,False,
2021-01-01 01:00:00,Italy,Sardinia,IT-SAR,500.17,587.03,29.7,29.7,entsoe.eu,False,
2021-01-01 02:00:00,Italy,Sardinia,IT-SAR,474.46,562.61,29.36,29.36,entsoe.eu,False,
2021-01-01 03:00:00,Italy,Sardinia,IT-SAR,448.06,534.74,31.37,31.37,entsoe.eu,False,
2021-01-01 04:00:00,Italy,Sardinia,IT-SAR,452.89,539.93,30.89,30.89,entsoe.eu,False,
2021-01-01 05:00:00,Italy,Sardinia,IT-SAR,460.63,546.99,30.83,30.83,entsoe.eu,False,
2021-01-01 06:00:00,Italy,Sardinia,IT-SAR,451.1,535.74,32.37,32.37,entsoe.eu,False,
2021-01-01 07:00:00,Italy,Sardinia,IT-SAR,445.54,529.41,33.2,33.2,entsoe.eu,False,
2021-01-01 08:00:00,Italy,Sardinia,IT-SAR,420.2,500.75,37.0,37.0,entsoe.eu,False,
2021-01-01 09:00:00,Italy,Sardinia,IT-SAR,394.12,471.07,40.95,40.95,entsoe.eu,False,
2021-01-01 10:00:00,Italy,Sardinia,IT-SAR,391.83,468.43,41.34,41.34,entsoe.eu,False,
2021-01-01 11:00:00,Italy,Sardinia,IT-SAR,387.79,463.74,41.98,41.98,entsoe.eu,False,
2021-01-01 12:00:00,Italy,Sardinia,IT-SAR,461.33,546.36,32.41,32.41,entsoe.eu,False,
2021-01-01 13:00:00,Italy,Sardinia,IT-SAR,483.92,575.21,28.51,28.51,entsoe.eu,False,
2021-01-01 14:00:00,Italy,Sardinia,IT-SAR,483.43,578.32,26.66,26.66,entsoe.eu,False,
2021-01-01 15:00:00,Italy,Sardinia,IT-SAR,472.65,566.63,27.46,27.46,entsoe.eu,False,
2021-01-01 16:00:00,Italy,Sardinia,IT-SAR,455.67,546.82,29.91,29.91,entsoe.eu,False,
2021-01-01 17:00:00,Italy,Sardinia,IT-SAR,449.82,540.21,30.85,30.85,entsoe.eu,False,
2021-01-01 18:00:00,Italy,Sardinia,IT-SAR,438.5,526.81,32.62,32.62,entsoe.eu,False,
2021-01-01 19:00:00,Italy,Sardinia,IT-SAR,426.16,512.28,34.6,34.6,entsoe.eu,False,
2021-01-01 20:00:00,Italy,Sardinia,IT-SAR,447.32,534.4,32.83,32.83,entsoe.eu,False,
2021-01-01 21:00:00,Italy,Sardinia,IT-SAR,451.1,534.97,35.38,35.38,entsoe.eu,False,
2021-01-01 22:00:00,Italy,Sardinia,IT-SAR,435.85,517.0,37.52,37.52,entsoe.eu,False,
2021-01-01 23:00:00,Italy,Sardinia,IT-SAR,415.61,494.02,38.67,38.67,entsoe.eu,False,
2021-01-02 00:00:00,Italy,Sardinia,IT-SAR,420.83,499.3,38.7,38.7,entsoe.eu,False,
2021-01-02 01:00:00,Italy,Sardinia,IT-SAR,430.12,509.89,37.37,37.37,entsoe.eu,False,
2021-01-02 02:00:00,Italy,Sardinia,IT-SAR,406.11,483.27,39.96,39.96,entsoe.eu,False,
2021-01-02 03:00:00,Italy,Sardinia,IT-SAR,402.63,481.69,38.42,38.42,entsoe.eu,False,
2021-01-02 04:00:00,Italy,Sardinia,IT-SAR,411.0,489.61,38.79,38.79,entsoe.eu,False,
2021-01-02 05:00:00,Italy,Sardinia,IT-SAR,443.21,514.14,45.08,45.08,entsoe.eu,False,
2021-01-02 06:00:00,Italy,Sardinia,IT-SAR,405.87,471.37,49.97,49.97,entsoe.eu,False,
2021-01-02 07:00:00,Italy,Sardinia,IT-SAR,412.97,478.45,49.45,49.45,entsoe.eu,False,
2021-01-02 08:00:00,Italy,Sardinia,IT-SAR,411.36,476.69,49.73,49.73,entsoe.eu,False,
2021-01-02 09:00:00,Italy,Sardinia,IT-SAR,359.94,419.35,55.95,55.95,entsoe.eu,False,
2021-01-02 10:00:00,Italy,Sardinia,IT-SAR,364.87,424.52,55.35,55.35,entsoe.eu,False,
2021-01-02 11:00:00,Italy,Sardinia,IT-SAR,334.62,393.02,57.37,57.37,entsoe.eu,False,
2021-01-02 12:00:00,Italy,Sardinia,IT-SAR,323.24,384.54,55.19,55.19,entsoe.eu,False,
2021-01-02 13:00:00,Italy,Sardinia,IT-SAR,330.66,393.49,54.07,54.07,entsoe.eu,False,
2021-01-02 14:00:00,Italy,Sardinia,IT-SAR,362.35,429.36,49.53,49.53,entsoe.eu,False,
2021-01-02 15:00:00,Italy,Sardinia,IT-SAR,384.2,453.84,46.48,46.48,entsoe.eu,False,
2021-01-02 16:00:00,Italy,Sardinia,IT-SAR,445.22,510.32,48.21,48.21,entsoe.eu,False,
2021-01-02 17:00:00,Italy,Sardinia,IT-SAR,483.11,549.89,44.31,44.31,entsoe.eu,False,
2021-01-02 18:00:00,Italy,Sardinia,IT-SAR,474.31,548.33,40.0,40.0,entsoe.eu,False,
2021-01-02 19:00:00,Italy,Sardinia,IT-SAR,474.76,551.42,39.06,39.06,entsoe.eu,False,
2021-01-02 20:00:00,Italy,Sardinia,IT-SAR,454.62,535.05,36.46,36.45,entsoe.eu,False,
2021-01-02 21:00:00,Italy,Sardinia,IT-SAR,427.13,506.17,38.64,38.63,entsoe.eu,False,
2021-01-02 22:00:00,Italy,Sardinia,IT-SAR,427.86,506.56,38.88,38.87,entsoe.eu,False,
2021-01-02 23:00:00,Italy,Sardinia,IT-SAR,463.68,545.72,35.0,35.0,entsoe.eu,False,
2021-01-03 00:00:00,Italy,Sardinia,IT-SAR,460.49,541.76,35.66,35.66,entsoe.eu,False,
2021-01-03 01:00:00,Italy,Sardinia,IT-SAR,479.22,560.8,35.13,35.13,entsoe.eu,False,
2021-01-03 02:00:00,Italy,Sardinia,IT-SAR,493.73,575.37,34.88,34.88,entsoe.eu,False,
2021-01-03 03:00:00,Italy,Sardinia,IT-SAR,527.08,613.36,30.41,30.41,entsoe.eu,False,
2021-01-03 04:00:00,Italy,Sardinia,IT-SAR,523.59,611.05,29.52,29.52,entsoe.eu,False,
2021-01-03 05:00:00,Italy,Sardinia,IT-SAR,513.35,605.21,26.91,26.9,entsoe.eu,False,
2021-01-03 06:00:00,Italy,Sardinia,IT-SAR,486.58,575.17,30.1,30.07,entsoe.eu,False,
2021-01-03 07:00:00,Italy,Sardinia,IT-SAR,482.67,570.84,30.68,30.66,entsoe.eu,False,
2021-01-03 08:00:00,Italy,Sardinia,IT-SAR,473.63,561.0,31.88,31.86,entsoe.eu,False,
2021-01-03 09:00:00,Italy,Sardinia,IT-SAR,462.46,548.56,33.67,33.65,entsoe.eu,False,
2021-01-03 10:00:00,Italy,Sardinia,IT-SAR,438.73,521.29,37.53,37.52,entsoe.eu,False,
2021-01-03 11:00:00,Italy,Sardinia,IT-SAR,480.52,564.75,34.61,34.59,entsoe.eu,False,
2021-01-03 12:00:00,Italy,Sardinia,IT-SAR,478.09,562.04,35.23,35.22,entsoe.eu,False,
2021-01-03 13:00:00,Italy,Sardinia,IT-SAR,506.1,592.71,32.02,32.01,entsoe.eu,False,
2021-01-03 14:00:00,Italy,Sardinia,IT-SAR,534.75,622.95,29.39,29.38,entsoe.eu,False,
2021-01-03 15:00:00,Italy,Sardinia,IT-SAR,533.98,621.74,29.24,29.23,entsoe.eu,False,
2021-01-03 16:00:00,Italy,Sardinia,IT-SAR,511.35,597.73,30.57,30.56,entsoe.eu,False,
2021-01-03 17:00:00,Italy,Sardinia,IT-SAR,507.18,592.49,31.39,31.38,entsoe.eu,False,
2021-01-03 18:00:00,Italy,Sardinia,IT-SAR,529.91,608.7,35.98,35.97,entsoe.eu,False,
2021-01-03 19:00:00,Italy,Sardinia,IT-SAR,508.61,594.73,29.8,29.79,entsoe.eu,False,
2021-01-03 20:00:00,Italy,Sardinia,IT-SAR,487.92,574.57,30.73,30.71,entsoe.eu,False,
2021-01-03 21:00:00,Italy,Sardinia,IT-SAR,494.01,581.37,30.08,30.07,entsoe.eu,False,
2021-01-03 22:00:00,Italy,Sardinia,IT-SAR,494.56,583.22,29.34,29.32,entsoe.eu,False,
