Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Italy,Sicily,IT-SIC,341.66,438.33,27.19,27.14,entsoe.eu,False,
2021-01-01 01:00:00,Italy,Sicily,IT-SIC,346.67,444.09,26.6,26.5,entsoe.eu,False,
2021-01-01 02:00:00,Italy,Sicily,IT-SIC,347.08,444.26,26.61,26.48,entsoe.eu,False,
2021-01-01 03:00:00,Italy,Sicily,IT-SIC,336.54,431.15,28.86,28.72,entsoe.eu,False,
2021-01-01 04:00:00,Italy,Sicily,IT-SIC,341.41,436.45,28.51,28.32,entsoe.eu,False,
2021-01-01 05:00:00,Italy,Sicily,IT-SIC,321.06,409.32,34.79,34.61,entsoe.eu,False,
2021-01-01 06:00:00,Italy,Sicily,IT-SIC,307.91,393.48,37.67,37.54,entsoe.eu,False,
2021-01-01 07:00:00,Italy,Sicily,IT-SIC,262.34,338.29,46.96,46.82,entsoe.eu,False,
2021-01-01 08:00:00,Italy,Sicily,IT-SIC,213.95,280.86,56.1,56.0,entsoe.eu,False,
2021-01-01 09:00:00,Italy,Sicily,IT-SIC,196.29,259.97,58.2,58.16,entsoe.eu,False,
2021-01-01 10:00:00,Italy,Sicily,IT-SIC,160.69,216.2,65.55,65.52,entsoe.eu,False,
2021-01-01 11:00:00,Italy,Sicily,IT-SIC,136.97,187.04,70.24,70.22,entsoe.eu,False,
2021-01-01 12:00:00,Italy,Sicily,IT-SIC,119.07,165.62,72.48,72.48,entsoe.eu,False,
2021-01-01 13:00:00,Italy,Sicily,IT-SIC,123.1,170.07,71.55,71.55,entsoe.eu,False,
2021-01-01 14:00:00,Italy,Sicily,IT-SIC,139.8,190.15,68.03,68.03,entsoe.eu,False,
2021-01-01 15:00:00,Italy,Sicily,IT-SIC,189.19,249.73,58.49,58.48,entsoe.eu,False,
2021-01-01 16:00:00,Italy,Sicily,IT-SIC,211.41,276.54,54.55,54.54,entsoe.eu,False,
2021-01-01 17:00:00,Italy,Sicily,IT-SIC,207.5,271.66,55.34,55.34,entsoe.eu,False,
2021-01-01 18:00:00,Italy,Sicily,IT-SIC,193.13,254.02,58.22,58.22,entsoe.eu,False,
2021-01-01 19:00:00,Italy,Sicily,IT-SIC,188.97,248.76,59.16,59.16,entsoe.eu,False,
2021-01-01 20:00:00,Italy,Sicily,IT-SIC,181.81,239.99,60.52,60.52,entsoe.eu,False,
2021-01-01 21:00:00,Italy,Sicily,IT-SIC,172.58,228.71,62.21,62.21,entsoe.eu,False,
