Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Italy,South Italy,IT-SO,331.0,419.14,37.68,37.56,entsoe.eu,False,
2021-01-01 01:00:00,Italy,South Italy,IT-SO,337.7,425.93,37.32,37.09,entsoe.eu,False,
2021-01-01 02:00:00,Italy,South Italy,IT-SO,335.94,421.45,39.67,39.35,entsoe.eu,False,
2021-01-01 03:00:00,Italy,South Italy,IT-SO,331.66,414.63,42.43,42.06,entsoe.eu,False,
2021-01-01 04:00:00,Italy,South Italy,IT-SO,341.79,425.74,41.37,40.87,entsoe.eu,False,
2021-01-01 05:00:00,Italy,South Italy,IT-SO,350.88,435.03,40.49,40.05,entsoe.eu,False,
2021-01-01 06:00:00,Italy,South Italy,IT-SO,354.7,441.2,39.23,38.93,entsoe.eu,False,
2021-01-01 07:00:00,Italy,South Italy,IT-SO,314.6,392.67,46.53,46.17,entsoe.eu,False,
2021-01-01 08:00:00,Italy,South Italy,IT-SO,267.98,339.44,54.39,54.09,entsoe.eu,False,
2021-01-01 09:00:00,Italy,South Italy,IT-SO,261.27,334.25,54.42,54.25,entsoe.eu,False,
2021-01-01 10:00:00,Italy,South Italy,IT-SO,263.44,335.55,54.25,54.11,entsoe.eu,False,
2021-01-01 11:00:00,Italy,South Italy,IT-SO,291.0,363.66,51.52,51.32,entsoe.eu,False,
2021-01-01 12:00:00,Italy,South Italy,IT-SO,285.84,357.3,52.59,52.36,entsoe.eu,False,
2021-01-01 13:00:00,Italy,South Italy,IT-SO,281.14,355.8,50.83,50.62,entsoe.eu,False,
2021-01-01 14:00:00,Italy,South Italy,IT-SO,300.88,383.49,44.92,44.92,entsoe.eu,False,
2021-01-01 15:00:00,Italy,South Italy,IT-SO,352.63,447.43,30.98,30.93,entsoe.eu,False,
