Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Italy,Italy,IT,319.3,402.55,38.36,36.26,,False,
2021-01-01 01:00:00,Italy,Italy,IT,322.66,405.26,38.5,36.97,,False,
2021-01-01 02:00:00,Italy,Italy,IT,317.05,398.73,39.69,37.54,,False,
2021-01-01 03:00:00,Italy,Italy,IT,313.37,395.19,40.21,37.62,,False,
2021-01-01 04:00:00,Italy,Italy,IT,321.97,404.86,38.59,37.08,,False,
2021-01-01 05:00:00,Italy,Italy,IT,319.73,400.59,39.61,37.29,,False,
2021-01-01 06:00:00,Italy,Italy,IT,307.42,384.34,42.52,37.2,,False,
2021-01-01 07:00:00,Italy,Italy,IT,289.84,362.93,46.37,42.73,,False,
2021-01-01 08:00:00,Italy,Italy,IT,275.39,347.14,48.21,45.63,,False,
2021-01-01 09:00:00,Italy,Italy,IT,274.25,347.06,47.43,45.03,,False,
2021-01-01 10:00:00,Italy,Italy,IT,278.84,352.92,46.37,44.81,,False,
2021-01-01 11:00:00,Italy,Italy,IT,278.34,350.39,48.56,47.6,,False,
2021-01-01 12:00:00,Italy,Italy,IT,276.71,347.94,48.56,47.14,,False,
2021-01-01 13:00:00,Italy,Italy,IT,275.53,348.59,47.23,44.66,,False,
2021-01-01 14:00:00,Italy,Italy,IT,283.7,360.08,44.21,40.98,,False,
2021-01-01 15:00:00,Italy,Italy,IT,293.02,372.26,41.86,37.54,,False,
2021-01-01 16:00:00,Italy,Italy,IT,278.97,354.76,44.56,39.65,,False,
2021-01-01 17:00:00,Italy,Italy,IT,271.07,343.92,47.19,41.69,,False,
2021-01-01 18:00:00,Italy,Italy,IT,269.77,341.39,47.76,42.22,,False,
2021-01-01 19:00:00,Italy,Italy,IT,267.1,338.17,48.25,41.17,,False,
2021-01-01 20:00:00,Italy,Italy,IT,280.24,352.77,45.95,39.95,,False,
2021-01-01 21:00:00,Italy,Italy,IT,292.87,370.31,42.92,39.81,,False,
2021-01-01 22:00:00,Italy,Italy,IT,296.2,372.5,43.17,41.45,,False,
2021-01-01 23:00:00,Italy,Italy,IT,300.63,377.59,42.97,42.2,,False,
2021-01-02 00:00:00,Italy,Italy,IT,296.65,371.26,44.69,43.72,,False,
2021-01-02 01:00:00,Italy,Italy,IT,299.64,375.74,44.02,43.13,,False,
2021-01-02 02:00:00,Italy,Italy,IT,298.84,373.4,43.93,43.0,,False,
2021-01-02 03:00:00,Italy,Italy,IT,293.94,368.74,44.54,43.6,,False,
2021-01-02 04:00:00,Italy,Italy,IT,295.08,369.65,44.11,43.15,,False,
2021-01-02 05:00:00,Italy,Italy,IT,288.06,358.47,46.31,42.99,,False,
2021-01-02 06:00:00,Italy,Italy,IT,272.67,341.79,49.84,44.24,,False,
2021-01-02 07:00:00,Italy,Italy,IT,267.18,333.5,50.47,44.8,,False,
2021-01-02 08:00:00,Italy,Italy,IT,256.84,322.16,52.51,46.98,,False,
2021-01-02 09:00:00,Italy,Italy,IT,244.9,309.09,54.41,49.22,,False,
2021-01-02 10:00:00,Italy,Italy,IT,245.75,311.25,53.78,49.13,,False,
2021-01-02 11:00:00,Italy,Italy,IT,250.17,316.7,52.37,48.98,,False,
2021-01-02 12:00:00,Italy,Italy,IT,257.17,326.27,50.65,46.21,,False,
2021-01-02 13:00:00,Italy,Italy,IT,256.38,324.53,51.1,45.77,,False,
2021-01-02 14:00:00,Italy,Italy,IT,260.22,329.05,50.15,43.65,,False,
2021-01-02 15:00:00,Italy,Italy,IT,268.72,338.72,49.28,43.06,,False,
2021-01-02 16:00:00,Italy,Italy,IT,299.59,367.88,49.21,46.92,,False,
2021-01-02 17:00:00,Italy,Italy,IT,293.96,359.34,50.76,47.96,,False,
2021-01-02 18:00:00,Italy,Italy,IT,278.32,345.0,51.5,46.62,,False,
2021-01-02 19:00:00,Italy,Italy,IT,278.5,347.87,49.24,42.78,,False,
2021-01-02 20:00:00,Italy,Italy,IT,298.39,372.51,44.27,39.26,,False,
2021-01-02 21:00:00,Italy,Italy,IT,312.16,389.98,40.64,37.54,,False,
2021-01-02 22:00:00,Italy,Italy,IT,316.44,392.67,39.94,38.48,,False,
2021-01-02 23:00:00,Italy,Italy,IT,312.73,387.27,41.06,39.46,,False,
2021-01-03 00:00:00,Italy,Italy,IT,304.54,380.41,43.37,42.18,,False,
2021-01-03 01:00:00,Italy,Italy,IT,299.5,375.51,44.8,43.52,,False,
2021-01-03 02:00:00,Italy,Italy,IT,312.64,389.37,42.43,41.31,,False,
2021-01-03 03:00:00,Italy,Italy,IT,318.68,394.61,41.17,40.1,,False,
2021-01-03 04:00:00,Italy,Italy,IT,313.82,388.01,41.82,40.68,,False,
2021-01-03 05:00:00,Italy,Italy,IT,303.76,377.77,43.46,41.47,,False,
2021-01-03 06:00:00,Italy,Italy,IT,289.35,358.51,46.62,42.12,,False,
2021-01-03 07:00:00,Italy,Italy,IT,272.83,340.53,50.23,45.1,,False,
2021-01-03 08:00:00,Italy,Italy,IT,263.68,331.7,50.64,46.28,,False,
2021-01-03 09:00:00,Italy,Italy,IT,261.02,331.51,50.23,47.44,,False,
2021-01-03 10:00:00,Italy,Italy,IT,260.82,332.13,49.75,48.05,,False,
2021-01-03 11:00:00,Italy,Italy,IT,260.63,332.11,49.66,48.67,,False,
2021-01-03 12:00:00,Italy,Italy,IT,266.29,337.6,49.07,47.86,,False,
2021-01-03 13:00:00,Italy,Italy,IT,268.24,338.14,49.47,46.15,,False,
2021-01-03 14:00:00,Italy,Italy,IT,285.18,358.23,46.34,42.42,,False,
2021-01-03 15:00:00,Italy,Italy,IT,285.61,359.61,46.22,41.88,,False,
2021-01-03 16:00:00,Italy,Italy,IT,289.5,362.62,45.45,39.78,,False,
2021-01-03 17:00:00,Italy,Italy,IT,291.23,362.51,46.61,41.7,,False,
2021-01-03 18:00:00,Italy,Italy,IT,311.98,384.2,45.78,42.58,,False,
2021-01-03 19:00:00,Italy,Italy,IT,311.11,385.75,44.39,41.07,,False,
2021-01-03 20:00:00,Italy,Italy,IT,303.16,378.17,43.56,39.12,,False,
2021-01-03 21:00:00,Italy,Italy,IT,320.72,399.95,39.54,37.16,,False,
2021-01-03 22:00:00,Italy,Italy,IT,327.09,409.27,36.61,35.75,,False,
2021-01-03 23:00:00,Italy,Italy,IT,335.02,420.16,34.95,33.94,,False,
2021-01-04 00:00:00,Italy,Italy,IT,345.41,428.66,33.71,32.6,,False,
2021-01-04 01:00:00,Italy,Italy,IT,359.35,443.86,32.21,31.0,,False,
2021-01-04 02:00:00,Italy,Italy,IT,357.48,440.43,33.48,31.32,,False,
