Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Chūbu,JP-CB,365.76,444.8,33.11,33.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Chūbu,JP-CB,335.85,412.13,38.58,38.57,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Chūbu,JP-CB,320.69,395.45,41.36,41.33,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Chūbu,JP-CB,312.05,386.01,42.94,42.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Chūbu,JP-CB,331.07,406.76,39.46,39.41,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Chūbu,JP-CB,360.92,439.32,34.01,33.81,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Chūbu,JP-CB,406.64,489.58,25.63,25.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Chūbu,JP-CB,470.31,559.53,13.99,13.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Chūbu,JP-CB,480.65,571.01,12.1,12.09,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Chūbu,JP-CB,478.71,568.69,12.46,12.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Chūbu,JP-CB,476.85,566.46,12.8,12.22,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Chūbu,JP-CB,481.37,571.71,11.97,11.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Chūbu,JP-CB,480.38,570.47,12.15,11.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Chūbu,JP-CB,481.48,571.76,11.96,11.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Chūbu,JP-CB,483.47,574.15,11.64,11.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Chūbu,JP-CB,482.17,572.7,11.84,11.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Chūbu,JP-CB,483.58,574.31,11.61,11.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Chūbu,JP-CB,484.16,575.01,11.49,11.45,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Japan,Chūbu,JP-CB,484.01,574.8,11.53,11.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Japan,Chūbu,JP-CB,483.24,573.91,11.67,11.55,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Japan,Chūbu,JP-CB,483.23,573.83,11.7,11.55,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Japan,Chūbu,JP-CB,482.7,573.26,11.78,11.68,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Japan,Chūbu,JP-CB,470.07,559.32,14.09,13.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Japan,Chūbu,JP-CB,412.04,495.95,24.66,24.57,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Japan,Chūbu,JP-CB,356.88,435.64,34.74,34.74,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Japan,Chūbu,JP-CB,332.96,409.41,39.11,39.11,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Japan,Chūbu,JP-CB,317.2,392.02,41.99,41.99,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Japan,Chūbu,JP-CB,315.65,390.42,42.28,42.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Japan,Chūbu,JP-CB,343.68,420.98,37.99,37.99,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Japan,Chūbu,JP-CB,370.4,450.32,32.8,32.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Japan,Chūbu,JP-CB,408.78,492.25,25.49,25.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Japan,Chūbu,JP-CB,450.07,537.51,17.77,17.73,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Japan,Chūbu,JP-CB,484.09,574.98,11.49,11.48,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Japan,Chūbu,JP-CB,484.21,575.1,11.46,11.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Japan,Chūbu,JP-CB,483.84,574.67,11.52,11.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Japan,Chūbu,JP-CB,484.12,574.98,11.47,11.43,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Japan,Chūbu,JP-CB,483.38,574.11,11.6,11.48,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Japan,Chūbu,JP-CB,483.75,574.54,11.55,11.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Japan,Chūbu,JP-CB,484.11,574.96,11.52,11.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Japan,Chūbu,JP-CB,483.24,573.92,11.66,11.16,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Japan,Chūbu,JP-CB,485.02,575.91,11.39,11.27,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Japan,Chūbu,JP-CB,487.75,579.11,10.86,10.76,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Japan,Chūbu,JP-CB,486.6,577.8,11.05,10.94,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Japan,Chūbu,JP-CB,485.72,576.79,11.21,11.1,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Japan,Chūbu,JP-CB,485.08,576.04,11.33,11.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,Japan,Chūbu,JP-CB,484.49,575.33,11.45,11.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,Japan,Chūbu,JP-CB,474.7,564.42,13.23,13.1,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,Japan,Chūbu,JP-CB,442.65,529.23,19.08,18.94,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,Japan,Chūbu,JP-CB,409.57,493.27,25.1,25.07,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,Japan,Chūbu,JP-CB,363.52,442.96,33.52,33.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,Japan,Chūbu,JP-CB,336.67,413.55,38.43,38.43,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 03:00:00,Japan,Chūbu,JP-CB,348.24,426.35,36.32,36.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 04:00:00,Japan,Chūbu,JP-CB,368.34,448.32,33.45,33.45,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 05:00:00,Japan,Chūbu,JP-CB,392.48,474.71,28.73,28.73,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 06:00:00,Japan,Chūbu,JP-CB,427.36,512.86,22.08,22.04,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 07:00:00,Japan,Chūbu,JP-CB,463.69,552.59,15.28,15.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 08:00:00,Japan,Chūbu,JP-CB,484.67,575.61,11.38,11.31,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 09:00:00,Japan,Chūbu,JP-CB,482.84,573.47,11.71,11.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 10:00:00,Japan,Chūbu,JP-CB,480.66,570.92,12.1,11.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 11:00:00,Japan,Chūbu,JP-CB,482.92,573.56,11.69,11.59,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 12:00:00,Japan,Chūbu,JP-CB,484.31,575.19,11.44,11.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 13:00:00,Japan,Chūbu,JP-CB,484.57,575.44,11.4,11.23,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 14:00:00,Japan,Chūbu,JP-CB,484.87,575.8,11.39,11.33,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 15:00:00,Japan,Chūbu,JP-CB,483.89,574.71,11.52,11.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 16:00:00,Japan,Chūbu,JP-CB,485.66,576.79,11.19,11.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 17:00:00,Japan,Chūbu,JP-CB,485.67,576.79,11.19,11.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 18:00:00,Japan,Chūbu,JP-CB,484.37,575.3,11.42,11.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 19:00:00,Japan,Chūbu,JP-CB,483.8,574.64,11.53,11.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 20:00:00,Japan,Chūbu,JP-CB,482.56,573.21,11.75,11.75,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 21:00:00,Japan,Chūbu,JP-CB,483.41,574.19,11.6,11.6,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 22:00:00,Japan,Chūbu,JP-CB,477.38,567.46,12.71,12.67,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 23:00:00,Japan,Chūbu,JP-CB,439.28,525.87,19.67,19.65,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 00:00:00,Japan,Chūbu,JP-CB,371.52,451.58,32.07,32.0,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 01:00:00,Japan,Chūbu,JP-CB,333.45,409.96,39.03,38.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 02:00:00,Japan,Chūbu,JP-CB,320.7,396.16,41.35,41.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 03:00:00,Japan,Chūbu,JP-CB,301.71,375.38,44.83,44.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 04:00:00,Japan,Chūbu,JP-CB,321.93,397.55,41.13,41.13,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 05:00:00,Japan,Chūbu,JP-CB,348.45,426.46,36.28,36.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 06:00:00,Japan,Chūbu,JP-CB,399.55,482.27,26.94,26.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 07:00:00,Japan,Chūbu,JP-CB,466.87,556.03,14.62,14.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 08:00:00,Japan,Chūbu,JP-CB,484.0,574.84,11.49,11.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 09:00:00,Japan,Chūbu,JP-CB,484.45,575.37,11.41,11.27,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 10:00:00,Japan,Chūbu,JP-CB,484.57,575.54,11.38,11.33,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 11:00:00,Japan,Chūbu,JP-CB,485.04,576.11,11.3,11.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 12:00:00,Japan,Chūbu,JP-CB,485.11,576.18,11.28,11.27,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 13:00:00,Japan,Chūbu,JP-CB,485.85,577.02,11.15,11.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 14:00:00,Japan,Chūbu,JP-CB,484.22,575.11,11.46,11.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 15:00:00,Japan,Chūbu,JP-CB,483.01,573.71,11.69,11.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 16:00:00,Japan,Chūbu,JP-CB,484.42,575.35,11.46,11.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 17:00:00,Japan,Chūbu,JP-CB,486.52,577.8,11.07,11.02,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 18:00:00,Japan,Chūbu,JP-CB,487.2,578.57,10.93,10.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 19:00:00,Japan,Chūbu,JP-CB,486.86,578.14,11.01,10.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 20:00:00,Japan,Chūbu,JP-CB,486.52,577.75,11.07,10.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 21:00:00,Japan,Chūbu,JP-CB,486.16,577.38,11.11,11.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 22:00:00,Japan,Chūbu,JP-CB,485.51,576.71,11.21,11.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 23:00:00,Japan,Chūbu,JP-CB,468.77,558.47,14.28,14.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 00:00:00,Japan,Chūbu,JP-CB,439.56,526.44,19.62,19.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 01:00:00,Japan,Chūbu,JP-CB,439.0,525.8,19.73,19.69,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 02:00:00,Japan,Chūbu,JP-CB,435.57,522.08,20.35,20.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 03:00:00,Japan,Chūbu,JP-CB,419.94,504.92,23.21,23.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 04:00:00,Japan,Chūbu,JP-CB,419.89,504.9,23.22,23.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 05:00:00,Japan,Chūbu,JP-CB,440.94,527.86,19.37,19.34,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 06:00:00,Japan,Chūbu,JP-CB,447.97,535.48,18.28,18.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 07:00:00,Japan,Chūbu,JP-CB,484.8,575.9,11.41,11.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-05 08:00:00,Japan,Chūbu,JP-CB,487.23,578.6,10.91,10.91,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
