Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Chūgoku,JP-CG,350.66,432.16,35.88,30.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Chūgoku,JP-CG,315.13,392.4,42.38,36.03,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Chūgoku,JP-CG,294.67,369.57,46.12,39.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Chūgoku,JP-CG,294.2,368.93,46.21,39.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Chūgoku,JP-CG,310.63,387.21,43.2,35.96,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Chūgoku,JP-CG,335.52,414.58,38.66,31.25,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Chūgoku,JP-CG,364.4,443.72,33.44,26.03,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Chūgoku,JP-CG,424.79,513.32,22.35,15.59,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Chūgoku,JP-CG,454.59,546.3,16.92,11.68,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Chūgoku,JP-CG,458.59,552.69,16.15,11.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Chūgoku,JP-CG,458.86,553.09,16.1,11.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Chūgoku,JP-CG,459.9,554.11,15.91,11.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Chūgoku,JP-CG,456.85,550.64,16.47,11.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Chūgoku,JP-CG,452.99,545.78,17.23,11.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Chūgoku,JP-CG,451.13,543.8,17.71,11.78,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Chūgoku,JP-CG,445.33,535.05,18.62,11.49,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Chūgoku,JP-CG,444.85,535.78,18.68,11.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Chūgoku,JP-CG,443.08,533.9,19.0,11.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Japan,Chūgoku,JP-CG,443.29,534.27,18.96,11.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Japan,Chūgoku,JP-CG,444.02,535.25,18.82,11.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Japan,Chūgoku,JP-CG,442.41,532.97,19.13,11.92,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Japan,Chūgoku,JP-CG,441.99,533.44,19.18,12.02,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Japan,Chūgoku,JP-CG,441.81,532.77,19.23,12.82,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Japan,Chūgoku,JP-CG,419.18,508.54,23.35,18.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Japan,Chūgoku,JP-CG,378.23,463.01,30.84,25.63,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Japan,Chūgoku,JP-CG,340.08,420.49,37.81,31.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Japan,Chūgoku,JP-CG,317.44,394.73,41.96,35.57,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Japan,Chūgoku,JP-CG,314.53,391.51,42.49,35.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Japan,Chūgoku,JP-CG,332.36,410.95,40.96,34.81,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Japan,Chūgoku,JP-CG,347.88,428.69,38.04,32.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Japan,Chūgoku,JP-CG,383.51,468.42,30.73,25.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Japan,Chūgoku,JP-CG,431.98,522.4,21.19,15.78,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Japan,Chūgoku,JP-CG,457.0,550.25,16.47,12.16,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Japan,Chūgoku,JP-CG,459.38,552.28,16.04,12.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Japan,Chūgoku,JP-CG,459.33,551.91,16.05,11.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Japan,Chūgoku,JP-CG,456.13,549.58,16.61,12.02,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Japan,Chūgoku,JP-CG,452.91,545.85,17.2,12.1,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Japan,Chūgoku,JP-CG,450.32,542.95,17.72,12.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Japan,Chūgoku,JP-CG,448.59,541.08,18.21,12.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Japan,Chūgoku,JP-CG,444.78,536.66,18.87,12.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Japan,Chūgoku,JP-CG,441.38,532.62,19.61,12.34,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Japan,Chūgoku,JP-CG,441.62,532.44,19.5,12.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Japan,Chūgoku,JP-CG,439.51,530.23,19.78,12.26,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Japan,Chūgoku,JP-CG,439.55,530.3,19.71,12.23,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Japan,Chūgoku,JP-CG,438.69,529.27,19.86,12.25,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
