Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Hokkaidō,JP-HKD,386.93,468.79,29.28,29.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Hokkaidō,JP-HKD,374.18,454.67,31.61,31.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Hokkaidō,JP-HKD,359.18,438.04,34.36,34.36,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Hokkaidō,JP-HKD,352.72,430.79,35.54,35.54,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Hokkaidō,JP-HKD,373.74,454.05,31.7,31.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Hokkaidō,JP-HKD,397.84,480.73,27.29,27.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Hokkaidō,JP-HKD,415.58,500.37,24.05,24.05,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Hokkaidō,JP-HKD,419.34,504.57,23.36,23.36,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Hokkaidō,JP-HKD,419.8,505.1,23.28,23.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Hokkaidō,JP-HKD,419.86,505.19,23.27,23.27,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Hokkaidō,JP-HKD,419.62,504.9,23.31,23.31,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Hokkaidō,JP-HKD,422.43,508.21,22.81,22.81,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Hokkaidō,JP-HKD,422.54,508.34,22.8,22.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Hokkaidō,JP-HKD,422.86,508.71,22.77,22.77,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Hokkaidō,JP-HKD,423.36,509.29,22.72,22.72,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Hokkaidō,JP-HKD,420.79,506.28,23.1,23.1,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Hokkaidō,JP-HKD,421.04,506.57,23.05,23.05,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Hokkaidō,JP-HKD,422.85,508.7,22.72,22.72,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Japan,Hokkaidō,JP-HKD,423.93,509.97,22.52,22.52,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Japan,Hokkaidō,JP-HKD,424.67,510.84,22.39,22.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Japan,Hokkaidō,JP-HKD,425.38,511.67,22.26,22.26,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Japan,Hokkaidō,JP-HKD,427.05,513.64,21.95,21.95,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Japan,Hokkaidō,JP-HKD,422.47,508.57,22.79,22.79,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Japan,Hokkaidō,JP-HKD,399.67,483.61,26.96,26.96,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Japan,Hokkaidō,JP-HKD,384.38,466.93,29.75,29.75,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Japan,Hokkaidō,JP-HKD,370.28,451.5,32.33,32.33,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Japan,Hokkaidō,JP-HKD,358.41,438.37,34.5,34.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Japan,Hokkaidō,JP-HKD,352.71,431.92,35.54,35.54,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Japan,Hokkaidō,JP-HKD,356.01,435.54,34.94,34.94,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Japan,Hokkaidō,JP-HKD,370.53,451.5,32.8,32.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Japan,Hokkaidō,JP-HKD,398.34,482.2,27.39,27.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Japan,Hokkaidō,JP-HKD,412.47,497.88,24.66,24.66,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Japan,Hokkaidō,JP-HKD,431.08,518.39,21.22,21.22,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Japan,Hokkaidō,JP-HKD,429.67,516.73,21.47,21.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Japan,Hokkaidō,JP-HKD,430.7,517.94,21.29,21.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Japan,Hokkaidō,JP-HKD,430.89,518.17,21.26,21.26,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Japan,Hokkaidō,JP-HKD,430.62,517.84,21.32,21.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Japan,Hokkaidō,JP-HKD,431.11,518.42,21.27,21.27,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Japan,Hokkaidō,JP-HKD,431.21,518.53,21.29,21.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Japan,Hokkaidō,JP-HKD,430.53,517.74,21.32,21.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Japan,Hokkaidō,JP-HKD,431.45,518.82,21.15,21.15,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Japan,Hokkaidō,JP-HKD,432.4,519.95,20.97,20.97,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Japan,Hokkaidō,JP-HKD,432.91,520.54,20.88,20.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Japan,Hokkaidō,JP-HKD,432.58,520.16,20.94,20.94,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Japan,Hokkaidō,JP-HKD,431.97,519.44,21.05,21.05,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,Japan,Hokkaidō,JP-HKD,431.98,519.45,21.05,21.05,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,Japan,Hokkaidō,JP-HKD,427.65,514.64,21.84,21.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,Japan,Hokkaidō,JP-HKD,408.01,493.08,25.43,25.43,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,Japan,Hokkaidō,JP-HKD,387.51,470.46,29.18,29.18,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,Japan,Hokkaidō,JP-HKD,377.71,459.62,30.97,30.97,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,Japan,Hokkaidō,JP-HKD,369.5,450.44,32.47,32.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 03:00:00,Japan,Hokkaidō,JP-HKD,361.26,441.18,33.98,33.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 04:00:00,Japan,Hokkaidō,JP-HKD,367.81,448.26,32.78,32.78,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 05:00:00,Japan,Hokkaidō,JP-HKD,391.84,474.68,28.39,28.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 06:00:00,Japan,Hokkaidō,JP-HKD,419.9,505.72,23.26,23.26,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 07:00:00,Japan,Hokkaidō,JP-HKD,426.33,512.79,22.08,22.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 08:00:00,Japan,Hokkaidō,JP-HKD,427.8,514.52,21.82,21.82,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 09:00:00,Japan,Hokkaidō,JP-HKD,427.66,514.36,21.84,21.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 10:00:00,Japan,Hokkaidō,JP-HKD,429.32,516.32,21.54,21.54,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 11:00:00,Japan,Hokkaidō,JP-HKD,428.1,514.88,21.77,21.77,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 12:00:00,Japan,Hokkaidō,JP-HKD,427.52,514.19,21.89,21.89,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 13:00:00,Japan,Hokkaidō,JP-HKD,426.27,512.72,22.15,22.15,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 14:00:00,Japan,Hokkaidō,JP-HKD,425.78,512.14,22.28,22.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 15:00:00,Japan,Hokkaidō,JP-HKD,423.29,509.22,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 16:00:00,Japan,Hokkaidō,JP-HKD,423.74,509.75,22.56,22.56,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 17:00:00,Japan,Hokkaidō,JP-HKD,424.25,510.34,22.46,22.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 18:00:00,Japan,Hokkaidō,JP-HKD,424.13,510.2,22.49,22.49,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 19:00:00,Japan,Hokkaidō,JP-HKD,423.98,510.03,22.51,22.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 20:00:00,Japan,Hokkaidō,JP-HKD,423.94,509.98,22.52,22.52,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 21:00:00,Japan,Hokkaidō,JP-HKD,424.77,510.96,22.37,22.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 22:00:00,Japan,Hokkaidō,JP-HKD,418.9,504.43,23.44,23.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 23:00:00,Japan,Hokkaidō,JP-HKD,393.8,476.86,28.03,28.03,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 00:00:00,Japan,Hokkaidō,JP-HKD,367.78,448.09,32.78,32.78,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 01:00:00,Japan,Hokkaidō,JP-HKD,354.04,432.89,35.3,35.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 02:00:00,Japan,Hokkaidō,JP-HKD,352.66,431.32,35.55,35.55,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 03:00:00,Japan,Hokkaidō,JP-HKD,359.51,438.87,34.3,34.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 04:00:00,Japan,Hokkaidō,JP-HKD,372.86,453.57,31.86,31.86,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 05:00:00,Japan,Hokkaidō,JP-HKD,391.75,474.34,28.4,28.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 06:00:00,Japan,Hokkaidō,JP-HKD,415.09,500.07,24.14,24.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 07:00:00,Japan,Hokkaidō,JP-HKD,422.74,508.57,22.74,22.74,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 08:00:00,Japan,Hokkaidō,JP-HKD,423.76,509.77,22.55,22.55,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 09:00:00,Japan,Hokkaidō,JP-HKD,424.15,510.23,22.48,22.48,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 10:00:00,Japan,Hokkaidō,JP-HKD,422.59,508.39,22.77,22.77,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 11:00:00,Japan,Hokkaidō,JP-HKD,420.9,506.41,23.08,23.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 12:00:00,Japan,Hokkaidō,JP-HKD,420.19,505.57,23.21,23.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 13:00:00,Japan,Hokkaidō,JP-HKD,419.76,505.06,23.29,23.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 14:00:00,Japan,Hokkaidō,JP-HKD,420.55,505.99,23.14,23.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 15:00:00,Japan,Hokkaidō,JP-HKD,422.23,507.97,22.83,22.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 16:00:00,Japan,Hokkaidō,JP-HKD,422.03,507.74,22.87,22.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 17:00:00,Japan,Hokkaidō,JP-HKD,423.31,509.25,22.64,22.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 18:00:00,Japan,Hokkaidō,JP-HKD,425.49,511.81,22.24,22.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 19:00:00,Japan,Hokkaidō,JP-HKD,424.51,510.65,22.42,22.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
