Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Hokuriku,JP-HR,388.65,465.82,28.8,28.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Hokuriku,JP-HR,384.55,461.36,29.55,29.55,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Hokuriku,JP-HR,381.34,457.9,30.14,30.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Hokuriku,JP-HR,380.35,456.8,30.32,30.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Hokuriku,JP-HR,382.93,459.68,29.85,29.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Hokuriku,JP-HR,386.58,463.62,29.18,29.18,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Hokuriku,JP-HR,389.33,466.57,28.68,28.68,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Hokuriku,JP-HR,393.16,470.78,27.97,27.97,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Hokuriku,JP-HR,394.65,472.46,27.7,27.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Hokuriku,JP-HR,394.27,472.02,27.77,27.77,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Hokuriku,JP-HR,394.16,471.89,27.79,27.79,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Hokuriku,JP-HR,396.54,474.68,27.35,27.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Hokuriku,JP-HR,396.02,474.06,27.45,27.45,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Hokuriku,JP-HR,397.17,475.42,27.25,27.25,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Hokuriku,JP-HR,397.56,475.87,27.18,27.18,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Hokuriku,JP-HR,397.1,475.33,27.25,27.25,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Hokuriku,JP-HR,397.68,476.01,27.15,27.15,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Hokuriku,JP-HR,397.53,475.84,27.17,27.17,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Japan,Hokuriku,JP-HR,397.97,476.35,27.09,27.09,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Japan,Hokuriku,JP-HR,397.32,475.59,27.21,27.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Japan,Hokuriku,JP-HR,397.66,475.98,27.15,27.15,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Japan,Hokuriku,JP-HR,397.47,475.77,27.18,27.18,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Japan,Hokuriku,JP-HR,396.82,475.02,27.3,27.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Japan,Hokuriku,JP-HR,394.9,472.87,27.66,27.66,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Japan,Hokuriku,JP-HR,391.97,469.59,28.19,28.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Japan,Hokuriku,JP-HR,388.38,465.54,28.85,28.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Japan,Hokuriku,JP-HR,383.45,460.12,29.75,29.75,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Japan,Hokuriku,JP-HR,386.9,464.17,29.12,29.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Japan,Hokuriku,JP-HR,389.53,467.04,28.71,28.71,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Japan,Hokuriku,JP-HR,391.93,469.71,28.24,28.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Japan,Hokuriku,JP-HR,395.53,473.56,27.55,27.55,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Japan,Hokuriku,JP-HR,395.89,473.91,27.47,27.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Japan,Hokuriku,JP-HR,396.11,474.17,27.43,27.43,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Japan,Hokuriku,JP-HR,395.14,473.04,27.61,27.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Japan,Hokuriku,JP-HR,395.66,473.64,27.52,27.52,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Japan,Hokuriku,JP-HR,395.51,473.48,27.54,27.54,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Japan,Hokuriku,JP-HR,396.38,474.49,27.38,27.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Japan,Hokuriku,JP-HR,397.4,475.69,27.2,27.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Japan,Hokuriku,JP-HR,397.72,476.05,27.15,27.15,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Japan,Hokuriku,JP-HR,398.31,476.74,27.03,27.03,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Japan,Hokuriku,JP-HR,398.37,476.82,27.02,27.02,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Japan,Hokuriku,JP-HR,398.09,476.48,27.07,27.07,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Japan,Hokuriku,JP-HR,398.14,476.55,27.06,27.06,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Japan,Hokuriku,JP-HR,397.37,475.65,27.2,27.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Japan,Hokuriku,JP-HR,397.74,476.08,27.14,27.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,Japan,Hokuriku,JP-HR,398.13,476.54,27.06,27.06,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,Japan,Hokuriku,JP-HR,396.89,475.11,27.29,27.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,Japan,Hokuriku,JP-HR,395.76,473.89,27.5,27.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,Japan,Hokuriku,JP-HR,393.91,472.0,27.84,27.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,Japan,Hokuriku,JP-HR,389.21,466.8,28.7,28.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,Japan,Hokuriku,JP-HR,384.81,462.02,29.5,29.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 03:00:00,Japan,Hokuriku,JP-HR,382.79,459.93,29.88,29.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 04:00:00,Japan,Hokuriku,JP-HR,387.69,465.26,29.06,29.06,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 05:00:00,Japan,Hokuriku,JP-HR,389.69,467.42,28.65,28.65,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 06:00:00,Japan,Hokuriku,JP-HR,394.6,472.75,27.72,27.72,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 07:00:00,Japan,Hokuriku,JP-HR,397.84,476.27,27.12,27.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 08:00:00,Japan,Hokuriku,JP-HR,398.75,477.26,26.95,26.95,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 09:00:00,Japan,Hokuriku,JP-HR,398.4,476.85,27.01,27.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 10:00:00,Japan,Hokuriku,JP-HR,397.58,475.89,27.17,27.17,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 11:00:00,Japan,Hokuriku,JP-HR,397.56,475.87,27.17,27.17,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 12:00:00,Japan,Hokuriku,JP-HR,397.4,475.69,27.2,27.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 13:00:00,Japan,Hokuriku,JP-HR,397.2,475.45,27.24,27.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 14:00:00,Japan,Hokuriku,JP-HR,397.04,475.26,27.28,27.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 15:00:00,Japan,Hokuriku,JP-HR,395.09,472.98,27.62,27.62,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 16:00:00,Japan,Hokuriku,JP-HR,394.89,472.74,27.66,27.66,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 17:00:00,Japan,Hokuriku,JP-HR,394.45,472.23,27.74,27.74,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 18:00:00,Japan,Hokuriku,JP-HR,394.62,472.43,27.71,27.71,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 19:00:00,Japan,Hokuriku,JP-HR,394.7,472.53,27.69,27.69,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 20:00:00,Japan,Hokuriku,JP-HR,395.18,473.09,27.6,27.6,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 21:00:00,Japan,Hokuriku,JP-HR,394.65,472.47,27.7,27.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
