Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Kansai,JP-KN,417.51,496.11,24.1,22.0,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Kansai,JP-KN,388.61,463.8,29.48,25.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Kansai,JP-KN,383.29,458.03,30.57,27.69,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Kansai,JP-KN,376.56,449.04,32.16,26.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Kansai,JP-KN,390.72,465.2,29.24,26.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Kansai,JP-KN,402.85,478.12,26.85,20.94,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Kansai,JP-KN,424.83,503.43,22.61,18.56,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Kansai,JP-KN,438.2,518.37,19.97,17.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Kansai,JP-KN,447.71,529.12,18.12,14.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Kansai,JP-KN,368.5,436.03,32.64,12.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Kansai,JP-KN,367.03,434.31,32.91,12.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Kansai,JP-KN,446.49,528.38,18.32,15.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Kansai,JP-KN,437.58,517.54,19.97,14.74,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Kansai,JP-KN,433.38,512.32,20.81,14.6,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Kansai,JP-KN,452.65,535.32,17.56,15.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Kansai,JP-KN,323.57,382.75,42.57,12.92,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Kansai,JP-KN,440.02,519.73,21.93,17.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Kansai,JP-KN,448.1,530.25,20.1,17.54,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
