Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Kyūshū,JP-KY,229.16,291.55,58.09,30.59,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Kyūshū,JP-KY,197.71,256.46,63.84,36.22,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Kyūshū,JP-KY,166.45,221.49,69.56,41.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Kyūshū,JP-KY,164.51,219.07,69.91,41.27,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Kyūshū,JP-KY,178.4,234.37,67.37,38.03,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Kyūshū,JP-KY,201.61,260.26,63.13,33.7,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Kyūshū,JP-KY,224.92,286.27,58.87,29.35,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Kyūshū,JP-KY,309.44,381.25,43.41,15.71,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Kyūshū,JP-KY,341.1,417.24,37.62,11.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Kyūshū,JP-KY,343.64,420.27,37.15,11.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Kyūshū,JP-KY,343.12,419.64,37.25,11.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Kyūshū,JP-KY,340.08,416.04,37.8,11.67,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Kyūshū,JP-KY,336.64,411.95,38.43,11.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Kyūshū,JP-KY,332.76,407.34,39.14,11.41,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Kyūshū,JP-KY,328.6,402.39,39.9,11.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Kyūshū,JP-KY,327.92,401.58,40.03,11.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
