Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Okinawa,JP-ON,476.49,572.47,12.88,12.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Okinawa,JP-ON,459.25,553.39,16.03,16.03,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Okinawa,JP-ON,449.82,542.97,17.76,17.76,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Okinawa,JP-ON,443.8,536.31,18.86,18.86,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Okinawa,JP-ON,447.19,540.07,18.24,18.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Okinawa,JP-ON,456.25,550.1,16.58,16.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Okinawa,JP-ON,471.04,566.48,13.88,13.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Okinawa,JP-ON,492.13,589.83,10.02,10.02,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Okinawa,JP-ON,513.26,613.21,6.16,6.16,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Okinawa,JP-ON,530.62,632.44,2.98,2.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Okinawa,JP-ON,530.6,632.41,2.99,2.99,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Okinawa,JP-ON,530.58,632.39,2.99,2.99,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Okinawa,JP-ON,530.6,632.41,2.99,2.99,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Okinawa,JP-ON,530.66,632.48,2.98,2.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Okinawa,JP-ON,530.68,632.51,2.97,2.97,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Okinawa,JP-ON,530.63,632.44,2.98,2.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Okinawa,JP-ON,530.61,632.42,2.98,2.98,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Okinawa,JP-ON,530.57,632.37,2.99,2.99,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Japan,Okinawa,JP-ON,530.56,632.36,2.99,2.99,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Japan,Okinawa,JP-ON,530.43,632.21,3.02,3.02,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
