Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Japan,Tōhoku,JP-TH,338.12,414.04,38.11,38.11,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Japan,Tōhoku,JP-TH,325.67,400.34,40.41,40.41,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Japan,Tōhoku,JP-TH,320.22,394.26,41.44,41.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Japan,Tōhoku,JP-TH,319.45,393.22,41.67,41.67,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Japan,Tōhoku,JP-TH,329.33,403.92,39.79,39.79,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Japan,Tōhoku,JP-TH,347.87,424.21,36.33,36.33,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Japan,Tōhoku,JP-TH,372.46,451.22,31.8,31.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Japan,Tōhoku,JP-TH,395.04,475.99,27.64,27.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Japan,Tōhoku,JP-TH,416.24,499.21,23.75,23.75,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Japan,Tōhoku,JP-TH,416.66,499.7,23.67,23.67,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Japan,Tōhoku,JP-TH,417.0,500.09,23.61,23.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Japan,Tōhoku,JP-TH,416.95,500.03,23.61,23.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Japan,Tōhoku,JP-TH,417.5,500.67,23.51,23.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Japan,Tōhoku,JP-TH,418.06,501.33,23.42,23.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Japan,Tōhoku,JP-TH,418.79,502.17,23.28,23.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Japan,Tōhoku,JP-TH,419.19,502.66,23.22,23.22,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Japan,Tōhoku,JP-TH,418.84,502.24,23.28,23.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Japan,Tōhoku,JP-TH,423.43,507.63,22.44,22.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Japan,Tōhoku,JP-TH,426.7,511.46,21.84,21.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Japan,Tōhoku,JP-TH,428.76,513.87,21.46,21.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Japan,Tōhoku,JP-TH,430.21,515.57,21.2,21.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Japan,Tōhoku,JP-TH,427.92,512.89,21.63,21.63,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Japan,Tōhoku,JP-TH,392.18,474.13,28.19,28.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Japan,Tōhoku,JP-TH,368.49,448.28,32.53,32.53,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Japan,Tōhoku,JP-TH,347.61,425.22,36.37,36.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Japan,Tōhoku,JP-TH,337.0,413.67,38.34,38.34,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Japan,Tōhoku,JP-TH,331.4,407.37,39.4,39.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Japan,Tōhoku,JP-TH,333.18,409.31,39.15,39.15,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Japan,Tōhoku,JP-TH,343.01,419.99,37.29,37.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Japan,Tōhoku,JP-TH,359.8,438.28,34.16,34.16,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Japan,Tōhoku,JP-TH,383.17,463.82,29.83,29.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Japan,Tōhoku,JP-TH,404.91,487.58,25.83,25.83,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Japan,Tōhoku,JP-TH,425.53,510.1,22.05,22.05,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Japan,Tōhoku,JP-TH,426.66,511.43,21.84,21.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Japan,Tōhoku,JP-TH,428.75,513.88,21.46,21.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Japan,Tōhoku,JP-TH,430.32,515.7,21.17,21.17,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Japan,Tōhoku,JP-TH,432.8,518.61,20.71,20.71,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Japan,Tōhoku,JP-TH,433.56,519.5,20.58,20.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Japan,Tōhoku,JP-TH,433.99,520.0,20.5,20.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Japan,Tōhoku,JP-TH,434.94,521.12,20.33,20.33,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Japan,Tōhoku,JP-TH,436.37,522.8,20.07,20.07,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Japan,Tōhoku,JP-TH,436.99,523.54,19.96,19.96,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Japan,Tōhoku,JP-TH,437.9,524.6,19.79,19.79,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Japan,Tōhoku,JP-TH,438.76,525.61,19.63,19.63,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Japan,Tōhoku,JP-TH,437.99,524.7,19.77,19.77,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,Japan,Tōhoku,JP-TH,437.47,524.09,19.88,19.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,Japan,Tōhoku,JP-TH,396.47,479.14,27.41,27.41,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,Japan,Tōhoku,JP-TH,370.95,451.12,32.09,32.09,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,Japan,Tōhoku,JP-TH,351.57,429.83,35.64,35.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,Japan,Tōhoku,JP-TH,338.42,415.31,38.08,38.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,Japan,Tōhoku,JP-TH,332.65,408.78,39.17,39.17,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 03:00:00,Japan,Tōhoku,JP-TH,334.38,410.68,38.93,38.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 04:00:00,Japan,Tōhoku,JP-TH,342.4,419.23,37.4,37.4,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 05:00:00,Japan,Tōhoku,JP-TH,360.02,438.47,34.11,34.11,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 06:00:00,Japan,Tōhoku,JP-TH,387.04,468.31,29.13,29.13,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 07:00:00,Japan,Tōhoku,JP-TH,406.8,489.78,25.48,25.48,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 08:00:00,Japan,Tōhoku,JP-TH,430.47,515.9,21.14,21.14,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 09:00:00,Japan,Tōhoku,JP-TH,432.1,517.81,20.84,20.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 10:00:00,Japan,Tōhoku,JP-TH,432.36,518.11,20.8,20.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 11:00:00,Japan,Tōhoku,JP-TH,432.11,517.81,20.84,20.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 12:00:00,Japan,Tōhoku,JP-TH,430.82,516.3,21.08,21.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 13:00:00,Japan,Tōhoku,JP-TH,432.02,517.71,20.86,20.86,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 14:00:00,Japan,Tōhoku,JP-TH,430.57,516.0,21.13,21.13,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 15:00:00,Japan,Tōhoku,JP-TH,430.95,516.45,21.07,21.07,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 16:00:00,Japan,Tōhoku,JP-TH,429.8,515.1,21.28,21.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 17:00:00,Japan,Tōhoku,JP-TH,429.35,514.58,21.36,21.36,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 18:00:00,Japan,Tōhoku,JP-TH,428.99,514.16,21.42,21.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 19:00:00,Japan,Tōhoku,JP-TH,427.21,512.07,21.75,21.75,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 20:00:00,Japan,Tōhoku,JP-TH,425.56,510.12,22.05,22.05,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 21:00:00,Japan,Tōhoku,JP-TH,424.76,509.19,22.21,22.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 22:00:00,Japan,Tōhoku,JP-TH,385.74,466.56,29.37,29.37,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 23:00:00,Japan,Tōhoku,JP-TH,361.5,440.06,33.82,33.82,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 00:00:00,Japan,Tōhoku,JP-TH,343.76,420.71,37.07,37.07,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 01:00:00,Japan,Tōhoku,JP-TH,331.7,407.47,39.31,39.31,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 02:00:00,Japan,Tōhoku,JP-TH,328.32,403.75,39.96,39.96,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 03:00:00,Japan,Tōhoku,JP-TH,329.21,404.63,39.88,39.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 04:00:00,Japan,Tōhoku,JP-TH,341.07,417.68,37.64,37.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 05:00:00,Japan,Tōhoku,JP-TH,359.16,437.49,34.26,34.26,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
