Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Lithuania,Lithuania,LT,213.99,306.21,42.82,30.76,entsoe.eu,False,
2021-01-01 01:00:00,Lithuania,Lithuania,LT,227.07,322.8,39.31,28.65,entsoe.eu,False,
2021-01-01 02:00:00,Lithuania,Lithuania,LT,235.01,332.97,37.19,27.28,entsoe.eu,False,
2021-01-01 03:00:00,Lithuania,Lithuania,LT,232.28,329.58,40.12,30.36,entsoe.eu,False,
2021-01-01 04:00:00,Lithuania,Lithuania,LT,222.37,317.11,43.55,33.05,entsoe.eu,False,
2021-01-01 05:00:00,Lithuania,Lithuania,LT,205.91,296.87,44.98,32.77,entsoe.eu,False,
2021-01-01 06:00:00,Lithuania,Lithuania,LT,183.14,268.62,54.54,40.57,entsoe.eu,False,
2021-01-01 07:00:00,Lithuania,Lithuania,LT,182.88,268.62,51.3,37.25,entsoe.eu,False,
2021-01-01 08:00:00,Lithuania,Lithuania,LT,191.03,278.31,49.02,35.36,entsoe.eu,False,
2021-01-01 09:00:00,Lithuania,Lithuania,LT,252.96,354.98,38.11,31.98,entsoe.eu,False,
2021-01-01 10:00:00,Lithuania,Lithuania,LT,240.65,339.06,39.95,33.02,entsoe.eu,False,
2021-01-01 11:00:00,Lithuania,Lithuania,LT,247.68,347.66,39.44,33.62,entsoe.eu,False,
2021-01-01 12:00:00,Lithuania,Lithuania,LT,258.05,360.47,40.46,36.19,entsoe.eu,False,
2021-01-01 13:00:00,Lithuania,Lithuania,LT,253.37,354.58,41.44,36.76,entsoe.eu,False,
2021-01-01 14:00:00,Lithuania,Lithuania,LT,218.48,311.09,50.11,42.43,entsoe.eu,False,
2021-01-01 15:00:00,Lithuania,Lithuania,LT,234.88,331.24,47.64,41.54,entsoe.eu,False,
2021-01-01 16:00:00,Lithuania,Lithuania,LT,361.62,470.5,30.59,29.58,entsoe.eu,False,
2021-01-01 17:00:00,Lithuania,Lithuania,LT,318.97,428.23,32.09,30.15,entsoe.eu,False,
2021-01-01 18:00:00,Lithuania,Lithuania,LT,285.88,389.73,38.96,35.72,entsoe.eu,False,
2021-01-01 19:00:00,Lithuania,Lithuania,LT,293.67,402.35,32.45,31.26,entsoe.eu,False,
2021-01-01 20:00:00,Lithuania,Lithuania,LT,271.65,376.53,29.75,25.96,entsoe.eu,False,
2021-01-01 21:00:00,Lithuania,Lithuania,LT,308.8,420.53,19.94,18.17,entsoe.eu,False,
2021-01-01 22:00:00,Lithuania,Lithuania,LT,315.84,430.29,17.56,15.96,entsoe.eu,False,
2021-01-01 23:00:00,Lithuania,Lithuania,LT,215.55,307.68,42.33,30.55,entsoe.eu,False,
2021-01-02 00:00:00,Lithuania,Lithuania,LT,229.8,324.99,38.44,27.89,entsoe.eu,False,
2021-01-02 01:00:00,Lithuania,Lithuania,LT,215.26,306.43,42.35,30.41,entsoe.eu,False,
2021-01-02 02:00:00,Lithuania,Lithuania,LT,213.06,303.73,42.98,30.88,entsoe.eu,False,
2021-01-02 03:00:00,Lithuania,Lithuania,LT,231.25,326.91,38.09,27.6,entsoe.eu,False,
2021-01-02 04:00:00,Lithuania,Lithuania,LT,218.16,310.63,41.61,29.77,entsoe.eu,False,
2021-01-02 05:00:00,Lithuania,Lithuania,LT,208.8,300.14,44.19,32.77,entsoe.eu,False,
2021-01-02 06:00:00,Lithuania,Lithuania,LT,237.63,332.3,39.15,29.59,entsoe.eu,False,
2021-01-02 07:00:00,Lithuania,Lithuania,LT,313.55,422.68,21.12,17.75,entsoe.eu,False,
