Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Luxembourg,Luxembourg,LU,358.47,446.43,58.21,39.71,entsoe.eu,False,
2021-01-01 01:00:00,Luxembourg,Luxembourg,LU,369.56,459.17,57.64,39.83,entsoe.eu,False,
2021-01-01 02:00:00,Luxembourg,Luxembourg,LU,327.59,413.97,60.3,36.65,entsoe.eu,False,
2021-01-01 03:00:00,Luxembourg,Luxembourg,LU,312.93,397.81,61.68,35.68,entsoe.eu,False,
2021-01-01 04:00:00,Luxembourg,Luxembourg,LU,388.79,480.27,55.72,37.93,entsoe.eu,False,
2021-01-01 05:00:00,Luxembourg,Luxembourg,LU,406.84,500.28,50.61,34.8,entsoe.eu,False,
2021-01-01 06:00:00,Luxembourg,Luxembourg,LU,411.92,504.8,49.86,33.43,entsoe.eu,False,
2021-01-01 07:00:00,Luxembourg,Luxembourg,LU,398.85,493.01,50.57,34.56,entsoe.eu,False,
2021-01-01 08:00:00,Luxembourg,Luxembourg,LU,380.17,472.73,51.96,35.27,entsoe.eu,False,
2021-01-01 09:00:00,Luxembourg,Luxembourg,LU,379.33,471.09,52.48,37.27,entsoe.eu,False,
2021-01-01 10:00:00,Luxembourg,Luxembourg,LU,369.34,459.82,52.8,38.04,entsoe.eu,False,
2021-01-01 11:00:00,Luxembourg,Luxembourg,LU,364.6,454.51,52.82,38.37,entsoe.eu,False,
2021-01-01 12:00:00,Luxembourg,Luxembourg,LU,356.25,446.74,53.29,37.86,entsoe.eu,False,
2021-01-01 13:00:00,Luxembourg,Luxembourg,LU,341.06,431.65,53.85,35.57,entsoe.eu,False,
2021-01-01 14:00:00,Luxembourg,Luxembourg,LU,358.06,450.11,51.93,33.27,entsoe.eu,False,
2021-01-01 15:00:00,Luxembourg,Luxembourg,LU,368.27,459.6,51.31,32.96,entsoe.eu,False,
2021-01-01 16:00:00,Luxembourg,Luxembourg,LU,370.79,458.69,52.24,34.91,entsoe.eu,False,
2021-01-01 17:00:00,Luxembourg,Luxembourg,LU,392.44,480.96,51.27,36.79,entsoe.eu,False,
2021-01-01 18:00:00,Luxembourg,Luxembourg,LU,398.74,486.9,51.27,37.44,entsoe.eu,False,
2021-01-01 19:00:00,Luxembourg,Luxembourg,LU,391.07,482.69,50.2,36.04,entsoe.eu,False,
2021-01-01 20:00:00,Luxembourg,Luxembourg,LU,384.07,476.07,50.48,36.15,entsoe.eu,False,
2021-01-01 21:00:00,Luxembourg,Luxembourg,LU,383.48,470.94,54.36,38.57,entsoe.eu,False,
2021-01-01 22:00:00,Luxembourg,Luxembourg,LU,379.74,467.6,55.07,38.49,entsoe.eu,False,
2021-01-01 23:00:00,Luxembourg,Luxembourg,LU,371.96,460.25,56.79,39.84,entsoe.eu,False,
2021-01-02 00:00:00,Luxembourg,Luxembourg,LU,364.36,452.54,57.7,40.1,entsoe.eu,False,
2021-01-02 01:00:00,Luxembourg,Luxembourg,LU,326.56,412.92,60.27,38.26,entsoe.eu,False,
2021-01-02 02:00:00,Luxembourg,Luxembourg,LU,370.72,459.56,57.45,39.92,entsoe.eu,False,
2021-01-02 03:00:00,Luxembourg,Luxembourg,LU,375.47,465.07,56.99,39.57,entsoe.eu,False,
2021-01-02 04:00:00,Luxembourg,Luxembourg,LU,387.99,477.76,55.42,38.02,entsoe.eu,False,
2021-01-02 05:00:00,Luxembourg,Luxembourg,LU,396.1,488.72,50.85,35.07,entsoe.eu,False,
2021-01-02 06:00:00,Luxembourg,Luxembourg,LU,407.26,500.13,49.05,33.72,entsoe.eu,False,
2021-01-02 07:00:00,Luxembourg,Luxembourg,LU,417.07,511.14,47.37,32.5,entsoe.eu,False,
2021-01-02 08:00:00,Luxembourg,Luxembourg,LU,421.86,513.99,47.25,32.71,entsoe.eu,False,
2021-01-02 09:00:00,Luxembourg,Luxembourg,LU,424.44,513.88,48.18,33.98,entsoe.eu,False,
2021-01-02 10:00:00,Luxembourg,Luxembourg,LU,415.16,504.54,49.05,35.4,entsoe.eu,False,
2021-01-02 11:00:00,Luxembourg,Luxembourg,LU,408.6,498.6,49.29,35.72,entsoe.eu,False,
2021-01-02 12:00:00,Luxembourg,Luxembourg,LU,409.27,500.99,48.7,35.15,entsoe.eu,False,
2021-01-02 13:00:00,Luxembourg,Luxembourg,LU,407.69,499.63,48.29,33.34,entsoe.eu,False,
2021-01-02 14:00:00,Luxembourg,Luxembourg,LU,403.79,497.1,46.82,30.18,entsoe.eu,False,
2021-01-02 15:00:00,Luxembourg,Luxembourg,LU,403.37,495.19,47.22,30.1,entsoe.eu,False,
2021-01-02 16:00:00,Luxembourg,Luxembourg,LU,435.9,522.38,49.03,35.75,entsoe.eu,False,
2021-01-02 17:00:00,Luxembourg,Luxembourg,LU,436.02,520.74,49.36,35.98,entsoe.eu,False,
2021-01-02 18:00:00,Luxembourg,Luxembourg,LU,430.33,516.13,49.06,35.61,entsoe.eu,False,
2021-01-02 19:00:00,Luxembourg,Luxembourg,LU,425.53,512.1,48.83,35.12,entsoe.eu,False,
2021-01-02 20:00:00,Luxembourg,Luxembourg,LU,388.3,477.69,50.17,36.25,entsoe.eu,False,
2021-01-02 21:00:00,Luxembourg,Luxembourg,LU,354.71,439.74,55.35,37.98,entsoe.eu,False,
2021-01-02 22:00:00,Luxembourg,Luxembourg,LU,343.45,425.7,58.95,43.05,entsoe.eu,False,
2021-01-02 23:00:00,Luxembourg,Luxembourg,LU,299.73,379.7,62.83,43.97,entsoe.eu,False,
2021-01-03 00:00:00,Luxembourg,Luxembourg,LU,289.74,368.75,65.3,48.46,entsoe.eu,False,
2021-01-03 01:00:00,Luxembourg,Luxembourg,LU,258.1,335.23,68.09,50.89,entsoe.eu,False,
2021-01-03 02:00:00,Luxembourg,Luxembourg,LU,214.03,289.96,69.56,46.6,entsoe.eu,False,
2021-01-03 03:00:00,Luxembourg,Luxembourg,LU,200.3,275.56,70.69,47.29,entsoe.eu,False,
2021-01-03 04:00:00,Luxembourg,Luxembourg,LU,194.47,269.13,71.16,48.03,entsoe.eu,False,
2021-01-03 05:00:00,Luxembourg,Luxembourg,LU,221.33,298.44,67.78,53.27,entsoe.eu,False,
2021-01-03 06:00:00,Luxembourg,Luxembourg,LU,235.21,312.61,66.31,53.33,entsoe.eu,False,
2021-01-03 07:00:00,Luxembourg,Luxembourg,LU,264.18,341.52,65.08,54.52,entsoe.eu,False,
2021-01-03 08:00:00,Luxembourg,Luxembourg,LU,263.99,341.55,63.96,51.3,entsoe.eu,False,
2021-01-03 09:00:00,Luxembourg,Luxembourg,LU,268.66,342.15,64.43,52.31,entsoe.eu,False,
2021-01-03 10:00:00,Luxembourg,Luxembourg,LU,280.53,349.87,63.58,51.29,entsoe.eu,False,
2021-01-03 11:00:00,Luxembourg,Luxembourg,LU,293.76,362.53,63.58,52.71,entsoe.eu,False,
2021-01-03 12:00:00,Luxembourg,Luxembourg,LU,278.32,348.68,63.3,50.41,entsoe.eu,False,
2021-01-03 13:00:00,Luxembourg,Luxembourg,LU,270.61,340.73,64.07,50.72,entsoe.eu,False,
2021-01-03 14:00:00,Luxembourg,Luxembourg,LU,253.12,322.63,64.37,48.44,entsoe.eu,False,
2021-01-03 15:00:00,Luxembourg,Luxembourg,LU,245.49,313.76,64.84,47.62,entsoe.eu,False,
2021-01-03 16:00:00,Luxembourg,Luxembourg,LU,280.7,347.9,64.3,50.97,entsoe.eu,False,
2021-01-03 17:00:00,Luxembourg,Luxembourg,LU,294.37,360.67,64.78,53.64,entsoe.eu,False,
2021-01-03 18:00:00,Luxembourg,Luxembourg,LU,309.57,377.63,63.43,53.21,entsoe.eu,False,
2021-01-03 19:00:00,Luxembourg,Luxembourg,LU,298.01,368.6,62.78,51.88,entsoe.eu,False,
2021-01-03 20:00:00,Luxembourg,Luxembourg,LU,259.21,330.34,63.28,46.79,entsoe.eu,False,
2021-01-03 21:00:00,Luxembourg,Luxembourg,LU,310.03,380.72,64.75,51.85,entsoe.eu,False,
2021-01-03 22:00:00,Luxembourg,Luxembourg,LU,288.66,359.26,65.89,50.87,entsoe.eu,False,
2021-01-03 23:00:00,Luxembourg,Luxembourg,LU,303.68,376.4,65.54,52.3,entsoe.eu,False,
2021-01-04 00:00:00,Luxembourg,Luxembourg,LU,250.04,320.01,67.64,47.08,entsoe.eu,False,
2021-01-04 01:00:00,Luxembourg,Luxembourg,LU,265.76,336.81,66.8,47.99,entsoe.eu,False,
2021-01-04 02:00:00,Luxembourg,Luxembourg,LU,259.78,331.36,66.8,46.8,entsoe.eu,False,
2021-01-04 03:00:00,Luxembourg,Luxembourg,LU,242.27,314.41,68.03,46.19,entsoe.eu,False,
2021-01-04 04:00:00,Luxembourg,Luxembourg,LU,329.04,406.92,62.29,49.89,entsoe.eu,False,
2021-01-04 05:00:00,Luxembourg,Luxembourg,LU,326.01,404.72,57.58,44.18,entsoe.eu,False,
2021-01-04 06:00:00,Luxembourg,Luxembourg,LU,343.63,422.41,54.81,41.73,entsoe.eu,False,
2021-01-04 07:00:00,Luxembourg,Luxembourg,LU,346.8,425.38,54.68,42.09,entsoe.eu,False,
2021-01-04 08:00:00,Luxembourg,Luxembourg,LU,357.06,435.69,54.45,42.92,entsoe.eu,False,
2021-01-04 09:00:00,Luxembourg,Luxembourg,LU,391.79,471.21,53.13,44.13,entsoe.eu,False,
2021-01-04 10:00:00,Luxembourg,Luxembourg,LU,353.43,432.25,53.75,41.53,entsoe.eu,False,
2021-01-04 11:00:00,Luxembourg,Luxembourg,LU,386.85,464.74,54.02,45.05,entsoe.eu,False,
2021-01-04 12:00:00,Luxembourg,Luxembourg,LU,368.51,447.75,53.27,42.39,entsoe.eu,False,
2021-01-04 13:00:00,Luxembourg,Luxembourg,LU,364.0,443.54,53.3,42.38,entsoe.eu,False,
2021-01-04 14:00:00,Luxembourg,Luxembourg,LU,356.44,436.51,52.5,40.62,entsoe.eu,False,
2021-01-04 15:00:00,Luxembourg,Luxembourg,LU,375.41,455.43,52.09,41.59,entsoe.eu,False,
2021-01-04 16:00:00,Luxembourg,Luxembourg,LU,372.44,450.94,52.76,41.67,entsoe.eu,False,
2021-01-04 17:00:00,Luxembourg,Luxembourg,LU,407.68,486.01,51.82,42.97,entsoe.eu,False,
2021-01-04 18:00:00,Luxembourg,Luxembourg,LU,404.72,484.73,51.32,42.48,entsoe.eu,False,
2021-01-04 19:00:00,Luxembourg,Luxembourg,LU,404.73,485.54,50.9,41.94,entsoe.eu,False,
2021-01-04 20:00:00,Luxembourg,Luxembourg,LU,400.03,483.74,50.3,41.12,entsoe.eu,False,
2021-01-04 21:00:00,Luxembourg,Luxembourg,LU,406.0,485.9,53.77,43.55,entsoe.eu,False,
2021-01-04 22:00:00,Luxembourg,Luxembourg,LU,403.83,483.09,54.29,43.6,entsoe.eu,False,
2021-01-04 23:00:00,Luxembourg,Luxembourg,LU,336.85,414.5,59.99,45.47,entsoe.eu,False,
2021-01-05 00:00:00,Luxembourg,Luxembourg,LU,334.71,412.83,60.47,46.38,entsoe.eu,False,
2021-01-05 01:00:00,Luxembourg,Luxembourg,LU,309.4,384.17,61.66,44.48,entsoe.eu,False,
2021-01-05 02:00:00,Luxembourg,Luxembourg,LU,316.13,393.24,61.39,45.18,entsoe.eu,False,
2021-01-05 03:00:00,Luxembourg,Luxembourg,LU,327.5,405.53,60.61,45.15,entsoe.eu,False,
2021-01-05 04:00:00,Luxembourg,Luxembourg,LU,320.92,399.13,59.57,42.91,entsoe.eu,False,
2021-01-05 05:00:00,Luxembourg,Luxembourg,LU,393.05,476.74,51.34,40.94,entsoe.eu,False,
2021-01-05 06:00:00,Luxembourg,Luxembourg,LU,403.04,486.38,49.33,38.81,entsoe.eu,False,
2021-01-05 07:00:00,Luxembourg,Luxembourg,LU,422.38,503.22,49.61,40.15,entsoe.eu,False,
2021-01-05 08:00:00,Luxembourg,Luxembourg,LU,405.48,486.76,49.87,38.97,entsoe.eu,False,
2021-01-05 09:00:00,Luxembourg,Luxembourg,LU,415.17,495.31,50.55,40.7,entsoe.eu,False,
2021-01-05 10:00:00,Luxembourg,Luxembourg,LU,413.87,493.5,50.69,40.72,entsoe.eu,False,
2021-01-05 11:00:00,Luxembourg,Luxembourg,LU,415.52,494.29,51.17,41.81,entsoe.eu,False,
2021-01-05 12:00:00,Luxembourg,Luxembourg,LU,399.38,480.33,50.24,39.31,entsoe.eu,False,
2021-01-05 13:00:00,Luxembourg,Luxembourg,LU,404.08,484.63,50.44,40.21,entsoe.eu,False,
2021-01-05 14:00:00,Luxembourg,Luxembourg,LU,416.26,496.64,49.23,39.46,entsoe.eu,False,
2021-01-05 15:00:00,Luxembourg,Luxembourg,LU,413.35,493.26,50.3,40.86,entsoe.eu,False,
2021-01-05 16:00:00,Luxembourg,Luxembourg,LU,406.76,485.74,51.83,42.97,entsoe.eu,False,
2021-01-05 17:00:00,Luxembourg,Luxembourg,LU,397.61,477.76,51.22,41.23,entsoe.eu,False,
2021-01-05 18:00:00,Luxembourg,Luxembourg,LU,396.76,478.9,50.17,39.72,entsoe.eu,False,
2021-01-05 19:00:00,Luxembourg,Luxembourg,LU,390.6,474.11,50.21,39.61,entsoe.eu,False,
2021-01-05 20:00:00,Luxembourg,Luxembourg,LU,369.28,453.58,51.3,39.34,entsoe.eu,False,
2021-01-05 21:00:00,Luxembourg,Luxembourg,LU,379.08,460.27,54.59,42.49,entsoe.eu,False,
2021-01-05 22:00:00,Luxembourg,Luxembourg,LU,369.17,449.55,56.45,44.24,entsoe.eu,False,
2021-01-05 23:00:00,Luxembourg,Luxembourg,LU,333.18,413.36,58.46,43.21,entsoe.eu,False,
