Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Latvia,Latvia,LV,260.0,359.25,44.52,33.1,entsoe.eu,False,
2021-01-01 01:00:00,Latvia,Latvia,LV,266.53,372.81,41.72,31.86,entsoe.eu,False,
2021-01-01 02:00:00,Latvia,Latvia,LV,272.63,379.47,40.55,31.01,entsoe.eu,False,
2021-01-01 03:00:00,Latvia,Latvia,LV,268.46,376.25,42.17,32.9,entsoe.eu,False,
2021-01-01 04:00:00,Latvia,Latvia,LV,260.14,368.17,43.77,34.44,entsoe.eu,False,
2021-01-01 05:00:00,Latvia,Latvia,LV,246.13,349.09,46.56,35.59,entsoe.eu,False,
2021-01-01 06:00:00,Latvia,Latvia,LV,218.3,314.89,54.16,43.56,entsoe.eu,False,
2021-01-01 07:00:00,Latvia,Latvia,LV,224.57,317.8,52.63,41.82,entsoe.eu,False,
2021-01-01 08:00:00,Latvia,Latvia,LV,228.95,320.46,51.57,40.68,entsoe.eu,False,
2021-01-01 09:00:00,Latvia,Latvia,LV,240.77,320.72,54.42,42.38,entsoe.eu,False,
2021-01-01 10:00:00,Latvia,Latvia,LV,241.94,320.9,54.43,41.52,entsoe.eu,False,
2021-01-01 11:00:00,Latvia,Latvia,LV,231.43,309.22,56.48,44.77,entsoe.eu,False,
2021-01-01 12:00:00,Latvia,Latvia,LV,235.49,315.51,56.01,44.86,entsoe.eu,False,
2021-01-01 13:00:00,Latvia,Latvia,LV,226.71,305.1,57.42,46.99,entsoe.eu,False,
2021-01-01 14:00:00,Latvia,Latvia,LV,233.91,309.61,56.84,45.92,entsoe.eu,False,
2021-01-01 15:00:00,Latvia,Latvia,LV,204.18,271.58,62.79,53.69,entsoe.eu,False,
2021-01-01 16:00:00,Latvia,Latvia,LV,163.27,218.72,71.28,63.57,entsoe.eu,False,
2021-01-01 17:00:00,Latvia,Latvia,LV,167.63,222.07,70.86,63.15,entsoe.eu,False,
2021-01-01 18:00:00,Latvia,Latvia,LV,155.67,208.03,72.79,66.04,entsoe.eu,False,
2021-01-01 19:00:00,Latvia,Latvia,LV,159.67,210.0,72.09,63.98,entsoe.eu,False,
2021-01-01 20:00:00,Latvia,Latvia,LV,162.86,215.96,71.53,63.39,entsoe.eu,False,
2021-01-01 21:00:00,Latvia,Latvia,LV,206.63,263.52,64.54,51.94,entsoe.eu,False,
2021-01-01 22:00:00,Latvia,Latvia,LV,250.96,315.02,57.27,41.56,entsoe.eu,False,
2021-01-01 23:00:00,Latvia,Latvia,LV,285.36,370.4,46.89,32.47,entsoe.eu,False,
2021-01-02 00:00:00,Latvia,Latvia,LV,279.64,362.85,47.57,32.22,entsoe.eu,False,
2021-01-02 01:00:00,Latvia,Latvia,LV,276.83,369.58,44.91,32.08,entsoe.eu,False,
2021-01-02 02:00:00,Latvia,Latvia,LV,278.05,370.61,44.6,31.91,entsoe.eu,False,
2021-01-02 03:00:00,Latvia,Latvia,LV,284.61,367.63,47.7,32.64,entsoe.eu,False,
2021-01-02 04:00:00,Latvia,Latvia,LV,284.81,362.04,48.46,32.66,entsoe.eu,False,
2021-01-02 05:00:00,Latvia,Latvia,LV,279.4,354.03,50.54,34.05,entsoe.eu,False,
