Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Brazil,North-East Brazil,BR-NE,85.71,118.3,85.09,85.09,ons.org.br,False,
2021-01-01 01:00:00,Brazil,North-East Brazil,BR-NE,85.39,117.65,85.15,85.15,ons.org.br,False,
2021-01-01 02:00:00,Brazil,North-East Brazil,BR-NE,89.04,121.62,84.52,84.52,ons.org.br,False,
2021-01-01 03:00:00,Brazil,North-East Brazil,BR-NE,92.59,125.7,83.9,83.9,ons.org.br,False,
2021-01-01 04:00:00,Brazil,North-East Brazil,BR-NE,97.16,130.86,83.1,83.1,ons.org.br,False,
2021-01-01 05:00:00,Brazil,North-East Brazil,BR-NE,97.59,131.62,83.03,83.03,ons.org.br,False,
2021-01-01 06:00:00,Brazil,North-East Brazil,BR-NE,98.47,132.84,82.87,82.87,ons.org.br,False,
2021-01-01 07:00:00,Brazil,North-East Brazil,BR-NE,101.32,136.26,82.38,82.38,ons.org.br,False,
2021-01-01 08:00:00,Brazil,North-East Brazil,BR-NE,104.0,139.45,81.91,81.91,ons.org.br,False,
2021-01-01 09:00:00,Brazil,North-East Brazil,BR-NE,107.48,144.03,81.31,81.31,ons.org.br,False,
2021-01-01 10:00:00,Brazil,North-East Brazil,BR-NE,104.12,140.93,81.89,81.89,ons.org.br,False,
2021-01-01 11:00:00,Brazil,North-East Brazil,BR-NE,104.76,142.34,81.78,81.78,ons.org.br,False,
2021-01-01 12:00:00,Brazil,North-East Brazil,BR-NE,105.63,144.65,81.63,81.63,ons.org.br,False,
2021-01-01 13:00:00,Brazil,North-East Brazil,BR-NE,107.17,147.5,81.36,81.36,ons.org.br,False,
2021-01-01 14:00:00,Brazil,North-East Brazil,BR-NE,111.16,152.63,80.67,80.67,ons.org.br,False,
2021-01-01 15:00:00,Brazil,North-East Brazil,BR-NE,111.74,153.25,80.57,80.57,ons.org.br,False,
2021-01-01 16:00:00,Brazil,North-East Brazil,BR-NE,107.94,148.38,81.23,81.23,ons.org.br,False,
2021-01-01 17:00:00,Brazil,North-East Brazil,BR-NE,104.52,143.96,81.82,81.82,ons.org.br,False,
2021-01-01 18:00:00,Brazil,North-East Brazil,BR-NE,101.6,140.0,82.33,82.33,ons.org.br,False,
2021-01-01 19:00:00,Brazil,North-East Brazil,BR-NE,99.28,136.59,82.73,82.73,ons.org.br,False,
2021-01-01 20:00:00,Brazil,North-East Brazil,BR-NE,98.73,135.1,82.83,82.78,ons.org.br,False,
2021-01-01 21:00:00,Brazil,North-East Brazil,BR-NE,94.46,129.52,83.57,83.57,ons.org.br,False,
2021-01-01 22:00:00,Brazil,North-East Brazil,BR-NE,86.77,120.28,84.91,84.91,ons.org.br,False,
2021-01-01 23:00:00,Brazil,North-East Brazil,BR-NE,84.63,117.61,85.28,85.28,ons.org.br,False,
2021-01-02 00:00:00,Brazil,North-East Brazil,BR-NE,84.14,116.98,85.37,85.37,ons.org.br,False,
2021-01-02 01:00:00,Brazil,North-East Brazil,BR-NE,84.02,116.88,85.39,85.39,ons.org.br,False,
2021-01-02 02:00:00,Brazil,North-East Brazil,BR-NE,87.04,120.09,84.86,84.86,ons.org.br,False,
2021-01-02 03:00:00,Brazil,North-East Brazil,BR-NE,90.93,124.07,84.19,84.19,ons.org.br,False,
2021-01-02 04:00:00,Brazil,North-East Brazil,BR-NE,96.3,130.46,83.25,83.25,ons.org.br,False,
2021-01-02 05:00:00,Brazil,North-East Brazil,BR-NE,97.6,132.09,83.03,83.03,ons.org.br,False,
2021-01-02 06:00:00,Brazil,North-East Brazil,BR-NE,98.46,133.15,82.88,82.88,ons.org.br,False,
2021-01-02 07:00:00,Brazil,North-East Brazil,BR-NE,103.87,139.86,81.94,81.94,ons.org.br,False,
2021-01-02 08:00:00,Brazil,North-East Brazil,BR-NE,108.13,144.87,81.19,81.19,ons.org.br,False,
2021-01-02 09:00:00,Brazil,North-East Brazil,BR-NE,120.65,159.62,79.02,79.02,ons.org.br,False,
2021-01-02 10:00:00,Brazil,North-East Brazil,BR-NE,116.61,156.49,79.72,79.72,ons.org.br,False,
2021-01-02 11:00:00,Brazil,North-East Brazil,BR-NE,118.8,160.07,79.34,79.34,ons.org.br,False,
2021-01-02 12:00:00,Brazil,North-East Brazil,BR-NE,121.98,164.69,78.79,78.79,ons.org.br,False,
2021-01-02 13:00:00,Brazil,North-East Brazil,BR-NE,120.83,163.95,78.99,78.99,ons.org.br,False,
2021-01-02 14:00:00,Brazil,North-East Brazil,BR-NE,121.54,164.91,78.86,78.86,ons.org.br,False,
2021-01-02 15:00:00,Brazil,North-East Brazil,BR-NE,120.42,163.42,79.06,79.06,ons.org.br,False,
2021-01-02 16:00:00,Brazil,North-East Brazil,BR-NE,114.67,156.26,80.06,80.06,ons.org.br,False,
2021-01-02 17:00:00,Brazil,North-East Brazil,BR-NE,109.56,149.73,80.95,80.95,ons.org.br,False,
2021-01-02 18:00:00,Brazil,North-East Brazil,BR-NE,106.12,145.2,81.54,81.54,ons.org.br,False,
2021-01-02 19:00:00,Brazil,North-East Brazil,BR-NE,99.38,136.52,82.72,82.72,ons.org.br,False,
2021-01-02 20:00:00,Brazil,North-East Brazil,BR-NE,98.35,133.83,82.9,82.9,ons.org.br,False,
2021-01-02 21:00:00,Brazil,North-East Brazil,BR-NE,99.19,134.3,82.75,82.75,ons.org.br,False,
2021-01-02 22:00:00,Brazil,North-East Brazil,BR-NE,96.11,130.57,83.29,83.29,ons.org.br,False,
2021-01-02 23:00:00,Brazil,North-East Brazil,BR-NE,95.47,129.73,83.4,83.4,ons.org.br,False,
2021-01-03 00:00:00,Brazil,North-East Brazil,BR-NE,96.26,130.46,83.26,83.26,ons.org.br,False,
2021-01-03 01:00:00,Brazil,North-East Brazil,BR-NE,100.52,135.15,82.52,82.52,ons.org.br,False,
2021-01-03 02:00:00,Brazil,North-East Brazil,BR-NE,99.92,134.16,82.62,82.62,ons.org.br,False,
2021-01-03 03:00:00,Brazil,North-East Brazil,BR-NE,98.75,132.62,82.83,82.83,ons.org.br,False,
2021-01-03 04:00:00,Brazil,North-East Brazil,BR-NE,99.48,133.39,82.7,82.7,ons.org.br,False,
2021-01-03 05:00:00,Brazil,North-East Brazil,BR-NE,103.41,137.99,82.02,82.02,ons.org.br,False,
2021-01-03 06:00:00,Brazil,North-East Brazil,BR-NE,108.62,144.24,81.11,81.11,ons.org.br,False,
2021-01-03 07:00:00,Brazil,North-East Brazil,BR-NE,117.38,154.78,79.59,79.59,ons.org.br,False,
2021-01-03 08:00:00,Brazil,North-East Brazil,BR-NE,123.37,161.89,78.54,78.54,ons.org.br,False,
2021-01-03 09:00:00,Brazil,North-East Brazil,BR-NE,124.15,163.51,78.41,78.41,ons.org.br,False,
2021-01-03 10:00:00,Brazil,North-East Brazil,BR-NE,119.17,158.75,79.27,79.27,ons.org.br,False,
2021-01-03 11:00:00,Brazil,North-East Brazil,BR-NE,117.97,157.7,79.48,79.48,ons.org.br,False,
2021-01-03 12:00:00,Brazil,North-East Brazil,BR-NE,117.37,157.69,79.59,79.59,ons.org.br,False,
2021-01-03 13:00:00,Brazil,North-East Brazil,BR-NE,120.18,161.34,79.1,79.1,ons.org.br,False,
2021-01-03 14:00:00,Brazil,North-East Brazil,BR-NE,119.85,161.22,79.16,79.16,ons.org.br,False,
2021-01-03 15:00:00,Brazil,North-East Brazil,BR-NE,111.94,151.59,80.53,80.53,ons.org.br,False,
2021-01-03 16:00:00,Brazil,North-East Brazil,BR-NE,106.11,144.35,81.55,81.55,ons.org.br,False,
2021-01-03 17:00:00,Brazil,North-East Brazil,BR-NE,102.89,140.06,82.11,82.11,ons.org.br,False,
2021-01-03 18:00:00,Brazil,North-East Brazil,BR-NE,99.57,135.57,82.68,82.68,ons.org.br,False,
2021-01-03 19:00:00,Brazil,North-East Brazil,BR-NE,98.31,133.57,82.9,82.9,ons.org.br,False,
2021-01-03 20:00:00,Brazil,North-East Brazil,BR-NE,99.79,134.68,82.65,82.65,ons.org.br,False,
2021-01-03 21:00:00,Brazil,North-East Brazil,BR-NE,100.34,134.98,82.55,82.55,ons.org.br,False,
2021-01-03 22:00:00,Brazil,North-East Brazil,BR-NE,96.89,131.03,83.15,83.15,ons.org.br,False,
2021-01-03 23:00:00,Brazil,North-East Brazil,BR-NE,100.41,135.44,82.54,82.54,ons.org.br,False,
2021-01-04 00:00:00,Brazil,North-East Brazil,BR-NE,102.04,137.46,82.25,82.25,ons.org.br,False,
2021-01-04 01:00:00,Brazil,North-East Brazil,BR-NE,104.61,140.65,81.81,81.81,ons.org.br,False,
2021-01-04 02:00:00,Brazil,North-East Brazil,BR-NE,104.84,140.85,81.77,81.77,ons.org.br,False,
2021-01-04 03:00:00,Brazil,North-East Brazil,BR-NE,111.94,148.82,80.53,80.53,ons.org.br,False,
2021-01-04 04:00:00,Brazil,North-East Brazil,BR-NE,116.73,154.22,79.7,79.7,ons.org.br,False,
2021-01-04 05:00:00,Brazil,North-East Brazil,BR-NE,113.4,150.25,80.28,80.28,ons.org.br,False,
2021-01-04 06:00:00,Brazil,North-East Brazil,BR-NE,116.1,153.58,79.81,79.81,ons.org.br,False,
2021-01-04 07:00:00,Brazil,North-East Brazil,BR-NE,116.57,154.16,79.73,79.73,ons.org.br,False,
2021-01-04 08:00:00,Brazil,North-East Brazil,BR-NE,116.78,154.52,79.69,79.69,ons.org.br,False,
2021-01-04 09:00:00,Brazil,North-East Brazil,BR-NE,124.71,164.65,78.31,78.31,ons.org.br,False,
2021-01-04 10:00:00,Brazil,North-East Brazil,BR-NE,140.69,184.1,75.53,75.53,ons.org.br,False,
2021-01-04 11:00:00,Brazil,North-East Brazil,BR-NE,172.94,223.27,69.92,69.92,ons.org.br,False,
2021-01-04 12:00:00,Brazil,North-East Brazil,BR-NE,185.54,239.15,67.73,67.73,ons.org.br,False,
2021-01-04 13:00:00,Brazil,North-East Brazil,BR-NE,185.83,239.85,67.68,67.68,ons.org.br,False,
2021-01-04 14:00:00,Brazil,North-East Brazil,BR-NE,186.84,241.28,67.51,67.51,ons.org.br,False,
2021-01-04 15:00:00,Brazil,North-East Brazil,BR-NE,184.7,238.58,67.88,67.88,ons.org.br,False,
2021-01-04 16:00:00,Brazil,North-East Brazil,BR-NE,177.1,229.17,69.2,69.2,ons.org.br,False,
2021-01-04 17:00:00,Brazil,North-East Brazil,BR-NE,169.76,219.97,70.48,70.48,ons.org.br,False,
2021-01-04 18:00:00,Brazil,North-East Brazil,BR-NE,166.41,215.62,71.06,71.06,ons.org.br,False,
2021-01-04 19:00:00,Brazil,North-East Brazil,BR-NE,162.74,210.81,71.7,71.7,ons.org.br,False,
2021-01-04 20:00:00,Brazil,North-East Brazil,BR-NE,163.29,210.42,71.6,71.6,ons.org.br,False,
2021-01-04 21:00:00,Brazil,North-East Brazil,BR-NE,168.98,216.61,70.61,70.61,ons.org.br,False,
2021-01-04 22:00:00,Brazil,North-East Brazil,BR-NE,170.17,217.8,70.41,70.41,ons.org.br,False,
2021-01-04 23:00:00,Brazil,North-East Brazil,BR-NE,170.68,218.16,70.32,70.32,ons.org.br,False,
2021-01-05 00:00:00,Brazil,North-East Brazil,BR-NE,167.63,214.45,70.85,70.85,ons.org.br,False,
2021-01-05 01:00:00,Brazil,North-East Brazil,BR-NE,164.52,210.68,71.39,71.39,ons.org.br,False,
2021-01-05 02:00:00,Brazil,North-East Brazil,BR-NE,162.38,208.1,71.76,71.76,ons.org.br,False,
2021-01-05 03:00:00,Brazil,North-East Brazil,BR-NE,148.04,191.05,74.25,74.25,ons.org.br,False,
2021-01-05 04:00:00,Brazil,North-East Brazil,BR-NE,147.43,190.38,74.36,74.36,ons.org.br,False,
2021-01-05 05:00:00,Brazil,North-East Brazil,BR-NE,147.96,191.03,74.27,74.27,ons.org.br,False,
2021-01-05 06:00:00,Brazil,North-East Brazil,BR-NE,149.87,193.25,73.94,73.94,ons.org.br,False,
2021-01-05 07:00:00,Brazil,North-East Brazil,BR-NE,151.03,194.7,73.73,73.73,ons.org.br,False,
2021-01-05 08:00:00,Brazil,North-East Brazil,BR-NE,152.01,195.94,73.56,73.56,ons.org.br,False,
2021-01-05 09:00:00,Brazil,North-East Brazil,BR-NE,161.83,208.26,71.86,71.86,ons.org.br,False,
