Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,218.25,291.69,52.84,52.84,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,231.94,309.2,49.88,49.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,225.3,300.7,51.32,51.32,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,217.97,291.33,52.9,52.9,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,221.06,295.28,52.23,52.23,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,220.15,294.12,52.43,52.43,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,246.2,327.43,46.8,46.8,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,244.18,324.85,47.24,47.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,270.36,358.32,41.58,41.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,299.71,395.85,35.24,35.24,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,327.22,431.03,29.29,29.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,339.5,446.72,26.64,26.64,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,349.89,460.01,24.39,24.39,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,343.7,452.1,25.73,25.73,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,Northern Ireland,Northern Ireland,GB-NIR,337.64,444.35,27.04,27.04,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,Northern Ireland,Northern Ireland,GB-NIR,337.32,443.94,27.11,27.11,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,Northern Ireland,Northern Ireland,GB-NIR,334.2,439.94,27.78,27.78,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,Northern Ireland,Northern Ireland,GB-NIR,327.64,431.57,29.2,29.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,Northern Ireland,Northern Ireland,GB-NIR,325.24,428.5,29.72,29.72,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,Northern Ireland,Northern Ireland,GB-NIR,328.03,432.06,29.12,29.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,Northern Ireland,Northern Ireland,GB-NIR,337.26,443.87,27.12,27.12,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,Northern Ireland,Northern Ireland,GB-NIR,338.69,445.69,26.81,26.81,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,Northern Ireland,Northern Ireland,GB-NIR,350.97,461.39,24.16,24.16,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,Northern Ireland,Northern Ireland,GB-NIR,351.12,461.58,24.13,24.13,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,326.89,430.61,29.36,29.36,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,321.98,424.32,30.42,30.42,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,307.42,405.71,33.57,33.57,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,266.65,353.58,42.38,42.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,242.37,322.53,47.63,47.63,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,253.54,336.81,45.21,45.21,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,257.0,341.24,44.47,44.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,306.03,403.93,33.87,33.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,325.43,428.73,29.68,29.68,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,342.4,450.44,26.01,26.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,335.8,442.0,27.44,27.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,337.38,444.02,27.1,27.1,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,338.51,445.46,26.85,26.85,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,338.1,444.94,26.94,26.94,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 14:00:00,Northern Ireland,Northern Ireland,GB-NIR,337.77,444.52,27.01,27.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 15:00:00,Northern Ireland,Northern Ireland,GB-NIR,323.09,425.74,30.19,30.19,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 16:00:00,Northern Ireland,Northern Ireland,GB-NIR,319.57,421.25,30.94,30.94,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 17:00:00,Northern Ireland,Northern Ireland,GB-NIR,325.37,428.66,29.69,29.69,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 18:00:00,Northern Ireland,Northern Ireland,GB-NIR,326.56,430.18,29.44,29.44,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 19:00:00,Northern Ireland,Northern Ireland,GB-NIR,333.17,438.64,28.01,28.01,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 20:00:00,Northern Ireland,Northern Ireland,GB-NIR,335.68,441.84,27.46,27.46,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 21:00:00,Northern Ireland,Northern Ireland,GB-NIR,326.2,429.72,29.51,29.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 22:00:00,Northern Ireland,Northern Ireland,GB-NIR,338.66,445.66,26.82,26.82,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-02 23:00:00,Northern Ireland,Northern Ireland,GB-NIR,345.31,454.15,25.38,25.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,346.62,455.83,25.1,25.1,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,352.27,463.05,23.88,23.88,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,351.99,462.7,23.94,23.94,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,358.65,471.21,22.5,22.5,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,333.79,439.43,27.87,27.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,314.5,414.76,32.04,32.04,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,311.8,411.31,32.62,32.62,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,305.95,403.82,33.89,33.89,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,330.83,435.64,28.51,28.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,350.79,461.17,24.2,24.2,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,349.79,459.89,24.41,24.41,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,345.72,454.68,25.3,25.3,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,347.5,456.95,24.91,24.91,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,349.15,459.07,24.55,24.55,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 14:00:00,Northern Ireland,Northern Ireland,GB-NIR,344.73,453.41,25.51,25.51,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 15:00:00,Northern Ireland,Northern Ireland,GB-NIR,327.21,431.01,29.29,29.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 16:00:00,Northern Ireland,Northern Ireland,GB-NIR,341.11,448.78,26.29,26.29,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 17:00:00,Northern Ireland,Northern Ireland,GB-NIR,344.32,452.89,25.6,25.6,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 18:00:00,Northern Ireland,Northern Ireland,GB-NIR,322.79,425.36,30.25,30.25,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 19:00:00,Northern Ireland,Northern Ireland,GB-NIR,304.12,401.49,34.28,34.28,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 20:00:00,Northern Ireland,Northern Ireland,GB-NIR,304.65,402.16,34.17,34.17,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 21:00:00,Northern Ireland,Northern Ireland,GB-NIR,293.97,388.5,36.48,36.48,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 22:00:00,Northern Ireland,Northern Ireland,GB-NIR,254.36,337.86,45.04,45.04,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-03 23:00:00,Northern Ireland,Northern Ireland,GB-NIR,219.34,293.08,52.6,52.6,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,282.36,373.67,38.99,38.99,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,307.87,406.28,33.47,33.47,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,307.22,405.46,33.61,33.61,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,259.53,344.48,43.92,43.92,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,211.68,283.29,54.26,54.26,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,261.12,346.51,43.57,43.57,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,274.98,364.23,40.58,40.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,278.06,368.17,39.91,39.91,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,292.85,387.07,36.72,36.72,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,294.41,389.07,36.38,36.38,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,297.79,393.39,35.65,35.65,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,295.82,390.88,36.08,36.08,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,305.77,403.6,33.93,33.93,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,315.77,416.38,31.77,31.77,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 14:00:00,Northern Ireland,Northern Ireland,GB-NIR,316.62,417.47,31.58,31.58,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 15:00:00,Northern Ireland,Northern Ireland,GB-NIR,311.9,411.44,32.6,32.6,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 16:00:00,Northern Ireland,Northern Ireland,GB-NIR,310.65,409.84,32.87,32.87,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 17:00:00,Northern Ireland,Northern Ireland,GB-NIR,330.2,434.83,28.65,28.65,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
2021-01-04 18:00:00,Northern Ireland,Northern Ireland,GB-NIR,317.34,418.39,31.43,31.43,Electricity Maps Estimation,True,ESTIMATED_MODE_BREAKDOWN
