Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Nicaragua,Nicaragua,NI,73.29,176.36,82.06,82.06,cndc.org.ni,False,
2021-01-01 01:00:00,Nicaragua,Nicaragua,NI,98.84,216.47,75.76,75.76,cndc.org.ni,False,
2021-01-01 02:00:00,Nicaragua,Nicaragua,NI,96.22,212.18,76.41,76.41,cndc.org.ni,False,
2021-01-01 03:00:00,Nicaragua,Nicaragua,NI,81.3,193.27,80.09,80.09,cndc.org.ni,False,
2021-01-01 04:00:00,Nicaragua,Nicaragua,NI,53.73,151.87,86.9,86.9,cndc.org.ni,False,
2021-01-01 05:00:00,Nicaragua,Nicaragua,NI,68.55,173.62,83.23,83.23,cndc.org.ni,False,
2021-01-01 06:00:00,Nicaragua,Nicaragua,NI,44.68,140.59,89.11,89.11,cndc.org.ni,False,
2021-01-01 07:00:00,Nicaragua,Nicaragua,NI,64.24,174.86,84.29,84.29,cndc.org.ni,False,
2021-01-01 08:00:00,Nicaragua,Nicaragua,NI,58.94,170.14,85.67,85.67,cndc.org.ni,False,
2021-01-01 09:00:00,Nicaragua,Nicaragua,NI,26.48,122.78,93.58,93.58,cndc.org.ni,False,
2021-01-01 10:00:00,Nicaragua,Nicaragua,NI,29.54,117.54,93.02,93.02,cndc.org.ni,False,
2021-01-01 11:00:00,Nicaragua,Nicaragua,NI,26.68,111.39,93.48,93.48,cndc.org.ni,False,
2021-01-01 12:00:00,Nicaragua,Nicaragua,NI,38.17,111.85,91.49,91.49,cndc.org.ni,False,
2021-01-01 13:00:00,Nicaragua,Nicaragua,NI,56.56,123.57,88.28,88.28,cndc.org.ni,False,
2021-01-01 14:00:00,Nicaragua,Nicaragua,NI,47.17,118.49,89.89,89.89,cndc.org.ni,False,
2021-01-01 15:00:00,Nicaragua,Nicaragua,NI,31.56,110.22,92.65,92.65,cndc.org.ni,False,
2021-01-01 16:00:00,Nicaragua,Nicaragua,NI,28.18,106.65,93.24,93.24,cndc.org.ni,False,
2021-01-01 17:00:00,Nicaragua,Nicaragua,NI,29.96,103.42,93.0,93.0,cndc.org.ni,False,
2021-01-01 18:00:00,Nicaragua,Nicaragua,NI,28.0,113.83,93.37,93.37,cndc.org.ni,False,
2021-01-01 19:00:00,Nicaragua,Nicaragua,NI,24.1,104.45,94.13,94.13,cndc.org.ni,False,
2021-01-01 20:00:00,Nicaragua,Nicaragua,NI,29.39,108.36,93.17,93.17,cndc.org.ni,False,
2021-01-01 21:00:00,Nicaragua,Nicaragua,NI,28.51,109.74,93.28,93.28,cndc.org.ni,False,
2021-01-01 22:00:00,Nicaragua,Nicaragua,NI,34.28,117.31,92.25,92.25,cndc.org.ni,False,
2021-01-01 23:00:00,Nicaragua,Nicaragua,NI,24.69,109.69,94.03,94.03,cndc.org.ni,False,
2021-01-02 00:00:00,Nicaragua,Nicaragua,NI,37.57,121.34,90.87,90.87,cndc.org.ni,False,
2021-01-02 01:00:00,Nicaragua,Nicaragua,NI,68.65,164.66,83.2,83.2,cndc.org.ni,False,
2021-01-02 02:00:00,Nicaragua,Nicaragua,NI,39.24,124.1,90.45,90.45,cndc.org.ni,False,
2021-01-02 03:00:00,Nicaragua,Nicaragua,NI,21.16,98.46,94.92,94.92,cndc.org.ni,False,
2021-01-02 04:00:00,Nicaragua,Nicaragua,NI,23.85,108.95,94.24,94.24,cndc.org.ni,False,
2021-01-02 05:00:00,Nicaragua,Nicaragua,NI,24.24,107.54,94.16,94.16,cndc.org.ni,False,
2021-01-02 06:00:00,Nicaragua,Nicaragua,NI,24.28,108.96,94.05,94.05,cndc.org.ni,False,
