Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Norway,North Norway,NO-NO4,3.18,26.35,99.45,99.45,entsoe.eu,False,
2021-01-01 01:00:00,Norway,North Norway,NO-NO4,2.94,26.09,99.49,99.49,entsoe.eu,False,
2021-01-01 02:00:00,Norway,North Norway,NO-NO4,3.08,26.2,99.46,99.46,entsoe.eu,False,
2021-01-01 03:00:00,Norway,North Norway,NO-NO4,2.65,25.65,99.54,99.54,entsoe.eu,False,
2021-01-01 04:00:00,Norway,North Norway,NO-NO4,3.36,26.52,99.42,99.42,entsoe.eu,False,
2021-01-01 05:00:00,Norway,North Norway,NO-NO4,3.07,26.31,99.47,99.47,entsoe.eu,False,
2021-01-01 06:00:00,Norway,North Norway,NO-NO4,2.87,26.04,99.5,99.5,entsoe.eu,False,
2021-01-01 07:00:00,Norway,North Norway,NO-NO4,2.98,26.19,99.48,99.48,entsoe.eu,False,
2021-01-01 08:00:00,Norway,North Norway,NO-NO4,2.95,26.22,99.49,99.49,entsoe.eu,False,
2021-01-01 09:00:00,Norway,North Norway,NO-NO4,3.19,26.74,99.44,99.44,entsoe.eu,False,
2021-01-01 10:00:00,Norway,North Norway,NO-NO4,2.97,26.77,99.48,99.48,entsoe.eu,False,
2021-01-01 11:00:00,Norway,North Norway,NO-NO4,2.86,26.78,99.5,99.5,entsoe.eu,False,
2021-01-01 12:00:00,Norway,North Norway,NO-NO4,3.0,27.02,99.48,99.48,entsoe.eu,False,
2021-01-01 13:00:00,Norway,North Norway,NO-NO4,2.87,26.96,99.5,99.5,entsoe.eu,False,
2021-01-01 14:00:00,Norway,North Norway,NO-NO4,3.02,27.16,99.47,99.47,entsoe.eu,False,
2021-01-01 15:00:00,Norway,North Norway,NO-NO4,3.15,27.23,99.45,99.45,entsoe.eu,False,
2021-01-01 16:00:00,Norway,North Norway,NO-NO4,1.78,25.62,99.69,99.69,entsoe.eu,False,
2021-01-01 17:00:00,Norway,North Norway,NO-NO4,1.93,25.81,99.67,99.67,entsoe.eu,False,
