Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Australia,Northern Territory,AU-NT,370.07,490.71,0.54,0.54,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Australia,Northern Territory,AU-NT,370.15,490.83,0.57,0.57,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Australia,Northern Territory,AU-NT,370.2,490.92,0.61,0.61,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Australia,Northern Territory,AU-NT,370.15,490.87,0.6,0.6,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Australia,Northern Territory,AU-NT,370.04,490.73,0.58,0.58,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Australia,Northern Territory,AU-NT,369.88,490.53,0.55,0.55,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Australia,Northern Territory,AU-NT,369.71,490.31,0.52,0.52,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Australia,Northern Territory,AU-NT,369.46,490.03,0.48,0.48,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Australia,Northern Territory,AU-NT,368.84,489.37,0.47,0.47,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Australia,Northern Territory,AU-NT,368.28,488.8,0.47,0.47,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Australia,Northern Territory,AU-NT,368.19,488.73,0.49,0.49,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Australia,Northern Territory,AU-NT,368.06,488.63,0.53,0.53,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Australia,Northern Territory,AU-NT,367.88,488.51,0.57,0.57,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Australia,Northern Territory,AU-NT,367.69,488.38,0.62,0.62,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,Australia,Northern Territory,AU-NT,367.51,488.25,0.67,0.67,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,Australia,Northern Territory,AU-NT,367.38,488.16,0.71,0.71,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,Australia,Northern Territory,AU-NT,367.29,488.09,0.73,0.73,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,Australia,Northern Territory,AU-NT,367.22,488.05,0.75,0.75,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,Australia,Northern Territory,AU-NT,367.19,488.02,0.76,0.76,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,Australia,Northern Territory,AU-NT,367.25,488.06,0.74,0.74,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,Australia,Northern Territory,AU-NT,367.47,488.22,0.69,0.69,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,Australia,Northern Territory,AU-NT,368.35,489.0,0.59,0.59,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,Australia,Northern Territory,AU-NT,369.55,490.16,0.52,0.52,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,Australia,Northern Territory,AU-NT,369.87,490.47,0.51,0.51,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,Australia,Northern Territory,AU-NT,370.07,490.71,0.54,0.54,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,Australia,Northern Territory,AU-NT,370.15,490.83,0.57,0.57,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
