Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,New Zealand,New Zealand,NZ,60.29,95.5,88.1,88.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,New Zealand,New Zealand,NZ,60.17,95.34,88.14,88.14,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,New Zealand,New Zealand,NZ,60.27,95.4,88.14,88.14,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,New Zealand,New Zealand,NZ,60.93,96.09,88.03,88.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,New Zealand,New Zealand,NZ,62.7,98.08,87.67,87.67,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,New Zealand,New Zealand,NZ,65.63,101.56,86.98,86.98,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,New Zealand,New Zealand,NZ,67.39,103.56,86.64,86.64,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,New Zealand,New Zealand,NZ,66.74,102.86,86.78,86.78,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,New Zealand,New Zealand,NZ,65.06,101.0,87.13,87.13,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,New Zealand,New Zealand,NZ,64.82,100.96,87.15,87.15,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,New Zealand,New Zealand,NZ,59.6,95.18,88.19,88.19,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,New Zealand,New Zealand,NZ,55.92,91.18,88.92,88.92,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,New Zealand,New Zealand,NZ,52.53,87.68,89.48,89.48,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,New Zealand,New Zealand,NZ,49.18,84.38,89.97,89.97,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,New Zealand,New Zealand,NZ,52.44,87.9,89.5,89.5,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,New Zealand,New Zealand,NZ,52.29,87.52,89.63,89.63,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,New Zealand,New Zealand,NZ,52.72,87.64,89.66,89.66,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,New Zealand,New Zealand,NZ,55.48,90.38,89.16,89.16,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,New Zealand,New Zealand,NZ,60.3,95.66,88.12,88.12,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,New Zealand,New Zealand,NZ,63.08,98.8,87.49,87.49,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,New Zealand,New Zealand,NZ,63.28,99.04,87.4,87.4,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,New Zealand,New Zealand,NZ,62.09,97.67,87.64,87.64,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,New Zealand,New Zealand,NZ,61.47,96.89,87.81,87.81,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,New Zealand,New Zealand,NZ,60.85,96.15,87.97,87.97,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,New Zealand,New Zealand,NZ,60.29,95.5,88.1,88.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,New Zealand,New Zealand,NZ,60.17,95.34,88.14,88.14,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 02:00:00,New Zealand,New Zealand,NZ,60.27,95.4,88.14,88.14,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,New Zealand,New Zealand,NZ,60.93,96.09,88.03,88.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,New Zealand,New Zealand,NZ,62.7,98.08,87.67,87.67,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,New Zealand,New Zealand,NZ,65.63,101.56,86.98,86.98,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,New Zealand,New Zealand,NZ,67.39,103.56,86.64,86.64,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 07:00:00,New Zealand,New Zealand,NZ,66.74,102.86,86.78,86.78,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 08:00:00,New Zealand,New Zealand,NZ,65.06,101.0,87.13,87.13,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 09:00:00,New Zealand,New Zealand,NZ,64.82,100.96,87.15,87.15,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 10:00:00,New Zealand,New Zealand,NZ,59.6,95.18,88.19,88.19,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 11:00:00,New Zealand,New Zealand,NZ,55.92,91.18,88.92,88.92,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 12:00:00,New Zealand,New Zealand,NZ,52.53,87.68,89.48,89.48,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 13:00:00,New Zealand,New Zealand,NZ,49.18,84.38,89.97,89.97,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 14:00:00,New Zealand,New Zealand,NZ,52.44,87.9,89.5,89.5,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 15:00:00,New Zealand,New Zealand,NZ,52.29,87.52,89.63,89.63,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 16:00:00,New Zealand,New Zealand,NZ,52.72,87.64,89.66,89.66,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 17:00:00,New Zealand,New Zealand,NZ,55.48,90.38,89.16,89.16,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 18:00:00,New Zealand,New Zealand,NZ,60.3,95.66,88.12,88.12,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 19:00:00,New Zealand,New Zealand,NZ,63.08,98.8,87.49,87.49,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 20:00:00,New Zealand,New Zealand,NZ,63.28,99.04,87.4,87.4,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 21:00:00,New Zealand,New Zealand,NZ,62.09,97.67,87.64,87.64,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 22:00:00,New Zealand,New Zealand,NZ,61.47,96.89,87.81,87.81,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 23:00:00,New Zealand,New Zealand,NZ,60.85,96.15,87.97,87.97,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 00:00:00,New Zealand,New Zealand,NZ,60.29,95.5,88.1,88.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 01:00:00,New Zealand,New Zealand,NZ,60.17,95.34,88.14,88.14,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 02:00:00,New Zealand,New Zealand,NZ,60.27,95.4,88.14,88.14,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 03:00:00,New Zealand,New Zealand,NZ,60.93,96.09,88.03,88.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 04:00:00,New Zealand,New Zealand,NZ,62.7,98.08,87.67,87.67,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 05:00:00,New Zealand,New Zealand,NZ,65.63,101.56,86.98,86.98,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 06:00:00,New Zealand,New Zealand,NZ,67.39,103.56,86.64,86.64,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 07:00:00,New Zealand,New Zealand,NZ,66.74,102.86,86.78,86.78,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 08:00:00,New Zealand,New Zealand,NZ,65.06,101.0,87.13,87.13,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 09:00:00,New Zealand,New Zealand,NZ,64.82,100.96,87.15,87.15,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
