Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Brazil,North Brazil,BR-N,169.51,220.97,70.52,70.52,ons.org.br,False,
2021-01-01 01:00:00,Brazil,North Brazil,BR-N,168.96,220.21,70.62,70.62,ons.org.br,False,
2021-01-01 02:00:00,Brazil,North Brazil,BR-N,172.2,224.01,70.05,70.05,ons.org.br,False,
2021-01-01 03:00:00,Brazil,North Brazil,BR-N,172.07,223.88,70.07,70.07,ons.org.br,False,
2021-01-01 04:00:00,Brazil,North Brazil,BR-N,174.66,226.99,69.62,69.62,ons.org.br,False,
2021-01-01 05:00:00,Brazil,North Brazil,BR-N,175.52,228.13,69.47,69.47,ons.org.br,False,
2021-01-01 06:00:00,Brazil,North Brazil,BR-N,175.87,228.59,69.41,69.41,ons.org.br,False,
2021-01-01 07:00:00,Brazil,North Brazil,BR-N,179.65,233.26,68.76,68.76,ons.org.br,False,
2021-01-01 08:00:00,Brazil,North Brazil,BR-N,179.55,233.22,68.77,68.77,ons.org.br,False,
2021-01-01 09:00:00,Brazil,North Brazil,BR-N,194.22,250.55,66.22,66.22,ons.org.br,False,
2021-01-01 10:00:00,Brazil,North Brazil,BR-N,200.22,257.68,65.18,65.18,ons.org.br,False,
2021-01-01 11:00:00,Brazil,North Brazil,BR-N,200.65,258.32,65.1,65.1,ons.org.br,False,
2021-01-01 12:00:00,Brazil,North Brazil,BR-N,197.88,255.29,65.59,65.59,ons.org.br,False,
2021-01-01 13:00:00,Brazil,North Brazil,BR-N,186.75,242.52,67.52,67.52,ons.org.br,False,
2021-01-01 14:00:00,Brazil,North Brazil,BR-N,187.01,243.05,67.48,67.48,ons.org.br,False,
2021-01-01 15:00:00,Brazil,North Brazil,BR-N,186.69,242.65,67.53,67.53,ons.org.br,False,
2021-01-01 16:00:00,Brazil,North Brazil,BR-N,183.12,238.31,68.15,68.15,ons.org.br,False,
2021-01-01 17:00:00,Brazil,North Brazil,BR-N,182.01,236.9,68.35,68.35,ons.org.br,False,
2021-01-01 18:00:00,Brazil,North Brazil,BR-N,180.39,234.88,68.63,68.63,ons.org.br,False,
2021-01-01 19:00:00,Brazil,North Brazil,BR-N,173.72,226.84,69.79,69.79,ons.org.br,False,
2021-01-01 20:00:00,Brazil,North Brazil,BR-N,170.25,222.58,70.39,70.38,ons.org.br,False,
2021-01-01 21:00:00,Brazil,North Brazil,BR-N,165.01,216.49,71.3,71.3,ons.org.br,False,
2021-01-01 22:00:00,Brazil,North Brazil,BR-N,158.51,208.69,72.43,72.43,ons.org.br,False,
2021-01-01 23:00:00,Brazil,North Brazil,BR-N,152.96,202.14,73.4,73.4,ons.org.br,False,
2021-01-02 00:00:00,Brazil,North Brazil,BR-N,155.4,204.94,72.97,72.97,ons.org.br,False,
2021-01-02 01:00:00,Brazil,North Brazil,BR-N,156.79,206.58,72.73,72.73,ons.org.br,False,
2021-01-02 02:00:00,Brazil,North Brazil,BR-N,165.16,216.3,71.28,71.28,ons.org.br,False,
2021-01-02 03:00:00,Brazil,North Brazil,BR-N,180.36,234.1,68.63,68.63,ons.org.br,False,
2021-01-02 04:00:00,Brazil,North Brazil,BR-N,178.01,231.41,69.04,69.04,ons.org.br,False,
2021-01-02 05:00:00,Brazil,North Brazil,BR-N,177.87,231.3,69.07,69.07,ons.org.br,False,
2021-01-02 06:00:00,Brazil,North Brazil,BR-N,178.33,231.88,68.99,68.99,ons.org.br,False,
2021-01-02 07:00:00,Brazil,North Brazil,BR-N,182.95,237.59,68.18,68.18,ons.org.br,False,
2021-01-02 08:00:00,Brazil,North Brazil,BR-N,187.23,242.58,67.44,67.44,ons.org.br,False,
2021-01-02 09:00:00,Brazil,North Brazil,BR-N,199.02,256.77,65.39,65.39,ons.org.br,False,
2021-01-02 10:00:00,Brazil,North Brazil,BR-N,194.5,251.61,66.17,66.17,ons.org.br,False,
2021-01-02 11:00:00,Brazil,North Brazil,BR-N,187.71,243.76,67.36,67.36,ons.org.br,False,
2021-01-02 12:00:00,Brazil,North Brazil,BR-N,178.29,233.05,68.99,68.99,ons.org.br,False,
2021-01-02 13:00:00,Brazil,North Brazil,BR-N,175.39,229.5,69.5,69.5,ons.org.br,False,
2021-01-02 14:00:00,Brazil,North Brazil,BR-N,172.84,226.56,69.94,69.94,ons.org.br,False,
2021-01-02 15:00:00,Brazil,North Brazil,BR-N,168.34,221.29,70.72,70.72,ons.org.br,False,
2021-01-02 16:00:00,Brazil,North Brazil,BR-N,161.83,213.52,71.86,71.86,ons.org.br,False,
2021-01-02 17:00:00,Brazil,North Brazil,BR-N,163.97,215.9,71.48,71.48,ons.org.br,False,
2021-01-02 18:00:00,Brazil,North Brazil,BR-N,161.41,212.79,71.93,71.93,ons.org.br,False,
2021-01-02 19:00:00,Brazil,North Brazil,BR-N,158.6,209.24,72.42,72.42,ons.org.br,False,
2021-01-02 20:00:00,Brazil,North Brazil,BR-N,158.77,209.12,72.39,72.39,ons.org.br,False,
2021-01-02 21:00:00,Brazil,North Brazil,BR-N,163.76,215.18,71.52,71.52,ons.org.br,False,
2021-01-02 22:00:00,Brazil,North Brazil,BR-N,160.22,211.04,72.13,72.13,ons.org.br,False,
2021-01-02 23:00:00,Brazil,North Brazil,BR-N,159.22,209.78,72.31,72.31,ons.org.br,False,
2021-01-03 00:00:00,Brazil,North Brazil,BR-N,160.28,211.06,72.13,72.13,ons.org.br,False,
2021-01-03 01:00:00,Brazil,North Brazil,BR-N,162.79,214.14,71.69,71.69,ons.org.br,False,
2021-01-03 02:00:00,Brazil,North Brazil,BR-N,166.63,218.51,71.02,71.02,ons.org.br,False,
2021-01-03 03:00:00,Brazil,North Brazil,BR-N,173.68,226.58,69.79,69.79,ons.org.br,False,
2021-01-03 04:00:00,Brazil,North Brazil,BR-N,178.84,232.56,68.9,68.9,ons.org.br,False,
2021-01-03 05:00:00,Brazil,North Brazil,BR-N,186.52,241.61,67.56,67.56,ons.org.br,False,
2021-01-03 06:00:00,Brazil,North Brazil,BR-N,195.12,251.96,66.07,66.07,ons.org.br,False,
2021-01-03 07:00:00,Brazil,North Brazil,BR-N,198.9,256.71,65.41,65.41,ons.org.br,False,
2021-01-03 08:00:00,Brazil,North Brazil,BR-N,200.99,259.11,65.05,65.05,ons.org.br,False,
2021-01-03 09:00:00,Brazil,North Brazil,BR-N,216.21,276.65,62.4,62.4,ons.org.br,False,
2021-01-03 10:00:00,Brazil,North Brazil,BR-N,210.94,270.44,63.31,63.31,ons.org.br,False,
2021-01-03 11:00:00,Brazil,North Brazil,BR-N,193.21,249.77,66.4,66.4,ons.org.br,False,
2021-01-03 12:00:00,Brazil,North Brazil,BR-N,186.77,242.37,67.52,67.52,ons.org.br,False,
2021-01-03 13:00:00,Brazil,North Brazil,BR-N,185.67,241.14,67.71,67.71,ons.org.br,False,
2021-01-03 14:00:00,Brazil,North Brazil,BR-N,182.4,237.43,68.28,68.28,ons.org.br,False,
2021-01-03 15:00:00,Brazil,North Brazil,BR-N,175.73,229.66,69.44,69.44,ons.org.br,False,
2021-01-03 16:00:00,Brazil,North Brazil,BR-N,167.88,220.38,70.8,70.8,ons.org.br,False,
2021-01-03 17:00:00,Brazil,North Brazil,BR-N,163.47,215.22,71.57,71.57,ons.org.br,False,
2021-01-03 18:00:00,Brazil,North Brazil,BR-N,163.87,215.52,71.5,71.5,ons.org.br,False,
2021-01-03 19:00:00,Brazil,North Brazil,BR-N,163.47,214.9,71.57,71.57,ons.org.br,False,
2021-01-03 20:00:00,Brazil,North Brazil,BR-N,161.96,213.08,71.83,71.83,ons.org.br,False,
2021-01-03 21:00:00,Brazil,North Brazil,BR-N,160.25,211.33,72.13,72.13,ons.org.br,False,
2021-01-03 22:00:00,Brazil,North Brazil,BR-N,154.51,204.42,73.13,73.13,ons.org.br,False,
2021-01-03 23:00:00,Brazil,North Brazil,BR-N,158.16,208.75,72.49,72.49,ons.org.br,False,
