Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Panama,Panama,PA,185.47,234.11,69.21,69.21,https://www.cnd.com.pa/,False,
2021-01-01 01:00:00,Panama,Panama,PA,187.43,236.53,68.82,68.82,https://www.cnd.com.pa/,False,
2021-01-01 02:00:00,Panama,Panama,PA,188.46,237.68,68.66,68.66,https://www.cnd.com.pa/,False,
2021-01-01 03:00:00,Panama,Panama,PA,191.53,241.33,68.11,68.11,https://www.cnd.com.pa/,False,
2021-01-01 04:00:00,Panama,Panama,PA,201.4,252.52,66.49,66.49,https://www.cnd.com.pa/,False,
2021-01-01 05:00:00,Panama,Panama,PA,204.55,254.88,66.24,66.24,https://www.cnd.com.pa/,False,
2021-01-01 06:00:00,Panama,Panama,PA,200.27,246.61,67.6,67.6,https://www.cnd.com.pa/,False,
2021-01-01 07:00:00,Panama,Panama,PA,202.11,248.87,67.21,67.21,https://www.cnd.com.pa/,False,
2021-01-01 08:00:00,Panama,Panama,PA,207.27,254.72,66.3,66.3,https://www.cnd.com.pa/,False,
2021-01-01 09:00:00,Panama,Panama,PA,211.19,258.81,65.75,65.75,https://www.cnd.com.pa/,False,
2021-01-01 10:00:00,Panama,Panama,PA,209.04,253.72,66.65,66.65,https://www.cnd.com.pa/,False,
2021-01-01 11:00:00,Panama,Panama,PA,206.54,248.6,67.42,67.42,https://www.cnd.com.pa/,False,
2021-01-01 12:00:00,Panama,Panama,PA,209.83,252.0,67.15,67.15,https://www.cnd.com.pa/,False,
2021-01-01 13:00:00,Panama,Panama,PA,176.76,215.0,75.34,75.34,https://www.cnd.com.pa/,False,
2021-01-01 14:00:00,Panama,Panama,PA,172.06,208.91,76.6,76.6,https://www.cnd.com.pa/,False,
2021-01-01 15:00:00,Panama,Panama,PA,163.36,197.44,78.35,78.35,https://www.cnd.com.pa/,False,
2021-01-01 16:00:00,Panama,Panama,PA,156.09,189.19,79.45,79.45,https://www.cnd.com.pa/,False,
2021-01-01 17:00:00,Panama,Panama,PA,154.76,189.01,79.31,79.31,https://www.cnd.com.pa/,False,
2021-01-01 18:00:00,Panama,Panama,PA,165.38,204.82,76.8,76.8,https://www.cnd.com.pa/,False,
2021-01-01 19:00:00,Panama,Panama,PA,163.58,201.64,77.25,77.25,https://www.cnd.com.pa/,False,
2021-01-01 20:00:00,Panama,Panama,PA,160.36,195.81,78.19,78.19,https://www.cnd.com.pa/,False,
2021-01-01 21:00:00,Panama,Panama,PA,164.1,199.6,77.65,77.65,https://www.cnd.com.pa/,False,
2021-01-01 22:00:00,Panama,Panama,PA,170.46,208.19,76.18,76.18,https://www.cnd.com.pa/,False,
2021-01-01 23:00:00,Panama,Panama,PA,173.09,214.41,74.89,74.89,https://www.cnd.com.pa/,False,
2021-01-02 00:00:00,Panama,Panama,PA,165.59,207.35,75.69,75.69,https://www.cnd.com.pa/,False,
2021-01-02 01:00:00,Panama,Panama,PA,163.41,205.22,76.0,76.0,https://www.cnd.com.pa/,False,
2021-01-02 02:00:00,Panama,Panama,PA,166.61,208.86,75.53,75.53,https://www.cnd.com.pa/,False,
2021-01-02 03:00:00,Panama,Panama,PA,168.19,210.63,75.32,75.32,https://www.cnd.com.pa/,False,
2021-01-02 04:00:00,Panama,Panama,PA,170.42,213.25,74.98,74.98,https://www.cnd.com.pa/,False,
2021-01-02 05:00:00,Panama,Panama,PA,172.86,215.94,74.63,74.63,https://www.cnd.com.pa/,False,
2021-01-02 06:00:00,Panama,Panama,PA,176.77,220.46,74.02,74.02,https://www.cnd.com.pa/,False,
2021-01-02 07:00:00,Panama,Panama,PA,182.85,227.45,73.08,73.08,https://www.cnd.com.pa/,False,
2021-01-02 08:00:00,Panama,Panama,PA,185.45,230.6,72.67,72.67,https://www.cnd.com.pa/,False,
2021-01-02 09:00:00,Panama,Panama,PA,191.51,237.32,71.8,71.8,https://www.cnd.com.pa/,False,
2021-01-02 10:00:00,Panama,Panama,PA,189.85,233.69,72.46,72.46,https://www.cnd.com.pa/,False,
2021-01-02 11:00:00,Panama,Panama,PA,180.56,219.71,74.64,74.64,https://www.cnd.com.pa/,False,
2021-01-02 12:00:00,Panama,Panama,PA,183.15,222.57,74.3,74.3,https://www.cnd.com.pa/,False,
2021-01-02 13:00:00,Panama,Panama,PA,191.35,237.08,72.09,72.09,https://www.cnd.com.pa/,False,
2021-01-02 14:00:00,Panama,Panama,PA,189.83,234.04,72.26,72.26,https://www.cnd.com.pa/,False,
2021-01-02 15:00:00,Panama,Panama,PA,174.94,211.06,75.66,75.66,https://www.cnd.com.pa/,False,
2021-01-02 16:00:00,Panama,Panama,PA,183.54,220.34,74.16,74.16,https://www.cnd.com.pa/,False,
2021-01-02 17:00:00,Panama,Panama,PA,179.96,216.46,74.56,74.56,https://www.cnd.com.pa/,False,
2021-01-02 18:00:00,Panama,Panama,PA,175.35,211.3,75.57,75.57,https://www.cnd.com.pa/,False,
2021-01-02 19:00:00,Panama,Panama,PA,166.48,200.12,77.49,77.49,https://www.cnd.com.pa/,False,
2021-01-02 20:00:00,Panama,Panama,PA,181.97,219.67,73.22,73.22,https://www.cnd.com.pa/,False,
2021-01-02 21:00:00,Panama,Panama,PA,181.28,218.77,73.31,73.31,https://www.cnd.com.pa/,False,
2021-01-02 22:00:00,Panama,Panama,PA,193.48,234.34,70.83,70.83,https://www.cnd.com.pa/,False,
2021-01-02 23:00:00,Panama,Panama,PA,188.44,231.27,70.96,70.96,https://www.cnd.com.pa/,False,
2021-01-03 00:00:00,Panama,Panama,PA,194.58,244.23,68.37,68.37,https://www.cnd.com.pa/,False,
2021-01-03 01:00:00,Panama,Panama,PA,229.08,289.24,59.36,59.36,https://www.cnd.com.pa/,False,
2021-01-03 02:00:00,Panama,Panama,PA,236.73,298.56,57.6,57.6,https://www.cnd.com.pa/,False,
2021-01-03 03:00:00,Panama,Panama,PA,233.99,293.01,58.53,58.53,https://www.cnd.com.pa/,False,
2021-01-03 04:00:00,Panama,Panama,PA,227.75,282.81,61.2,61.2,https://www.cnd.com.pa/,False,
