Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Peru,Peru,PE,130.62,189.07,64.86,64.86,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Peru,Peru,PE,130.57,189.02,64.87,64.87,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Peru,Peru,PE,131.5,190.21,64.61,64.61,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Peru,Peru,PE,132.75,191.83,64.27,64.27,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Peru,Peru,PE,134.28,193.81,63.87,63.87,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Peru,Peru,PE,133.42,192.75,64.1,64.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Peru,Peru,PE,136.49,196.64,63.28,63.28,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Peru,Peru,PE,138.04,198.61,62.86,62.86,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Peru,Peru,PE,138.96,199.78,62.62,62.62,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Peru,Peru,PE,138.93,199.75,62.63,62.63,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Peru,Peru,PE,138.22,198.85,62.82,62.82,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Peru,Peru,PE,137.53,198.12,63.01,63.01,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Peru,Peru,PE,134.67,194.89,63.78,63.78,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Peru,Peru,PE,131.55,191.14,64.61,64.61,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,Peru,Peru,PE,130.11,189.36,64.99,64.99,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,Peru,Peru,PE,129.5,188.6,65.15,65.15,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,Peru,Peru,PE,129.03,187.94,65.28,65.28,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,Peru,Peru,PE,128.91,187.74,65.31,65.31,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,Peru,Peru,PE,129.3,188.18,65.2,65.2,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,Peru,Peru,PE,129.32,188.1,65.2,65.2,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,Peru,Peru,PE,129.69,188.47,65.1,65.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,Peru,Peru,PE,131.15,190.14,64.71,64.71,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,Peru,Peru,PE,133.07,192.28,64.21,64.21,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,Peru,Peru,PE,131.62,190.4,64.6,64.6,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,Peru,Peru,PE,130.62,189.07,64.86,64.86,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,Peru,Peru,PE,130.57,189.02,64.87,64.87,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 02:00:00,Peru,Peru,PE,131.5,190.21,64.61,64.61,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,Peru,Peru,PE,132.75,191.83,64.27,64.27,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,Peru,Peru,PE,134.28,193.81,63.87,63.87,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,Peru,Peru,PE,133.42,192.75,64.1,64.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,Peru,Peru,PE,136.49,196.64,63.28,63.28,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 07:00:00,Peru,Peru,PE,138.04,198.61,62.86,62.86,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 08:00:00,Peru,Peru,PE,138.96,199.78,62.62,62.62,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 09:00:00,Peru,Peru,PE,138.93,199.75,62.63,62.63,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 10:00:00,Peru,Peru,PE,138.22,198.85,62.82,62.82,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 11:00:00,Peru,Peru,PE,137.53,198.12,63.01,63.01,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 12:00:00,Peru,Peru,PE,134.67,194.89,63.78,63.78,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 13:00:00,Peru,Peru,PE,131.55,191.14,64.61,64.61,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 14:00:00,Peru,Peru,PE,130.11,189.36,64.99,64.99,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 15:00:00,Peru,Peru,PE,129.5,188.6,65.15,65.15,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 16:00:00,Peru,Peru,PE,129.03,187.94,65.28,65.28,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 17:00:00,Peru,Peru,PE,128.91,187.74,65.31,65.31,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 18:00:00,Peru,Peru,PE,129.3,188.18,65.2,65.2,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 19:00:00,Peru,Peru,PE,129.32,188.1,65.2,65.2,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 20:00:00,Peru,Peru,PE,129.69,188.47,65.1,65.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 21:00:00,Peru,Peru,PE,131.15,190.14,64.71,64.71,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 22:00:00,Peru,Peru,PE,133.07,192.28,64.21,64.21,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 23:00:00,Peru,Peru,PE,131.62,190.4,64.6,64.6,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 00:00:00,Peru,Peru,PE,130.62,189.07,64.86,64.86,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
