Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Philippines,Mindanao,PH-MI,445.1,502.03,39.33,39.33,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Philippines,Mindanao,PH-MI,461.16,519.28,37.09,37.09,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Philippines,Mindanao,PH-MI,470.51,529.65,35.7,35.7,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Philippines,Mindanao,PH-MI,471.72,531.7,35.35,35.35,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Philippines,Mindanao,PH-MI,469.65,529.56,35.62,35.62,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Philippines,Mindanao,PH-MI,479.51,540.52,34.15,34.15,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Philippines,Mindanao,PH-MI,483.34,544.97,33.52,33.52,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Philippines,Mindanao,PH-MI,483.42,544.94,33.53,33.53,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Philippines,Mindanao,PH-MI,481.0,541.82,33.97,33.97,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Philippines,Mindanao,PH-MI,479.8,540.57,34.12,34.12,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
