Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Philippines,Philippines,PH,530.85,600.76,20.75,20.75,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Philippines,Philippines,PH,523.29,592.66,22.31,22.31,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Philippines,Philippines,PH,520.01,589.16,23.14,23.14,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Philippines,Philippines,PH,519.79,588.89,23.3,23.3,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Philippines,Philippines,PH,519.78,588.77,23.34,23.34,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Philippines,Philippines,PH,520.93,590.37,23.03,23.03,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Philippines,Philippines,PH,526.61,596.29,22.19,22.19,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Philippines,Philippines,PH,535.3,605.27,20.95,20.95,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Philippines,Philippines,PH,545.94,616.15,19.46,19.46,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Philippines,Philippines,PH,552.42,622.69,18.58,18.58,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Philippines,Philippines,PH,552.8,623.51,18.33,18.33,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Philippines,Philippines,PH,553.76,624.33,18.03,18.03,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Philippines,Philippines,PH,555.96,626.59,17.48,17.48,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Philippines,Philippines,PH,560.54,631.69,16.41,16.41,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,Philippines,Philippines,PH,562.74,633.89,16.06,16.06,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,Philippines,Philippines,PH,562.59,633.6,16.06,16.06,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,Philippines,Philippines,PH,562.7,633.67,16.03,16.03,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,Philippines,Philippines,PH,559.99,631.06,16.25,16.25,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,Philippines,Philippines,PH,557.14,628.42,16.47,16.47,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,Philippines,Philippines,PH,555.3,626.75,16.61,16.61,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,Philippines,Philippines,PH,555.35,626.81,16.6,16.6,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,Philippines,Philippines,PH,557.22,628.61,16.45,16.45,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,Philippines,Philippines,PH,551.85,623.05,17.26,17.26,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,Philippines,Philippines,PH,541.42,611.99,18.87,18.87,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,Philippines,Philippines,PH,530.85,600.76,20.75,20.75,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,Philippines,Philippines,PH,523.29,592.66,22.31,22.31,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 02:00:00,Philippines,Philippines,PH,520.01,589.16,23.14,23.14,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,Philippines,Philippines,PH,519.79,588.89,23.3,23.3,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,Philippines,Philippines,PH,519.78,588.77,23.34,23.34,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,Philippines,Philippines,PH,520.93,590.37,23.03,23.03,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,Philippines,Philippines,PH,526.61,596.29,22.19,22.19,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 07:00:00,Philippines,Philippines,PH,535.3,605.27,20.95,20.95,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 08:00:00,Philippines,Philippines,PH,545.94,616.15,19.46,19.46,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 09:00:00,Philippines,Philippines,PH,552.42,622.69,18.58,18.58,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 10:00:00,Philippines,Philippines,PH,552.8,623.51,18.33,18.33,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 11:00:00,Philippines,Philippines,PH,553.76,624.33,18.03,18.03,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 12:00:00,Philippines,Philippines,PH,555.96,626.59,17.48,17.48,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 13:00:00,Philippines,Philippines,PH,560.54,631.69,16.41,16.41,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 14:00:00,Philippines,Philippines,PH,562.74,633.89,16.06,16.06,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 15:00:00,Philippines,Philippines,PH,562.59,633.6,16.06,16.06,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 16:00:00,Philippines,Philippines,PH,562.7,633.67,16.03,16.03,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 17:00:00,Philippines,Philippines,PH,559.99,631.06,16.25,16.25,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 18:00:00,Philippines,Philippines,PH,557.14,628.42,16.47,16.47,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 19:00:00,Philippines,Philippines,PH,555.3,626.75,16.61,16.61,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 20:00:00,Philippines,Philippines,PH,555.35,626.81,16.6,16.6,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 21:00:00,Philippines,Philippines,PH,557.22,628.61,16.45,16.45,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 22:00:00,Philippines,Philippines,PH,551.85,623.05,17.26,17.26,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 23:00:00,Philippines,Philippines,PH,541.42,611.99,18.87,18.87,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 00:00:00,Philippines,Philippines,PH,530.85,600.76,20.75,20.75,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 01:00:00,Philippines,Philippines,PH,523.29,592.66,22.31,22.31,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 02:00:00,Philippines,Philippines,PH,520.01,589.16,23.14,23.14,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 03:00:00,Philippines,Philippines,PH,519.79,588.89,23.3,23.3,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 04:00:00,Philippines,Philippines,PH,519.78,588.77,23.34,23.34,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 05:00:00,Philippines,Philippines,PH,520.93,590.37,23.03,23.03,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 06:00:00,Philippines,Philippines,PH,526.61,596.29,22.19,22.19,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 07:00:00,Philippines,Philippines,PH,535.3,605.27,20.95,20.95,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 08:00:00,Philippines,Philippines,PH,545.94,616.15,19.46,19.46,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 09:00:00,Philippines,Philippines,PH,552.42,622.69,18.58,18.58,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 10:00:00,Philippines,Philippines,PH,552.8,623.51,18.33,18.33,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 11:00:00,Philippines,Philippines,PH,553.76,624.33,18.03,18.03,,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 12:00:00,Philippines,Philippines,PH,555.96,626.59,17.48,17.48,,True,ESTIMATED_TIME_SLICER_AVERAGE
