Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Poland,Poland,PL,829.72,924.58,10.63,8.81,entsoe.eu,False,
2021-01-01 01:00:00,Poland,Poland,PL,850.63,947.27,8.33,7.24,entsoe.eu,False,
2021-01-01 02:00:00,Poland,Poland,PL,847.95,944.41,8.64,7.39,entsoe.eu,False,
2021-01-01 03:00:00,Poland,Poland,PL,845.35,941.67,9.0,7.51,entsoe.eu,False,
2021-01-01 04:00:00,Poland,Poland,PL,841.88,938.28,9.31,7.69,entsoe.eu,False,
2021-01-01 05:00:00,Poland,Poland,PL,843.31,939.67,9.21,7.6,entsoe.eu,False,
2021-01-01 06:00:00,Poland,Poland,PL,843.36,939.88,9.15,7.51,entsoe.eu,False,
2021-01-01 07:00:00,Poland,Poland,PL,847.77,944.47,8.71,7.33,entsoe.eu,False,
2021-01-01 08:00:00,Poland,Poland,PL,844.97,941.25,9.14,7.82,entsoe.eu,False,
2021-01-01 09:00:00,Poland,Poland,PL,830.93,925.8,10.88,9.29,entsoe.eu,False,
2021-01-01 10:00:00,Poland,Poland,PL,844.95,940.62,9.85,8.56,entsoe.eu,False,
2021-01-01 11:00:00,Poland,Poland,PL,848.53,944.47,10.01,8.73,entsoe.eu,False,
2021-01-01 12:00:00,Poland,Poland,PL,850.72,946.7,10.11,8.63,entsoe.eu,False,
2021-01-01 13:00:00,Poland,Poland,PL,855.82,952.12,9.84,8.36,entsoe.eu,False,
2021-01-01 14:00:00,Poland,Poland,PL,861.1,957.49,9.35,7.98,entsoe.eu,False,
2021-01-01 15:00:00,Poland,Poland,PL,855.01,950.38,10.02,8.29,entsoe.eu,False,
2021-01-01 16:00:00,Poland,Poland,PL,868.53,964.06,8.75,7.5,entsoe.eu,False,
2021-01-01 17:00:00,Poland,Poland,PL,869.92,965.36,8.26,7.14,entsoe.eu,False,
