Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Portugal,Portugal,PT,60.05,104.1,85.21,85.21,entsoe.eu,False,
2021-01-01 01:00:00,Portugal,Portugal,PT,60.8,105.25,85.03,85.03,entsoe.eu,False,
2021-01-01 02:00:00,Portugal,Portugal,PT,64.89,112.77,83.23,81.34,entsoe.eu,False,
2021-01-01 03:00:00,Portugal,Portugal,PT,60.62,106.84,85.11,79.36,entsoe.eu,False,
2021-01-01 04:00:00,Portugal,Portugal,PT,57.88,103.59,86.09,79.73,entsoe.eu,False,
2021-01-01 05:00:00,Portugal,Portugal,PT,57.88,104.35,85.96,79.53,entsoe.eu,False,
2021-01-01 06:00:00,Portugal,Portugal,PT,60.62,107.87,85.4,78.17,entsoe.eu,False,
2021-01-01 07:00:00,Portugal,Portugal,PT,58.95,106.04,85.71,79.4,entsoe.eu,False,
2021-01-01 08:00:00,Portugal,Portugal,PT,56.81,103.41,86.2,79.92,entsoe.eu,False,
2021-01-01 09:00:00,Portugal,Portugal,PT,53.76,97.79,87.02,81.0,entsoe.eu,False,
2021-01-01 10:00:00,Portugal,Portugal,PT,50.18,92.56,87.84,81.74,entsoe.eu,False,
2021-01-01 11:00:00,Portugal,Portugal,PT,50.48,92.28,87.85,80.65,entsoe.eu,False,
2021-01-01 12:00:00,Portugal,Portugal,PT,47.87,87.78,88.53,82.15,entsoe.eu,False,
2021-01-01 13:00:00,Portugal,Portugal,PT,44.25,82.17,89.28,84.11,entsoe.eu,False,
2021-01-01 14:00:00,Portugal,Portugal,PT,55.35,96.68,86.48,80.92,entsoe.eu,False,
2021-01-01 15:00:00,Portugal,Portugal,PT,67.85,113.36,82.77,79.01,entsoe.eu,False,
2021-01-01 16:00:00,Portugal,Portugal,PT,83.56,131.62,79.83,79.22,entsoe.eu,False,
2021-01-01 17:00:00,Portugal,Portugal,PT,86.41,128.1,82.65,82.65,entsoe.eu,False,
2021-01-01 18:00:00,Portugal,Portugal,PT,83.89,123.32,83.9,83.9,entsoe.eu,False,
2021-01-01 19:00:00,Portugal,Portugal,PT,74.04,110.19,87.0,87.0,entsoe.eu,False,
2021-01-01 20:00:00,Portugal,Portugal,PT,70.61,106.43,87.48,87.48,entsoe.eu,False,
2021-01-01 21:00:00,Portugal,Portugal,PT,83.88,123.7,84.08,84.08,entsoe.eu,False,
2021-01-01 22:00:00,Portugal,Portugal,PT,75.93,116.69,84.97,82.71,entsoe.eu,False,
2021-01-01 23:00:00,Portugal,Portugal,PT,82.23,130.7,80.75,73.81,entsoe.eu,False,
2021-01-02 00:00:00,Portugal,Portugal,PT,77.57,126.44,81.13,71.87,entsoe.eu,False,
2021-01-02 01:00:00,Portugal,Portugal,PT,77.48,127.33,81.28,71.88,entsoe.eu,False,
2021-01-02 02:00:00,Portugal,Portugal,PT,72.62,120.23,82.93,72.15,entsoe.eu,False,
2021-01-02 03:00:00,Portugal,Portugal,PT,72.83,121.18,82.76,71.9,entsoe.eu,False,
2021-01-02 04:00:00,Portugal,Portugal,PT,70.1,119.42,83.26,74.13,entsoe.eu,False,
2021-01-02 05:00:00,Portugal,Portugal,PT,71.96,121.87,82.58,74.66,entsoe.eu,False,
2021-01-02 06:00:00,Portugal,Portugal,PT,88.7,143.29,78.14,70.46,entsoe.eu,False,
2021-01-02 07:00:00,Portugal,Portugal,PT,97.69,156.49,74.68,70.52,entsoe.eu,False,
2021-01-02 08:00:00,Portugal,Portugal,PT,93.06,149.42,75.78,72.16,entsoe.eu,False,
2021-01-02 09:00:00,Portugal,Portugal,PT,92.3,147.2,76.16,71.65,entsoe.eu,False,
2021-01-02 10:00:00,Portugal,Portugal,PT,93.38,148.41,75.89,70.41,entsoe.eu,False,
2021-01-02 11:00:00,Portugal,Portugal,PT,96.37,152.3,75.3,68.4,entsoe.eu,False,
2021-01-02 12:00:00,Portugal,Portugal,PT,95.46,150.42,75.55,68.58,entsoe.eu,False,
2021-01-02 13:00:00,Portugal,Portugal,PT,96.95,150.32,76.47,69.72,entsoe.eu,False,
2021-01-02 14:00:00,Portugal,Portugal,PT,99.38,154.93,75.09,67.64,entsoe.eu,False,
2021-01-02 15:00:00,Portugal,Portugal,PT,101.7,157.04,74.61,67.26,entsoe.eu,False,
2021-01-02 16:00:00,Portugal,Portugal,PT,105.04,159.97,73.95,66.21,entsoe.eu,False,
2021-01-02 17:00:00,Portugal,Portugal,PT,107.28,153.38,78.64,73.95,entsoe.eu,False,
2021-01-02 18:00:00,Portugal,Portugal,PT,103.01,145.15,80.81,77.36,entsoe.eu,False,
2021-01-02 19:00:00,Portugal,Portugal,PT,100.42,143.71,80.19,76.02,entsoe.eu,False,
2021-01-02 20:00:00,Portugal,Portugal,PT,97.69,143.82,78.76,72.39,entsoe.eu,False,
2021-01-02 21:00:00,Portugal,Portugal,PT,90.58,139.63,77.71,70.57,entsoe.eu,False,
2021-01-02 22:00:00,Portugal,Portugal,PT,89.13,145.1,76.49,76.49,entsoe.eu,False,
2021-01-02 23:00:00,Portugal,Portugal,PT,85.32,134.83,79.16,70.47,entsoe.eu,False,
2021-01-03 00:00:00,Portugal,Portugal,PT,74.39,120.64,82.57,71.53,entsoe.eu,False,
2021-01-03 01:00:00,Portugal,Portugal,PT,75.6,123.01,82.34,70.46,entsoe.eu,False,
2021-01-03 02:00:00,Portugal,Portugal,PT,76.06,124.09,82.19,70.12,entsoe.eu,False,
2021-01-03 03:00:00,Portugal,Portugal,PT,81.43,131.2,81.06,68.48,entsoe.eu,False,
2021-01-03 04:00:00,Portugal,Portugal,PT,80.29,130.44,81.19,68.6,entsoe.eu,False,
2021-01-03 05:00:00,Portugal,Portugal,PT,82.12,132.68,80.83,67.82,entsoe.eu,False,
2021-01-03 06:00:00,Portugal,Portugal,PT,84.08,135.51,80.07,67.12,entsoe.eu,False,
2021-01-03 07:00:00,Portugal,Portugal,PT,100.68,155.69,75.52,64.1,entsoe.eu,False,
2021-01-03 08:00:00,Portugal,Portugal,PT,104.11,162.05,73.39,67.17,entsoe.eu,False,
2021-01-03 09:00:00,Portugal,Portugal,PT,97.88,150.1,77.14,73.5,entsoe.eu,False,
2021-01-03 10:00:00,Portugal,Portugal,PT,96.49,146.01,78.65,75.11,entsoe.eu,False,
2021-01-03 11:00:00,Portugal,Portugal,PT,87.21,138.99,77.7,72.23,entsoe.eu,False,
