Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Canada,Québec,CA-QC,0.34,28.03,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Canada,Québec,CA-QC,0.34,28.11,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Canada,Québec,CA-QC,0.35,28.26,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Canada,Québec,CA-QC,0.38,28.51,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Canada,Québec,CA-QC,0.49,28.81,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Canada,Québec,CA-QC,0.51,28.99,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Canada,Québec,CA-QC,0.52,29.1,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Canada,Québec,CA-QC,0.53,29.17,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Canada,Québec,CA-QC,0.52,29.15,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Canada,Québec,CA-QC,0.5,28.96,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Canada,Québec,CA-QC,0.47,28.68,99.92,99.92,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Canada,Québec,CA-QC,0.44,28.39,99.92,99.92,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Canada,Québec,CA-QC,0.42,28.27,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Canada,Québec,CA-QC,0.41,28.24,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,Canada,Québec,CA-QC,0.41,28.26,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,Canada,Québec,CA-QC,0.41,28.28,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,Canada,Québec,CA-QC,0.42,28.3,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,Canada,Québec,CA-QC,0.43,28.34,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,Canada,Québec,CA-QC,0.43,28.38,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,Canada,Québec,CA-QC,0.34,28.29,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,Canada,Québec,CA-QC,0.34,28.19,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,Canada,Québec,CA-QC,0.32,28.03,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,Canada,Québec,CA-QC,0.32,27.96,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,Canada,Québec,CA-QC,0.33,27.97,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,Canada,Québec,CA-QC,0.34,28.03,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,Canada,Québec,CA-QC,0.34,28.11,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 02:00:00,Canada,Québec,CA-QC,0.35,28.26,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,Canada,Québec,CA-QC,0.38,28.51,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,Canada,Québec,CA-QC,0.49,28.81,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,Canada,Québec,CA-QC,0.51,28.99,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,Canada,Québec,CA-QC,0.52,29.1,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 07:00:00,Canada,Québec,CA-QC,0.53,29.17,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 08:00:00,Canada,Québec,CA-QC,0.52,29.15,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 09:00:00,Canada,Québec,CA-QC,0.5,28.96,99.91,99.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 10:00:00,Canada,Québec,CA-QC,0.47,28.68,99.92,99.92,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 11:00:00,Canada,Québec,CA-QC,0.44,28.39,99.92,99.92,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 12:00:00,Canada,Québec,CA-QC,0.42,28.27,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 13:00:00,Canada,Québec,CA-QC,0.41,28.24,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 14:00:00,Canada,Québec,CA-QC,0.41,28.26,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 15:00:00,Canada,Québec,CA-QC,0.41,28.28,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 16:00:00,Canada,Québec,CA-QC,0.42,28.3,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 17:00:00,Canada,Québec,CA-QC,0.43,28.34,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 18:00:00,Canada,Québec,CA-QC,0.43,28.38,99.93,99.93,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 19:00:00,Canada,Québec,CA-QC,0.34,28.29,99.94,99.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
