Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Australia,Queensland,AU-QLD,589.35,647.56,20.31,20.31,opennem.org.au,False,
2021-01-01 01:00:00,Australia,Queensland,AU-QLD,573.4,632.24,21.96,21.96,opennem.org.au,False,
2021-01-01 02:00:00,Australia,Queensland,AU-QLD,592.79,652.96,18.85,18.85,opennem.org.au,False,
2021-01-01 03:00:00,Australia,Queensland,AU-QLD,594.06,654.02,18.73,18.73,opennem.org.au,False,
2021-01-01 04:00:00,Australia,Queensland,AU-QLD,583.47,642.82,20.26,20.26,opennem.org.au,False,
2021-01-01 05:00:00,Australia,Queensland,AU-QLD,599.18,659.91,17.63,17.63,opennem.org.au,False,
2021-01-01 06:00:00,Australia,Queensland,AU-QLD,598.65,659.13,17.26,17.26,opennem.org.au,False,
2021-01-01 07:00:00,Australia,Queensland,AU-QLD,617.32,677.88,14.55,14.55,opennem.org.au,False,
2021-01-01 08:00:00,Australia,Queensland,AU-QLD,653.46,715.48,9.28,9.28,opennem.org.au,False,
2021-01-01 09:00:00,Australia,Queensland,AU-QLD,650.87,712.88,9.27,9.27,opennem.org.au,False,
2021-01-01 10:00:00,Australia,Queensland,AU-QLD,649.19,711.2,9.43,9.43,opennem.org.au,False,
2021-01-01 11:00:00,Australia,Queensland,AU-QLD,661.6,724.18,7.76,7.76,opennem.org.au,False,
2021-01-01 12:00:00,Australia,Queensland,AU-QLD,672.64,735.93,6.22,6.22,opennem.org.au,False,
2021-01-01 13:00:00,Australia,Queensland,AU-QLD,687.63,752.12,4.06,4.06,opennem.org.au,False,
2021-01-01 14:00:00,Australia,Queensland,AU-QLD,687.15,750.74,4.64,4.64,opennem.org.au,False,
2021-01-01 15:00:00,Australia,Queensland,AU-QLD,694.69,754.73,6.11,6.11,opennem.org.au,False,
2021-01-01 16:00:00,Australia,Queensland,AU-QLD,691.47,751.34,6.54,6.54,opennem.org.au,False,
2021-01-01 17:00:00,Australia,Queensland,AU-QLD,695.09,755.14,6.09,6.09,opennem.org.au,False,
2021-01-01 18:00:00,Australia,Queensland,AU-QLD,698.43,758.66,5.67,5.67,opennem.org.au,False,
2021-01-01 19:00:00,Australia,Queensland,AU-QLD,700.45,760.75,5.5,5.5,opennem.org.au,False,
2021-01-01 20:00:00,Australia,Queensland,AU-QLD,679.36,739.09,8.44,8.44,opennem.org.au,False,
