Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Romania,Romania,RO,308.28,353.39,65.36,40.72,entsoe.eu,False,
2021-01-01 01:00:00,Romania,Romania,RO,313.88,359.77,64.82,40.02,entsoe.eu,False,
2021-01-01 02:00:00,Romania,Romania,RO,323.33,370.3,63.73,38.73,entsoe.eu,False,
2021-01-01 03:00:00,Romania,Romania,RO,310.57,356.21,65.19,40.34,entsoe.eu,False,
2021-01-01 04:00:00,Romania,Romania,RO,301.76,346.63,66.11,41.68,entsoe.eu,False,
2021-01-01 05:00:00,Romania,Romania,RO,284.61,328.18,67.73,45.11,entsoe.eu,False,
2021-01-01 06:00:00,Romania,Romania,RO,272.65,314.86,69.24,46.8,entsoe.eu,False,
2021-01-01 07:00:00,Romania,Romania,RO,269.21,311.57,69.49,47.81,entsoe.eu,False,
2021-01-01 08:00:00,Romania,Romania,RO,250.23,290.86,71.68,50.91,entsoe.eu,False,
2021-01-01 09:00:00,Romania,Romania,RO,242.42,282.47,72.55,52.14,entsoe.eu,False,
2021-01-01 10:00:00,Romania,Romania,RO,236.94,276.61,73.14,53.17,entsoe.eu,False,
2021-01-01 11:00:00,Romania,Romania,RO,238.72,278.56,72.94,53.07,entsoe.eu,False,
2021-01-01 12:00:00,Romania,Romania,RO,238.97,278.65,72.94,52.87,entsoe.eu,False,
2021-01-01 13:00:00,Romania,Romania,RO,246.8,286.91,72.03,51.85,entsoe.eu,False,
2021-01-01 14:00:00,Romania,Romania,RO,246.28,285.9,72.09,52.19,entsoe.eu,False,
2021-01-01 15:00:00,Romania,Romania,RO,237.02,275.52,73.14,53.59,entsoe.eu,False,
2021-01-01 16:00:00,Romania,Romania,RO,242.52,281.63,72.46,52.74,entsoe.eu,False,
2021-01-01 17:00:00,Romania,Romania,RO,244.36,283.61,72.26,52.43,entsoe.eu,False,
2021-01-01 18:00:00,Romania,Romania,RO,251.07,290.83,71.59,51.51,entsoe.eu,False,
2021-01-01 19:00:00,Romania,Romania,RO,260.64,301.51,70.45,49.92,entsoe.eu,False,
2021-01-01 20:00:00,Romania,Romania,RO,274.47,316.79,68.91,47.95,entsoe.eu,False,
2021-01-01 21:00:00,Romania,Romania,RO,298.52,343.17,66.18,42.46,entsoe.eu,False,
2021-01-01 22:00:00,Romania,Romania,RO,318.39,364.65,64.23,39.06,entsoe.eu,False,
2021-01-01 23:00:00,Romania,Romania,RO,302.32,346.92,66.14,43.0,entsoe.eu,False,
2021-01-02 00:00:00,Romania,Romania,RO,305.35,350.4,65.76,42.02,entsoe.eu,False,
