Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Serbia,Serbia,RS,463.88,511.68,38.73,36.73,entsoe.eu,False,
2021-01-01 01:00:00,Serbia,Serbia,RS,474.12,522.56,37.42,35.04,entsoe.eu,False,
2021-01-01 02:00:00,Serbia,Serbia,RS,491.19,540.71,35.25,32.73,entsoe.eu,False,
2021-01-01 03:00:00,Serbia,Serbia,RS,511.11,561.86,32.59,29.73,entsoe.eu,False,
2021-01-01 04:00:00,Serbia,Serbia,RS,516.57,568.14,31.74,28.62,entsoe.eu,False,
2021-01-01 05:00:00,Serbia,Serbia,RS,500.94,551.7,33.87,30.11,entsoe.eu,False,
2021-01-01 06:00:00,Serbia,Serbia,RS,510.55,561.95,32.47,29.69,entsoe.eu,False,
2021-01-01 07:00:00,Serbia,Serbia,RS,485.46,535.42,35.79,32.86,entsoe.eu,False,
2021-01-01 08:00:00,Serbia,Serbia,RS,468.06,516.66,38.27,34.79,entsoe.eu,False,
2021-01-01 09:00:00,Serbia,Serbia,RS,450.2,497.27,40.79,37.01,entsoe.eu,False,
2021-01-01 10:00:00,Serbia,Serbia,RS,439.66,486.01,42.18,37.96,entsoe.eu,False,
2021-01-01 11:00:00,Serbia,Serbia,RS,438.14,484.42,42.34,38.39,entsoe.eu,False,
2021-01-01 12:00:00,Serbia,Serbia,RS,457.24,504.57,39.79,36.0,entsoe.eu,False,
2021-01-01 13:00:00,Serbia,Serbia,RS,477.11,525.49,37.18,33.38,entsoe.eu,False,
2021-01-01 14:00:00,Serbia,Serbia,RS,473.61,521.74,37.6,34.16,entsoe.eu,False,
2021-01-01 15:00:00,Serbia,Serbia,RS,478.91,527.53,36.7,34.14,entsoe.eu,False,
2021-01-01 16:00:00,Serbia,Serbia,RS,476.21,524.77,37.04,34.59,entsoe.eu,False,
2021-01-01 17:00:00,Serbia,Serbia,RS,476.65,525.36,36.97,34.62,entsoe.eu,False,
2021-01-01 18:00:00,Serbia,Serbia,RS,461.89,509.82,38.93,36.69,entsoe.eu,False,
2021-01-01 19:00:00,Serbia,Serbia,RS,464.14,512.22,38.68,36.39,entsoe.eu,False,
2021-01-01 20:00:00,Serbia,Serbia,RS,476.12,524.63,37.26,34.66,entsoe.eu,False,
2021-01-01 21:00:00,Serbia,Serbia,RS,499.77,549.59,34.08,31.73,entsoe.eu,False,
2021-01-01 22:00:00,Serbia,Serbia,RS,503.06,553.04,33.67,31.35,entsoe.eu,False,
2021-01-01 23:00:00,Serbia,Serbia,RS,485.9,535.47,35.96,33.99,entsoe.eu,False,
2021-01-02 00:00:00,Serbia,Serbia,RS,472.67,521.57,37.57,36.1,entsoe.eu,False,
2021-01-02 01:00:00,Serbia,Serbia,RS,490.24,540.19,35.25,33.82,entsoe.eu,False,
2021-01-02 02:00:00,Serbia,Serbia,RS,521.6,573.29,31.24,29.89,entsoe.eu,False,
2021-01-02 03:00:00,Serbia,Serbia,RS,524.77,576.6,30.79,29.56,entsoe.eu,False,
2021-01-02 04:00:00,Serbia,Serbia,RS,501.5,551.93,33.71,33.21,entsoe.eu,False,
2021-01-02 05:00:00,Serbia,Serbia,RS,492.9,542.89,34.75,34.75,entsoe.eu,False,
2021-01-02 06:00:00,Serbia,Serbia,RS,506.82,557.53,32.84,32.74,entsoe.eu,False,
2021-01-02 07:00:00,Serbia,Serbia,RS,471.56,520.21,37.59,36.88,entsoe.eu,False,
2021-01-02 08:00:00,Serbia,Serbia,RS,445.52,492.58,41.12,39.87,entsoe.eu,False,
2021-01-02 09:00:00,Serbia,Serbia,RS,458.38,506.35,39.33,37.93,entsoe.eu,False,
2021-01-02 10:00:00,Serbia,Serbia,RS,467.76,516.34,38.08,36.35,entsoe.eu,False,
2021-01-02 11:00:00,Serbia,Serbia,RS,479.82,528.99,36.54,34.75,entsoe.eu,False,
2021-01-02 12:00:00,Serbia,Serbia,RS,489.85,539.63,35.24,33.4,entsoe.eu,False,
2021-01-02 13:00:00,Serbia,Serbia,RS,491.52,541.23,35.02,33.33,entsoe.eu,False,
2021-01-02 14:00:00,Serbia,Serbia,RS,478.31,527.13,36.75,35.24,entsoe.eu,False,
2021-01-02 15:00:00,Serbia,Serbia,RS,464.18,512.16,38.64,37.31,entsoe.eu,False,
2021-01-02 16:00:00,Serbia,Serbia,RS,455.05,502.23,39.98,38.45,entsoe.eu,False,
2021-01-02 17:00:00,Serbia,Serbia,RS,446.51,493.16,41.14,39.42,entsoe.eu,False,
2021-01-02 18:00:00,Serbia,Serbia,RS,451.34,498.29,40.5,38.75,entsoe.eu,False,
2021-01-02 19:00:00,Serbia,Serbia,RS,456.54,503.74,39.87,37.86,entsoe.eu,False,
2021-01-02 20:00:00,Serbia,Serbia,RS,463.62,511.38,39.0,36.69,entsoe.eu,False,
2021-01-02 21:00:00,Serbia,Serbia,RS,460.69,508.3,39.39,36.62,entsoe.eu,False,
2021-01-02 22:00:00,Serbia,Serbia,RS,456.83,504.31,39.87,36.85,entsoe.eu,False,
2021-01-02 23:00:00,Serbia,Serbia,RS,452.18,499.36,40.32,38.05,entsoe.eu,False,
2021-01-03 00:00:00,Serbia,Serbia,RS,470.34,518.71,37.9,36.15,entsoe.eu,False,
2021-01-03 01:00:00,Serbia,Serbia,RS,496.27,546.05,34.57,32.54,entsoe.eu,False,
2021-01-03 02:00:00,Serbia,Serbia,RS,514.37,565.07,32.33,29.64,entsoe.eu,False,
2021-01-03 03:00:00,Serbia,Serbia,RS,513.49,564.3,32.33,30.12,entsoe.eu,False,
2021-01-03 04:00:00,Serbia,Serbia,RS,511.26,561.72,32.67,30.01,entsoe.eu,False,
2021-01-03 05:00:00,Serbia,Serbia,RS,469.45,517.67,37.94,36.22,entsoe.eu,False,
2021-01-03 06:00:00,Serbia,Serbia,RS,457.56,505.17,39.52,37.91,entsoe.eu,False,
