Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Australia,South Australia,AU-SA,124.75,189.76,67.09,67.09,opennem.org.au,False,
2021-01-01 01:00:00,Australia,South Australia,AU-SA,124.24,188.07,67.79,67.79,opennem.org.au,False,
2021-01-01 02:00:00,Australia,South Australia,AU-SA,113.13,176.04,69.65,69.65,opennem.org.au,False,
2021-01-01 03:00:00,Australia,South Australia,AU-SA,109.16,170.42,70.65,70.65,opennem.org.au,False,
2021-01-01 04:00:00,Australia,South Australia,AU-SA,111.78,171.95,70.57,70.57,opennem.org.au,False,
2021-01-01 05:00:00,Australia,South Australia,AU-SA,96.91,150.36,74.95,74.95,opennem.org.au,False,
2021-01-01 06:00:00,Australia,South Australia,AU-SA,110.97,164.79,70.87,70.87,opennem.org.au,False,
2021-01-01 07:00:00,Australia,South Australia,AU-SA,117.15,169.45,68.64,68.64,opennem.org.au,False,
2021-01-01 08:00:00,Australia,South Australia,AU-SA,106.4,149.17,72.53,72.53,opennem.org.au,False,
2021-01-01 09:00:00,Australia,South Australia,AU-SA,103.57,145.97,72.1,72.1,opennem.org.au,False,
2021-01-01 10:00:00,Australia,South Australia,AU-SA,112.33,156.32,69.73,69.73,opennem.org.au,False,
2021-01-01 11:00:00,Australia,South Australia,AU-SA,106.89,147.43,72.63,72.63,opennem.org.au,False,
2021-01-01 12:00:00,Australia,South Australia,AU-SA,105.76,147.42,71.8,71.8,opennem.org.au,False,
2021-01-01 13:00:00,Australia,South Australia,AU-SA,109.85,151.87,71.36,71.36,opennem.org.au,False,
2021-01-01 14:00:00,Australia,South Australia,AU-SA,115.01,159.12,69.52,69.52,opennem.org.au,False,
2021-01-01 15:00:00,Australia,South Australia,AU-SA,125.8,173.79,66.05,66.05,opennem.org.au,False,
2021-01-01 16:00:00,Australia,South Australia,AU-SA,146.71,200.34,60.81,60.81,opennem.org.au,False,
2021-01-01 17:00:00,Australia,South Australia,AU-SA,193.29,261.03,47.91,47.91,opennem.org.au,False,
2021-01-01 18:00:00,Australia,South Australia,AU-SA,224.53,301.58,39.39,39.39,opennem.org.au,False,
2021-01-01 19:00:00,Australia,South Australia,AU-SA,267.02,354.74,29.34,29.34,opennem.org.au,False,
2021-01-01 20:00:00,Australia,South Australia,AU-SA,284.81,380.15,23.7,23.7,opennem.org.au,False,
2021-01-01 21:00:00,Australia,South Australia,AU-SA,216.41,297.07,42.83,42.83,opennem.org.au,False,
2021-01-01 22:00:00,Australia,South Australia,AU-SA,172.06,242.19,54.34,54.34,opennem.org.au,False,
2021-01-01 23:00:00,Australia,South Australia,AU-SA,111.23,164.81,71.19,71.19,opennem.org.au,False,
2021-01-02 00:00:00,Australia,South Australia,AU-SA,88.31,137.05,76.82,76.82,opennem.org.au,False,
2021-01-02 01:00:00,Australia,South Australia,AU-SA,85.77,134.96,77.27,77.27,opennem.org.au,False,
2021-01-02 02:00:00,Australia,South Australia,AU-SA,83.95,132.99,77.76,77.76,opennem.org.au,False,
2021-01-02 03:00:00,Australia,South Australia,AU-SA,77.22,123.16,79.66,79.66,opennem.org.au,False,
2021-01-02 04:00:00,Australia,South Australia,AU-SA,73.25,114.75,80.48,80.48,opennem.org.au,False,
2021-01-02 05:00:00,Australia,South Australia,AU-SA,70.14,108.89,81.04,81.04,opennem.org.au,False,
2021-01-02 06:00:00,Australia,South Australia,AU-SA,70.51,107.99,81.56,81.56,opennem.org.au,False,
2021-01-02 07:00:00,Australia,South Australia,AU-SA,61.9,98.05,83.5,83.5,opennem.org.au,False,
2021-01-02 08:00:00,Australia,South Australia,AU-SA,68.93,104.47,82.09,82.09,opennem.org.au,False,
2021-01-02 09:00:00,Australia,South Australia,AU-SA,106.74,149.82,71.6,71.6,opennem.org.au,False,
2021-01-02 10:00:00,Australia,South Australia,AU-SA,130.68,178.79,65.78,65.78,opennem.org.au,False,
2021-01-02 11:00:00,Australia,South Australia,AU-SA,137.1,185.4,65.35,65.35,opennem.org.au,False,
2021-01-02 12:00:00,Australia,South Australia,AU-SA,143.09,194.33,62.82,62.82,opennem.org.au,False,
2021-01-02 13:00:00,Australia,South Australia,AU-SA,144.38,196.5,62.08,62.08,opennem.org.au,False,
2021-01-02 14:00:00,Australia,South Australia,AU-SA,142.17,194.82,61.76,61.76,opennem.org.au,False,
2021-01-02 15:00:00,Australia,South Australia,AU-SA,155.93,212.61,58.06,58.06,opennem.org.au,False,
2021-01-02 16:00:00,Australia,South Australia,AU-SA,171.76,233.15,53.74,53.74,opennem.org.au,False,
2021-01-02 17:00:00,Australia,South Australia,AU-SA,183.85,248.28,50.88,50.88,opennem.org.au,False,
2021-01-02 18:00:00,Australia,South Australia,AU-SA,220.41,296.17,40.56,40.56,opennem.org.au,False,
2021-01-02 19:00:00,Australia,South Australia,AU-SA,235.09,315.04,36.72,36.72,opennem.org.au,False,
2021-01-02 20:00:00,Australia,South Australia,AU-SA,231.02,309.73,38.7,38.7,opennem.org.au,False,
2021-01-02 21:00:00,Australia,South Australia,AU-SA,163.98,226.9,57.37,57.37,opennem.org.au,False,
2021-01-02 22:00:00,Australia,South Australia,AU-SA,128.16,184.55,67.45,67.45,opennem.org.au,False,
2021-01-02 23:00:00,Australia,South Australia,AU-SA,122.83,177.54,67.23,67.23,opennem.org.au,False,
2021-01-03 00:00:00,Australia,South Australia,AU-SA,102.65,154.13,72.34,72.34,opennem.org.au,False,
2021-01-03 01:00:00,Australia,South Australia,AU-SA,100.97,155.25,73.22,73.22,opennem.org.au,False,
2021-01-03 02:00:00,Australia,South Australia,AU-SA,101.69,154.97,73.12,73.12,opennem.org.au,False,
2021-01-03 03:00:00,Australia,South Australia,AU-SA,93.04,143.9,74.85,74.85,opennem.org.au,False,
2021-01-03 04:00:00,Australia,South Australia,AU-SA,93.04,141.03,75.19,75.19,opennem.org.au,False,
2021-01-03 05:00:00,Australia,South Australia,AU-SA,82.57,123.86,78.01,78.01,opennem.org.au,False,
2021-01-03 06:00:00,Australia,South Australia,AU-SA,74.02,112.28,80.88,80.88,opennem.org.au,False,
2021-01-03 07:00:00,Australia,South Australia,AU-SA,79.56,115.05,80.67,80.67,opennem.org.au,False,
2021-01-03 08:00:00,Australia,South Australia,AU-SA,82.03,117.73,79.91,79.91,opennem.org.au,False,
