Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,310.59,367.51,48.04,48.04,coordinador.cl,False,
2021-01-01 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,330.14,389.51,44.77,44.77,coordinador.cl,False,
2021-01-01 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,344.23,405.1,42.42,42.42,coordinador.cl,False,
2021-01-01 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,334.27,393.88,44.08,44.08,coordinador.cl,False,
2021-01-01 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,333.38,392.92,44.23,44.23,coordinador.cl,False,
2021-01-01 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,341.36,401.79,42.89,42.89,coordinador.cl,False,
2021-01-01 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,348.72,409.99,41.66,41.66,coordinador.cl,False,
2021-01-01 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,344.69,405.46,42.34,42.34,coordinador.cl,False,
2021-01-01 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,336.9,396.84,43.64,43.64,coordinador.cl,False,
2021-01-01 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,333.28,392.76,44.25,44.24,coordinador.cl,False,
2021-01-01 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,308.29,365.9,48.42,48.42,coordinador.cl,False,
2021-01-01 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,273.81,330.9,54.09,54.05,coordinador.cl,False,
2021-01-01 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,234.92,290.68,60.24,60.06,coordinador.cl,False,
2021-01-01 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,207.81,262.34,64.46,64.19,coordinador.cl,False,
2021-01-01 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,208.39,263.23,64.36,64.08,coordinador.cl,False,
2021-01-01 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,201.74,255.91,65.46,65.22,coordinador.cl,False,
2021-01-01 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,195.74,249.16,66.49,66.28,coordinador.cl,False,
2021-01-01 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,193.15,245.91,66.89,66.68,coordinador.cl,False,
2021-01-01 18:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,184.57,235.68,68.35,68.15,coordinador.cl,False,
2021-01-01 19:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,175.47,225.08,69.91,69.73,coordinador.cl,False,
2021-01-01 20:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,178.34,227.52,69.58,69.43,coordinador.cl,False,
2021-01-01 21:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,196.46,246.05,66.9,66.84,coordinador.cl,False,
2021-01-01 22:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,252.52,305.18,57.64,57.61,coordinador.cl,False,
2021-01-01 23:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,312.59,369.34,47.66,47.65,coordinador.cl,False,
2021-01-02 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,318.49,375.86,46.72,46.72,coordinador.cl,False,
2021-01-02 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,308.14,364.65,48.45,48.45,coordinador.cl,False,
2021-01-02 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,321.96,380.09,46.14,46.14,coordinador.cl,False,
2021-01-02 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,335.27,395.03,43.91,43.91,coordinador.cl,False,
2021-01-02 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,335.64,395.58,43.85,43.85,coordinador.cl,False,
2021-01-02 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,348.25,409.58,41.74,41.74,coordinador.cl,False,
2021-01-02 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,354.93,416.96,40.62,40.62,coordinador.cl,False,
2021-01-02 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,344.2,405.03,42.42,42.42,coordinador.cl,False,
2021-01-02 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,346.54,407.68,42.03,42.02,coordinador.cl,False,
2021-01-02 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,351.58,413.29,41.18,41.18,coordinador.cl,False,
2021-01-02 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,341.46,402.8,42.88,42.87,coordinador.cl,False,
2021-01-02 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,276.18,333.55,53.79,53.79,coordinador.cl,False,
2021-01-02 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,243.49,299.95,58.86,58.74,coordinador.cl,False,
2021-01-02 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,233.53,289.96,60.23,60.05,coordinador.cl,False,
2021-01-02 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,228.29,284.69,61.04,60.85,coordinador.cl,False,
2021-01-02 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,224.68,280.8,61.68,61.51,coordinador.cl,False,
2021-01-02 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,225.33,281.11,61.62,61.42,coordinador.cl,False,
2021-01-02 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,222.19,277.38,62.15,61.99,coordinador.cl,False,
2021-01-02 18:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,212.6,266.15,63.95,63.79,coordinador.cl,False,
2021-01-02 19:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,204.51,257.12,65.12,64.94,coordinador.cl,False,
2021-01-02 20:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,203.63,255.03,65.41,65.27,coordinador.cl,False,
2021-01-02 21:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,200.83,249.83,66.28,66.24,coordinador.cl,False,
2021-01-02 22:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,243.49,294.43,59.17,59.14,coordinador.cl,False,
2021-01-02 23:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,295.61,350.03,50.49,50.47,coordinador.cl,False,
2021-01-03 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,295.98,350.47,50.47,50.47,coordinador.cl,False,
2021-01-03 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,293.4,347.75,50.92,50.92,coordinador.cl,False,
2021-01-03 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,290.83,345.01,51.35,51.35,coordinador.cl,False,
2021-01-03 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,297.35,352.49,50.26,50.26,coordinador.cl,False,
2021-01-03 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,302.02,357.74,49.48,49.48,coordinador.cl,False,
2021-01-03 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,311.46,368.27,47.9,47.9,coordinador.cl,False,
2021-01-03 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,317.19,374.97,46.94,46.94,coordinador.cl,False,
2021-01-03 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,316.41,374.35,47.07,47.07,coordinador.cl,False,
2021-01-03 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,317.97,376.1,46.81,46.81,coordinador.cl,False,
2021-01-03 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,323.62,382.23,45.86,45.86,coordinador.cl,False,
2021-01-03 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,319.51,378.39,46.55,46.54,coordinador.cl,False,
2021-01-03 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,253.34,308.46,57.53,57.5,coordinador.cl,False,
2021-01-03 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,207.5,260.2,64.89,64.76,coordinador.cl,False,
2021-01-03 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,195.71,248.28,66.53,66.35,coordinador.cl,False,
2021-01-03 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,197.72,250.98,66.08,65.87,coordinador.cl,False,
2021-01-03 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,195.71,248.61,66.44,66.24,coordinador.cl,False,
2021-01-03 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,188.32,239.81,67.73,67.51,coordinador.cl,False,
2021-01-03 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,196.94,249.33,66.29,66.11,coordinador.cl,False,
2021-01-03 18:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,194.05,245.72,66.81,66.58,coordinador.cl,False,
2021-01-03 19:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,180.12,229.8,69.09,68.89,coordinador.cl,False,
2021-01-03 20:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,173.0,221.24,70.41,70.25,coordinador.cl,False,
2021-01-03 21:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,186.57,234.91,68.46,68.39,coordinador.cl,False,
2021-01-03 22:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,252.51,305.12,57.5,57.43,coordinador.cl,False,
2021-01-03 23:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,307.47,363.8,48.28,48.2,coordinador.cl,False,
2021-01-04 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,318.43,375.64,46.71,46.71,coordinador.cl,False,
2021-01-04 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,316.61,373.86,47.04,47.04,coordinador.cl,False,
2021-01-04 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,319.84,377.62,46.5,46.5,coordinador.cl,False,
2021-01-04 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,328.88,387.7,44.99,44.98,coordinador.cl,False,
2021-01-04 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,328.5,387.32,45.05,45.05,coordinador.cl,False,
2021-01-04 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,332.55,391.86,44.37,44.37,coordinador.cl,False,
2021-01-04 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,328.78,387.66,45.0,45.0,coordinador.cl,False,
2021-01-04 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,334.2,393.58,44.1,44.1,coordinador.cl,False,
2021-01-04 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,334.29,393.73,44.08,44.08,coordinador.cl,False,
2021-01-04 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,333.07,392.44,44.29,44.29,coordinador.cl,False,
2021-01-04 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,327.04,386.66,45.29,45.29,coordinador.cl,False,
2021-01-04 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,289.26,347.75,51.52,51.5,coordinador.cl,False,
2021-01-04 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,261.93,319.36,55.72,55.6,coordinador.cl,False,
2021-01-04 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,253.61,310.93,56.89,56.73,coordinador.cl,False,
2021-01-04 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,241.0,297.5,58.99,58.83,coordinador.cl,False,
2021-01-04 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,237.19,293.42,59.66,59.51,coordinador.cl,False,
2021-01-04 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,235.17,290.8,60.05,59.92,coordinador.cl,False,
2021-01-04 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,243.54,299.88,58.65,58.52,coordinador.cl,False,
2021-01-04 18:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,245.44,301.84,58.36,58.23,coordinador.cl,False,
2021-01-04 19:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,243.66,299.81,58.64,58.51,coordinador.cl,False,
2021-01-04 20:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,237.1,292.23,59.67,59.54,coordinador.cl,False,
2021-01-04 21:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,249.82,305.56,57.51,57.36,coordinador.cl,False,
2021-01-04 22:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,272.74,328.42,53.76,53.64,coordinador.cl,False,
2021-01-04 23:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,306.1,362.95,48.43,48.36,coordinador.cl,False,
2021-01-05 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,320.8,378.65,46.33,46.32,coordinador.cl,False,
2021-01-05 01:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,322.68,380.86,46.02,46.02,coordinador.cl,False,
2021-01-05 02:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,316.81,374.35,47.0,47.0,coordinador.cl,False,
2021-01-05 03:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,321.51,379.4,46.22,46.22,coordinador.cl,False,
2021-01-05 04:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,330.17,388.82,44.77,44.77,coordinador.cl,False,
2021-01-05 05:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,331.97,390.79,44.47,44.46,coordinador.cl,False,
2021-01-05 06:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,336.31,395.77,43.74,43.74,coordinador.cl,False,
2021-01-05 07:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,333.32,392.57,44.24,44.24,coordinador.cl,False,
2021-01-05 08:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,343.08,403.49,42.61,42.6,coordinador.cl,False,
2021-01-05 09:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,360.05,422.38,39.77,39.77,coordinador.cl,False,
2021-01-05 10:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,352.23,414.62,41.07,41.07,coordinador.cl,False,
2021-01-05 11:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,304.19,364.31,49.0,48.98,coordinador.cl,False,
2021-01-05 12:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,279.42,339.11,52.84,52.75,coordinador.cl,False,
2021-01-05 13:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,265.32,324.67,54.93,54.79,coordinador.cl,False,
2021-01-05 14:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,268.52,328.54,54.42,54.28,coordinador.cl,False,
2021-01-05 15:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,258.57,317.5,56.17,56.05,coordinador.cl,False,
2021-01-05 16:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,263.9,322.96,55.34,55.24,coordinador.cl,False,
2021-01-05 17:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,268.43,327.39,54.79,54.72,coordinador.cl,False,
2021-01-05 18:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,265.62,324.15,55.17,55.08,coordinador.cl,False,
2021-01-05 19:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,267.55,325.74,54.9,54.83,coordinador.cl,False,
2021-01-05 20:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,259.26,315.91,56.48,56.45,coordinador.cl,False,
