Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Sweden,South Central Sweden,SE-SE3,2.19,27.41,99.49,57.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Sweden,South Central Sweden,SE-SE3,2.21,27.35,99.49,56.73,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Sweden,South Central Sweden,SE-SE3,2.69,27.82,99.41,56.51,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Sweden,South Central Sweden,SE-SE3,2.17,27.36,99.5,56.44,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Sweden,South Central Sweden,SE-SE3,2.23,27.75,99.48,57.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Sweden,South Central Sweden,SE-SE3,2.28,28.21,99.47,57.55,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Sweden,South Central Sweden,SE-SE3,2.33,28.68,99.46,57.96,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Sweden,South Central Sweden,SE-SE3,2.66,29.31,99.39,58.33,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Sweden,South Central Sweden,SE-SE3,2.71,29.51,99.38,58.88,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Sweden,South Central Sweden,SE-SE3,2.64,29.15,99.39,60.07,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Sweden,South Central Sweden,SE-SE3,2.63,29.08,99.4,61.36,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Sweden,South Central Sweden,SE-SE3,2.63,29.09,99.4,61.92,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Sweden,South Central Sweden,SE-SE3,2.65,29.23,99.39,62.13,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Sweden,South Central Sweden,SE-SE3,2.64,29.11,99.4,62.9,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,Sweden,South Central Sweden,SE-SE3,2.63,29.06,99.4,63.65,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,Sweden,South Central Sweden,SE-SE3,2.65,29.2,99.4,63.5,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,Sweden,South Central Sweden,SE-SE3,2.61,29.14,99.4,63.53,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,Sweden,South Central Sweden,SE-SE3,2.51,29.22,99.42,63.64,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,Sweden,South Central Sweden,SE-SE3,2.51,29.34,99.42,62.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,Sweden,South Central Sweden,SE-SE3,2.5,29.32,99.42,62.21,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,Sweden,South Central Sweden,SE-SE3,2.49,29.14,99.43,62.14,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,Sweden,South Central Sweden,SE-SE3,2.46,28.89,99.43,61.34,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,Sweden,South Central Sweden,SE-SE3,2.47,28.54,99.43,59.83,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,Sweden,South Central Sweden,SE-SE3,2.25,27.78,99.48,58.16,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,Sweden,South Central Sweden,SE-SE3,2.17,27.26,99.5,57.98,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,Sweden,South Central Sweden,SE-SE3,2.15,27.03,99.5,58.28,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 02:00:00,Sweden,South Central Sweden,SE-SE3,2.14,26.93,99.51,58.43,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,Sweden,South Central Sweden,SE-SE3,2.17,27.19,99.5,57.73,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,Sweden,South Central Sweden,SE-SE3,2.23,27.74,99.49,57.57,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,Sweden,South Central Sweden,SE-SE3,2.29,28.19,99.47,58.33,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,Sweden,South Central Sweden,SE-SE3,2.35,28.65,99.46,59.59,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 07:00:00,Sweden,South Central Sweden,SE-SE3,2.66,29.18,99.39,60.69,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 08:00:00,Sweden,South Central Sweden,SE-SE3,2.66,29.09,99.39,61.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 09:00:00,Sweden,South Central Sweden,SE-SE3,2.58,28.68,99.41,62.52,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 10:00:00,Sweden,South Central Sweden,SE-SE3,2.6,28.81,99.41,62.72,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 11:00:00,Sweden,South Central Sweden,SE-SE3,2.62,28.96,99.4,62.41,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 12:00:00,Sweden,South Central Sweden,SE-SE3,2.64,29.12,99.4,62.38,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 13:00:00,Sweden,South Central Sweden,SE-SE3,2.65,29.17,99.4,62.44,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 14:00:00,Sweden,South Central Sweden,SE-SE3,2.62,29.05,99.4,63.49,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 15:00:00,Sweden,South Central Sweden,SE-SE3,2.62,29.12,99.4,63.94,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 16:00:00,Sweden,South Central Sweden,SE-SE3,2.62,29.16,99.4,64.17,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 17:00:00,Sweden,South Central Sweden,SE-SE3,2.54,29.26,99.42,64.42,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 18:00:00,Sweden,South Central Sweden,SE-SE3,2.56,29.43,99.41,63.43,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 19:00:00,Sweden,South Central Sweden,SE-SE3,2.56,29.35,99.41,62.53,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 20:00:00,Sweden,South Central Sweden,SE-SE3,2.59,29.53,99.41,61.18,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 21:00:00,Sweden,South Central Sweden,SE-SE3,2.57,29.25,99.41,60.49,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 22:00:00,Sweden,South Central Sweden,SE-SE3,2.48,28.59,99.43,59.85,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 23:00:00,Sweden,South Central Sweden,SE-SE3,2.29,27.97,99.47,58.24,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 00:00:00,Sweden,South Central Sweden,SE-SE3,2.18,27.39,99.49,56.82,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 01:00:00,Sweden,South Central Sweden,SE-SE3,2.15,27.11,99.5,57.1,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 02:00:00,Sweden,South Central Sweden,SE-SE3,2.15,27.09,99.5,56.78,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-03 03:00:00,Sweden,South Central Sweden,SE-SE3,2.13,27.05,99.5,57.31,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
