Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Sweden,Sweden,SE,2.07,26.83,99.53,68.59,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Sweden,Sweden,SE,2.11,27.05,99.52,68.09,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Sweden,Sweden,SE,2.48,27.49,99.45,67.89,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Sweden,Sweden,SE,2.08,27.06,99.52,68.15,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Sweden,Sweden,SE,2.12,27.28,99.51,68.94,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Sweden,Sweden,SE,2.12,27.39,99.51,70.11,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Sweden,Sweden,SE,2.12,27.47,99.51,70.76,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Sweden,Sweden,SE,2.35,27.9,99.46,71.02,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Sweden,Sweden,SE,2.37,27.89,99.46,71.59,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Sweden,Sweden,SE,2.36,27.89,99.46,71.94,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Sweden,Sweden,SE,2.36,27.92,99.46,72.45,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Sweden,Sweden,SE,2.36,28.0,99.46,72.64,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Sweden,Sweden,SE,2.4,28.16,99.45,72.64,svk.se,True,ESTIMATED_TIME_SLICER_AVERAGE
