Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Singapore,Singapore,SG,372.76,492.43,2.42,2.42,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Singapore,Singapore,SG,370.75,490.15,2.89,2.89,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Singapore,Singapore,SG,369.13,488.19,3.16,3.16,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Singapore,Singapore,SG,368.45,487.43,3.41,3.41,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Singapore,Singapore,SG,367.74,486.58,3.58,3.58,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Singapore,Singapore,SG,368.64,487.62,3.42,3.42,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Singapore,Singapore,SG,369.52,488.75,2.98,2.98,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Singapore,Singapore,SG,369.86,489.16,2.91,2.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Singapore,Singapore,SG,371.55,491.23,2.28,2.28,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Singapore,Singapore,SG,372.09,491.84,2.29,2.29,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Singapore,Singapore,SG,373.34,493.31,2.11,2.11,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Singapore,Singapore,SG,371.33,490.82,2.97,2.97,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Singapore,Singapore,SG,374.02,494.12,1.96,1.96,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Singapore,Singapore,SG,374.17,494.27,2.03,2.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,Singapore,Singapore,SG,374.43,494.54,2.16,2.16,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,Singapore,Singapore,SG,374.63,494.74,2.26,2.26,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,Singapore,Singapore,SG,375.0,495.12,2.44,2.44,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,Singapore,Singapore,SG,375.0,495.12,2.44,2.44,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,Singapore,Singapore,SG,374.98,495.1,2.43,2.43,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,Singapore,Singapore,SG,375.08,495.21,2.48,2.48,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,Singapore,Singapore,SG,375.17,495.29,2.52,2.52,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,Singapore,Singapore,SG,374.77,494.89,2.33,2.33,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,Singapore,Singapore,SG,374.95,495.04,2.33,2.33,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,Singapore,Singapore,SG,373.47,493.34,2.61,2.61,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,Singapore,Singapore,SG,372.18,491.89,2.45,2.45,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,Singapore,Singapore,SG,370.85,490.2,3.07,3.07,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 02:00:00,Singapore,Singapore,SG,368.84,487.88,3.33,3.33,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,Singapore,Singapore,SG,368.88,487.85,3.7,3.7,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,Singapore,Singapore,SG,367.62,486.42,3.69,3.69,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,Singapore,Singapore,SG,368.56,487.46,3.8,3.8,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,Singapore,Singapore,SG,369.11,488.23,3.2,3.2,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 07:00:00,Singapore,Singapore,SG,370.3,489.66,2.87,2.87,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 08:00:00,Singapore,Singapore,SG,371.65,491.26,2.62,2.62,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 09:00:00,Singapore,Singapore,SG,372.48,492.26,2.4,2.4,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 10:00:00,Singapore,Singapore,SG,373.42,493.37,2.11,2.11,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 11:00:00,Singapore,Singapore,SG,371.33,490.82,2.97,2.97,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 12:00:00,Singapore,Singapore,SG,374.38,494.49,2.14,2.14,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 13:00:00,Singapore,Singapore,SG,374.4,494.51,2.15,2.15,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 14:00:00,Singapore,Singapore,SG,374.38,494.48,2.13,2.13,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 15:00:00,Singapore,Singapore,SG,374.94,495.06,2.41,2.41,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 16:00:00,Singapore,Singapore,SG,375.05,495.17,2.46,2.46,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 17:00:00,Singapore,Singapore,SG,375.01,495.13,2.44,2.44,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 18:00:00,Singapore,Singapore,SG,375.39,495.52,2.63,2.63,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 19:00:00,Singapore,Singapore,SG,375.38,495.52,2.63,2.63,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 20:00:00,Singapore,Singapore,SG,375.39,495.53,2.63,2.63,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
