Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Slovenia,Slovenia,SI,269.41,209.63,62.11,30.77,entsoe.eu,False,
2021-01-01 01:00:00,Slovenia,Slovenia,SI,304.0,227.85,56.34,26.03,entsoe.eu,False,
2021-01-01 02:00:00,Slovenia,Slovenia,SI,315.95,241.32,54.62,25.1,entsoe.eu,False,
2021-01-01 03:00:00,Slovenia,Slovenia,SI,305.68,240.09,56.48,27.21,entsoe.eu,False,
2021-01-01 04:00:00,Slovenia,Slovenia,SI,311.83,237.88,55.01,26.42,entsoe.eu,False,
2021-01-01 05:00:00,Slovenia,Slovenia,SI,302.58,238.9,56.71,29.7,entsoe.eu,False,
2021-01-01 06:00:00,Slovenia,Slovenia,SI,318.69,249.32,54.06,27.87,entsoe.eu,False,
2021-01-01 07:00:00,Slovenia,Slovenia,SI,292.45,230.92,58.06,32.8,entsoe.eu,False,
2021-01-01 08:00:00,Slovenia,Slovenia,SI,276.08,219.97,60.55,36.61,entsoe.eu,False,
2021-01-01 09:00:00,Slovenia,Slovenia,SI,265.81,217.53,62.42,38.66,entsoe.eu,False,
2021-01-01 10:00:00,Slovenia,Slovenia,SI,249.11,212.0,65.3,42.15,entsoe.eu,False,
2021-01-01 11:00:00,Slovenia,Slovenia,SI,210.5,203.7,72.54,48.88,entsoe.eu,False,
2021-01-01 12:00:00,Slovenia,Slovenia,SI,275.65,213.88,60.28,36.23,entsoe.eu,False,
2021-01-01 13:00:00,Slovenia,Slovenia,SI,267.23,207.64,61.41,37.27,entsoe.eu,False,
2021-01-01 14:00:00,Slovenia,Slovenia,SI,240.77,198.06,65.87,42.31,entsoe.eu,False,
2021-01-01 15:00:00,Slovenia,Slovenia,SI,225.76,183.82,68.3,42.87,entsoe.eu,False,
2021-01-01 16:00:00,Slovenia,Slovenia,SI,212.56,178.89,72.37,47.03,entsoe.eu,False,
2021-01-01 17:00:00,Slovenia,Slovenia,SI,195.41,181.54,75.78,51.28,entsoe.eu,False,
2021-01-01 18:00:00,Slovenia,Slovenia,SI,210.85,181.54,72.65,48.11,entsoe.eu,False,
2021-01-01 19:00:00,Slovenia,Slovenia,SI,210.98,178.59,70.66,45.43,entsoe.eu,False,
2021-01-01 20:00:00,Slovenia,Slovenia,SI,236.55,188.28,66.26,41.42,entsoe.eu,False,
2021-01-01 21:00:00,Slovenia,Slovenia,SI,213.85,178.28,70.36,43.15,entsoe.eu,False,
2021-01-01 22:00:00,Slovenia,Slovenia,SI,241.94,195.07,65.9,38.73,entsoe.eu,False,
2021-01-01 23:00:00,Slovenia,Slovenia,SI,264.03,205.58,61.99,35.98,entsoe.eu,False,
2021-01-02 00:00:00,Slovenia,Slovenia,SI,290.54,235.33,58.38,34.19,entsoe.eu,False,
2021-01-02 01:00:00,Slovenia,Slovenia,SI,281.37,237.83,60.31,36.68,entsoe.eu,False,
2021-01-02 02:00:00,Slovenia,Slovenia,SI,322.25,245.34,52.72,30.47,entsoe.eu,False,
2021-01-02 03:00:00,Slovenia,Slovenia,SI,294.32,236.03,57.57,35.35,entsoe.eu,False,
2021-01-02 04:00:00,Slovenia,Slovenia,SI,299.92,240.16,56.8,33.95,entsoe.eu,False,
2021-01-02 05:00:00,Slovenia,Slovenia,SI,306.46,232.49,55.12,31.7,entsoe.eu,False,
2021-01-02 06:00:00,Slovenia,Slovenia,SI,245.3,224.65,66.25,43.98,entsoe.eu,False,
2021-01-02 07:00:00,Slovenia,Slovenia,SI,289.87,223.09,57.42,35.71,entsoe.eu,False,
2021-01-02 08:00:00,Slovenia,Slovenia,SI,261.91,210.27,62.15,41.43,entsoe.eu,False,
2021-01-02 09:00:00,Slovenia,Slovenia,SI,240.46,201.89,65.91,46.27,entsoe.eu,False,
2021-01-02 10:00:00,Slovenia,Slovenia,SI,234.54,203.63,68.28,48.9,entsoe.eu,False,
2021-01-02 11:00:00,Slovenia,Slovenia,SI,255.24,208.47,65.49,46.16,entsoe.eu,False,
2021-01-02 12:00:00,Slovenia,Slovenia,SI,235.97,205.23,67.19,47.25,entsoe.eu,False,
2021-01-02 13:00:00,Slovenia,Slovenia,SI,247.66,203.12,64.71,44.47,entsoe.eu,False,
2021-01-02 14:00:00,Slovenia,Slovenia,SI,241.85,205.27,67.97,48.71,entsoe.eu,False,
2021-01-02 15:00:00,Slovenia,Slovenia,SI,223.06,194.37,71.47,49.6,entsoe.eu,False,
2021-01-02 16:00:00,Slovenia,Slovenia,SI,204.47,177.64,73.79,48.81,entsoe.eu,False,
2021-01-02 17:00:00,Slovenia,Slovenia,SI,232.28,183.8,68.76,44.34,entsoe.eu,False,
2021-01-02 18:00:00,Slovenia,Slovenia,SI,187.81,182.48,77.39,53.84,entsoe.eu,False,
2021-01-02 19:00:00,Slovenia,Slovenia,SI,208.52,192.35,72.08,49.17,entsoe.eu,False,
2021-01-02 20:00:00,Slovenia,Slovenia,SI,238.2,206.22,67.08,43.79,entsoe.eu,False,
2021-01-02 21:00:00,Slovenia,Slovenia,SI,252.31,214.19,64.77,41.75,entsoe.eu,False,
