Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Brazil,South Brazil,BR-S,145.48,195.52,73.35,71.47,ons.org.br,False,
2021-01-01 01:00:00,Brazil,South Brazil,BR-S,170.71,225.2,68.86,66.31,ons.org.br,False,
2021-01-01 02:00:00,Brazil,South Brazil,BR-S,182.71,239.32,66.64,63.82,ons.org.br,False,
2021-01-01 03:00:00,Brazil,South Brazil,BR-S,198.97,257.66,64.63,61.57,ons.org.br,False,
2021-01-01 04:00:00,Brazil,South Brazil,BR-S,196.53,255.17,64.5,61.18,ons.org.br,False,
2021-01-01 05:00:00,Brazil,South Brazil,BR-S,195.75,253.87,65.13,61.84,ons.org.br,False,
2021-01-01 06:00:00,Brazil,South Brazil,BR-S,173.26,226.66,69.73,66.42,ons.org.br,False,
2021-01-01 07:00:00,Brazil,South Brazil,BR-S,158.08,208.46,72.51,69.15,ons.org.br,False,
2021-01-01 08:00:00,Brazil,South Brazil,BR-S,154.24,203.72,73.18,69.79,ons.org.br,False,
2021-01-01 09:00:00,Brazil,South Brazil,BR-S,153.78,203.2,73.26,69.77,ons.org.br,False,
2021-01-01 10:00:00,Brazil,South Brazil,BR-S,156.83,207.17,72.73,69.11,ons.org.br,False,
2021-01-01 11:00:00,Brazil,South Brazil,BR-S,154.66,204.81,73.1,69.51,ons.org.br,False,
2021-01-01 12:00:00,Brazil,South Brazil,BR-S,150.88,200.37,73.76,70.29,ons.org.br,False,
2021-01-01 13:00:00,Brazil,South Brazil,BR-S,145.88,194.21,74.63,71.34,ons.org.br,False,
2021-01-01 14:00:00,Brazil,South Brazil,BR-S,142.94,190.71,75.14,71.94,ons.org.br,False,
2021-01-01 15:00:00,Brazil,South Brazil,BR-S,142.85,190.55,75.16,72.03,ons.org.br,False,
2021-01-01 16:00:00,Brazil,South Brazil,BR-S,145.45,193.53,74.71,71.57,ons.org.br,False,
2021-01-01 17:00:00,Brazil,South Brazil,BR-S,145.56,193.58,74.69,71.61,ons.org.br,False,
2021-01-01 18:00:00,Brazil,South Brazil,BR-S,144.52,192.24,74.87,71.83,ons.org.br,False,
2021-01-01 19:00:00,Brazil,South Brazil,BR-S,140.3,187.24,75.6,72.69,ons.org.br,False,
2021-01-01 20:00:00,Brazil,South Brazil,BR-S,140.32,187.33,75.6,72.83,ons.org.br,False,
