Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Turkey,Turkey,TR,437.48,499.56,33.01,32.84,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 01:00:00,Turkey,Turkey,TR,435.31,496.79,33.82,33.67,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 02:00:00,Turkey,Turkey,TR,434.38,495.68,34.14,33.99,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 03:00:00,Turkey,Turkey,TR,434.5,495.8,34.09,33.93,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 04:00:00,Turkey,Turkey,TR,442.45,504.39,32.98,32.79,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 05:00:00,Turkey,Turkey,TR,446.62,509.04,32.29,32.21,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 06:00:00,Turkey,Turkey,TR,448.43,510.47,32.39,32.03,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 07:00:00,Turkey,Turkey,TR,446.21,509.31,31.96,31.41,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 08:00:00,Turkey,Turkey,TR,449.16,513.55,30.99,30.69,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 09:00:00,Turkey,Turkey,TR,432.31,496.26,32.91,32.65,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 10:00:00,Turkey,Turkey,TR,430.3,493.49,33.68,33.48,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 11:00:00,Turkey,Turkey,TR,434.73,499.01,32.49,32.19,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 12:00:00,Turkey,Turkey,TR,441.45,508.67,29.85,29.55,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 13:00:00,Turkey,Turkey,TR,443.18,512.87,28.08,27.89,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 14:00:00,Turkey,Turkey,TR,451.77,523.65,25.85,25.72,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 15:00:00,Turkey,Turkey,TR,427.47,496.69,29.95,29.84,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 16:00:00,Turkey,Turkey,TR,407.44,475.46,32.67,32.67,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 17:00:00,Turkey,Turkey,TR,412.95,481.34,31.87,31.77,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 18:00:00,Turkey,Turkey,TR,420.12,489.78,30.31,30.24,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 19:00:00,Turkey,Turkey,TR,429.36,500.27,28.6,28.56,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 20:00:00,Turkey,Turkey,TR,436.76,508.8,27.2,27.16,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 21:00:00,Turkey,Turkey,TR,449.79,522.96,25.27,25.2,epias.com.tr,False,
2021-01-01 22:00:00,Turkey,Turkey,TR,467.43,542.81,22.25,22.23,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-01 23:00:00,Turkey,Turkey,TR,489.62,568.04,18.22,18.07,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 00:00:00,Turkey,Turkey,TR,499.72,577.19,17.95,17.84,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 01:00:00,Turkey,Turkey,TR,501.84,578.49,18.38,18.35,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 02:00:00,Turkey,Turkey,TR,503.22,580.76,17.77,17.74,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 03:00:00,Turkey,Turkey,TR,503.09,581.06,17.51,17.45,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 04:00:00,Turkey,Turkey,TR,500.42,578.65,17.59,17.59,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 05:00:00,Turkey,Turkey,TR,498.31,576.72,17.58,17.58,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 06:00:00,Turkey,Turkey,TR,485.04,561.82,19.85,19.85,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 07:00:00,Turkey,Turkey,TR,467.4,542.51,22.61,22.61,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 08:00:00,Turkey,Turkey,TR,454.24,528.1,24.67,24.67,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 09:00:00,Turkey,Turkey,TR,446.8,520.14,25.76,25.76,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 10:00:00,Turkey,Turkey,TR,449.44,522.77,25.5,25.5,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 11:00:00,Turkey,Turkey,TR,450.95,524.78,24.98,24.98,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 12:00:00,Turkey,Turkey,TR,448.51,521.73,25.6,25.6,epias.com.tr; ytbs.teias.gov.tr,False,
2021-01-02 13:00:00,Turkey,Turkey,TR,444.05,516.65,26.39,26.39,epias.com.tr; ytbs.teias.gov.tr,False,
