Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,California Independent System Operator,US-CAL-CISO,238.34,317.41,44.75,33.74,caiso.com,False,
2021-01-01 01:00:00,USA,California Independent System Operator,US-CAL-CISO,247.81,328.38,42.52,32.22,caiso.com,False,
2021-01-01 02:00:00,USA,California Independent System Operator,US-CAL-CISO,248.45,328.77,42.59,32.21,caiso.com,False,
2021-01-01 03:00:00,USA,California Independent System Operator,US-CAL-CISO,257.2,339.16,40.93,30.08,caiso.com,False,
2021-01-01 04:00:00,USA,California Independent System Operator,US-CAL-CISO,261.56,343.63,40.6,29.52,caiso.com,False,
2021-01-01 05:00:00,USA,California Independent System Operator,US-CAL-CISO,263.47,345.78,40.38,28.85,caiso.com,False,
2021-01-01 06:00:00,USA,California Independent System Operator,US-CAL-CISO,261.18,342.61,41.26,29.21,caiso.com,False,
2021-01-01 07:00:00,USA,California Independent System Operator,US-CAL-CISO,256.1,336.0,42.77,30.11,caiso.com,False,
2021-01-01 08:00:00,USA,California Independent System Operator,US-CAL-CISO,256.07,335.45,43.22,30.27,caiso.com,False,
2021-01-01 09:00:00,USA,California Independent System Operator,US-CAL-CISO,247.52,325.62,44.9,31.57,caiso.com,False,
2021-01-01 10:00:00,USA,California Independent System Operator,US-CAL-CISO,241.93,319.07,46.07,32.43,caiso.com,False,
2021-01-01 11:00:00,USA,California Independent System Operator,US-CAL-CISO,243.5,321.12,45.72,31.85,caiso.com,False,
2021-01-01 12:00:00,USA,California Independent System Operator,US-CAL-CISO,243.44,321.47,45.47,31.91,caiso.com,False,
2021-01-01 13:00:00,USA,California Independent System Operator,US-CAL-CISO,246.31,324.63,45.07,31.76,caiso.com,False,
2021-01-01 14:00:00,USA,California Independent System Operator,US-CAL-CISO,249.97,329.06,44.32,31.26,caiso.com,False,
2021-01-01 15:00:00,USA,California Independent System Operator,US-CAL-CISO,230.51,306.32,48.34,35.89,caiso.com,False,
2021-01-01 16:00:00,USA,California Independent System Operator,US-CAL-CISO,166.36,229.97,62.73,51.98,caiso.com,False,
2021-01-01 17:00:00,USA,California Independent System Operator,US-CAL-CISO,131.46,188.39,70.52,60.9,caiso.com,False,
2021-01-01 18:00:00,USA,California Independent System Operator,US-CAL-CISO,116.02,169.64,74.41,64.4,caiso.com,False,
2021-01-01 19:00:00,USA,California Independent System Operator,US-CAL-CISO,113.58,166.97,75.06,65.09,caiso.com,False,
2021-01-01 20:00:00,USA,California Independent System Operator,US-CAL-CISO,115.54,169.37,74.62,64.08,caiso.com,False,
2021-01-01 21:00:00,USA,California Independent System Operator,US-CAL-CISO,119.23,173.86,73.77,63.03,caiso.com,False,
2021-01-01 22:00:00,USA,California Independent System Operator,US-CAL-CISO,135.1,192.74,70.14,59.1,caiso.com,False,
2021-01-01 23:00:00,USA,California Independent System Operator,US-CAL-CISO,175.49,241.12,60.81,49.11,caiso.com,False,
2021-01-02 00:00:00,USA,California Independent System Operator,US-CAL-CISO,239.87,318.06,45.97,33.44,caiso.com,False,
2021-01-02 01:00:00,USA,California Independent System Operator,US-CAL-CISO,260.49,343.36,40.47,29.08,caiso.com,False,
2021-01-02 02:00:00,USA,California Independent System Operator,US-CAL-CISO,264.37,347.59,39.84,28.62,caiso.com,False,
2021-01-02 03:00:00,USA,California Independent System Operator,US-CAL-CISO,264.84,347.75,40.04,28.63,caiso.com,False,
2021-01-02 04:00:00,USA,California Independent System Operator,US-CAL-CISO,267.39,350.62,39.7,28.17,caiso.com,False,
2021-01-02 05:00:00,USA,California Independent System Operator,US-CAL-CISO,269.78,353.14,39.42,27.44,caiso.com,False,
2021-01-02 06:00:00,USA,California Independent System Operator,US-CAL-CISO,269.2,352.77,39.49,26.99,caiso.com,False,
2021-01-02 07:00:00,USA,California Independent System Operator,US-CAL-CISO,259.48,341.41,41.56,28.26,caiso.com,False,
2021-01-02 08:00:00,USA,California Independent System Operator,US-CAL-CISO,251.29,331.82,43.14,29.53,caiso.com,False,
2021-01-02 09:00:00,USA,California Independent System Operator,US-CAL-CISO,244.89,324.74,44.27,30.27,caiso.com,False,
2021-01-02 10:00:00,USA,California Independent System Operator,US-CAL-CISO,234.05,310.93,47.29,32.95,caiso.com,False,
2021-01-02 11:00:00,USA,California Independent System Operator,US-CAL-CISO,238.02,315.37,46.77,32.23,caiso.com,False,
2021-01-02 12:00:00,USA,California Independent System Operator,US-CAL-CISO,234.07,310.08,47.84,33.69,caiso.com,False,
2021-01-02 13:00:00,USA,California Independent System Operator,US-CAL-CISO,227.81,301.68,49.53,35.98,caiso.com,False,
2021-01-02 14:00:00,USA,California Independent System Operator,US-CAL-CISO,224.56,297.61,50.2,37.19,caiso.com,False,
2021-01-02 15:00:00,USA,California Independent System Operator,US-CAL-CISO,210.27,280.18,53.65,41.25,caiso.com,False,
2021-01-02 16:00:00,USA,California Independent System Operator,US-CAL-CISO,170.81,233.15,62.46,50.9,caiso.com,False,
2021-01-02 17:00:00,USA,California Independent System Operator,US-CAL-CISO,136.33,191.51,70.63,59.9,caiso.com,False,
2021-01-02 18:00:00,USA,California Independent System Operator,US-CAL-CISO,125.2,178.4,72.99,62.66,caiso.com,False,
2021-01-02 19:00:00,USA,California Independent System Operator,US-CAL-CISO,119.4,171.31,74.27,63.84,caiso.com,False,
2021-01-02 20:00:00,USA,California Independent System Operator,US-CAL-CISO,121.39,173.22,74.0,63.2,caiso.com,False,
2021-01-02 21:00:00,USA,California Independent System Operator,US-CAL-CISO,123.89,176.3,73.21,62.51,caiso.com,False,
2021-01-02 22:00:00,USA,California Independent System Operator,US-CAL-CISO,145.14,201.93,68.34,56.86,caiso.com,False,
2021-01-02 23:00:00,USA,California Independent System Operator,US-CAL-CISO,187.29,252.86,58.42,46.08,caiso.com,False,
2021-01-03 00:00:00,USA,California Independent System Operator,US-CAL-CISO,231.76,307.02,47.51,35.48,caiso.com,False,
2021-01-03 01:00:00,USA,California Independent System Operator,US-CAL-CISO,239.66,316.18,45.61,34.77,caiso.com,False,
2021-01-03 02:00:00,USA,California Independent System Operator,US-CAL-CISO,240.9,317.7,45.34,34.57,caiso.com,False,
2021-01-03 03:00:00,USA,California Independent System Operator,US-CAL-CISO,241.06,317.23,45.7,34.74,caiso.com,False,
2021-01-03 04:00:00,USA,California Independent System Operator,US-CAL-CISO,239.37,314.87,46.35,35.12,caiso.com,False,
2021-01-03 05:00:00,USA,California Independent System Operator,US-CAL-CISO,230.86,304.29,48.51,36.64,caiso.com,False,
2021-01-03 06:00:00,USA,California Independent System Operator,US-CAL-CISO,226.39,299.11,49.43,37.04,caiso.com,False,
2021-01-03 07:00:00,USA,California Independent System Operator,US-CAL-CISO,219.39,290.7,51.25,38.01,caiso.com,False,
2021-01-03 08:00:00,USA,California Independent System Operator,US-CAL-CISO,222.83,295.23,50.65,37.25,caiso.com,False,
2021-01-03 09:00:00,USA,California Independent System Operator,US-CAL-CISO,219.01,290.61,51.68,37.95,caiso.com,False,
2021-01-03 10:00:00,USA,California Independent System Operator,US-CAL-CISO,211.67,281.17,53.61,39.59,caiso.com,False,
2021-01-03 11:00:00,USA,California Independent System Operator,US-CAL-CISO,205.92,274.67,54.55,40.57,caiso.com,False,
2021-01-03 12:00:00,USA,California Independent System Operator,US-CAL-CISO,205.63,274.92,54.32,40.58,caiso.com,False,
2021-01-03 13:00:00,USA,California Independent System Operator,US-CAL-CISO,202.3,271.15,54.91,41.5,caiso.com,False,
2021-01-03 14:00:00,USA,California Independent System Operator,US-CAL-CISO,198.24,265.98,55.72,42.95,caiso.com,False,
2021-01-03 15:00:00,USA,California Independent System Operator,US-CAL-CISO,189.76,255.67,57.84,45.68,caiso.com,False,
2021-01-03 16:00:00,USA,California Independent System Operator,US-CAL-CISO,156.38,216.04,65.43,54.58,caiso.com,False,
2021-01-03 17:00:00,USA,California Independent System Operator,US-CAL-CISO,137.4,194.0,69.73,59.42,caiso.com,False,
2021-01-03 18:00:00,USA,California Independent System Operator,US-CAL-CISO,130.58,186.13,71.49,60.91,caiso.com,False,
2021-01-03 19:00:00,USA,California Independent System Operator,US-CAL-CISO,124.63,179.58,72.75,62.43,caiso.com,False,
2021-01-03 20:00:00,USA,California Independent System Operator,US-CAL-CISO,125.8,180.86,72.63,62.08,caiso.com,False,
2021-01-03 21:00:00,USA,California Independent System Operator,US-CAL-CISO,134.43,191.25,70.6,59.86,caiso.com,False,
2021-01-03 22:00:00,USA,California Independent System Operator,US-CAL-CISO,151.09,211.41,66.48,55.62,caiso.com,False,
2021-01-03 23:00:00,USA,California Independent System Operator,US-CAL-CISO,192.05,260.82,56.62,44.8,caiso.com,False,
2021-01-04 00:00:00,USA,California Independent System Operator,US-CAL-CISO,243.74,322.19,44.96,32.57,caiso.com,False,
2021-01-04 01:00:00,USA,California Independent System Operator,US-CAL-CISO,259.57,341.39,40.85,29.94,caiso.com,False,
2021-01-04 02:00:00,USA,California Independent System Operator,US-CAL-CISO,262.1,344.87,40.06,29.43,caiso.com,False,
2021-01-04 03:00:00,USA,California Independent System Operator,US-CAL-CISO,265.99,349.28,39.44,28.59,caiso.com,False,
2021-01-04 04:00:00,USA,California Independent System Operator,US-CAL-CISO,268.67,352.11,39.3,28.16,caiso.com,False,
2021-01-04 05:00:00,USA,California Independent System Operator,US-CAL-CISO,267.79,350.51,40.02,28.45,caiso.com,False,
2021-01-04 06:00:00,USA,California Independent System Operator,US-CAL-CISO,269.55,352.79,39.64,27.46,caiso.com,False,
2021-01-04 07:00:00,USA,California Independent System Operator,US-CAL-CISO,263.88,345.7,41.28,28.06,caiso.com,False,
2021-01-04 08:00:00,USA,California Independent System Operator,US-CAL-CISO,265.09,346.58,41.37,27.64,caiso.com,False,
2021-01-04 09:00:00,USA,California Independent System Operator,US-CAL-CISO,263.37,343.82,42.3,28.36,caiso.com,False,
2021-01-04 10:00:00,USA,California Independent System Operator,US-CAL-CISO,263.33,344.02,42.13,28.11,caiso.com,False,
2021-01-04 11:00:00,USA,California Independent System Operator,US-CAL-CISO,261.29,341.39,42.69,28.88,caiso.com,False,
2021-01-04 12:00:00,USA,California Independent System Operator,US-CAL-CISO,265.97,347.24,41.43,28.25,caiso.com,False,
2021-01-04 13:00:00,USA,California Independent System Operator,US-CAL-CISO,266.65,348.85,40.51,28.62,caiso.com,False,
2021-01-04 14:00:00,USA,California Independent System Operator,US-CAL-CISO,260.65,341.4,41.69,30.72,caiso.com,False,
2021-01-04 15:00:00,USA,California Independent System Operator,US-CAL-CISO,241.67,318.8,45.68,35.21,caiso.com,False,
2021-01-04 16:00:00,USA,California Independent System Operator,US-CAL-CISO,190.68,256.95,57.76,48.18,caiso.com,False,
2021-01-04 17:00:00,USA,California Independent System Operator,US-CAL-CISO,157.94,217.75,65.18,55.64,caiso.com,False,
2021-01-04 18:00:00,USA,California Independent System Operator,US-CAL-CISO,151.55,210.74,66.33,56.91,caiso.com,False,
2021-01-04 19:00:00,USA,California Independent System Operator,US-CAL-CISO,151.48,210.89,66.27,56.54,caiso.com,False,
2021-01-04 20:00:00,USA,California Independent System Operator,US-CAL-CISO,144.11,201.89,67.8,57.97,caiso.com,False,
2021-01-04 21:00:00,USA,California Independent System Operator,US-CAL-CISO,134.99,190.41,69.76,60.33,caiso.com,False,
2021-01-04 22:00:00,USA,California Independent System Operator,US-CAL-CISO,135.14,189.97,69.68,60.59,caiso.com,False,
2021-01-04 23:00:00,USA,California Independent System Operator,US-CAL-CISO,165.29,226.25,62.6,53.05,caiso.com,False,
2021-01-05 00:00:00,USA,California Independent System Operator,US-CAL-CISO,215.61,286.66,50.97,40.09,caiso.com,False,
