Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,470.42,577.1,3.43,0.69,eia.gov,False,
2021-01-01 01:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,469.8,576.55,3.46,0.74,eia.gov,False,
2021-01-01 02:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,463.22,571.73,3.74,0.81,eia.gov,False,
2021-01-01 03:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,453.8,564.74,3.81,0.81,eia.gov,False,
2021-01-01 04:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,450.78,561.85,3.97,0.85,eia.gov,False,
2021-01-01 05:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,452.45,563.76,3.62,0.87,eia.gov,False,
2021-01-01 06:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,449.25,559.79,4.26,0.89,eia.gov,False,
2021-01-01 07:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,450.05,559.78,4.82,0.95,eia.gov,False,
2021-01-01 08:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,451.09,560.62,4.81,1.0,eia.gov,False,
2021-01-01 09:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,442.63,552.92,4.51,1.08,eia.gov,False,
2021-01-01 10:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,438.94,548.48,5.34,1.07,eia.gov,False,
2021-01-01 11:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,440.59,550.08,5.22,1.11,eia.gov,False,
2021-01-01 12:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,443.58,553.22,5.04,1.34,eia.gov,False,
2021-01-01 13:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,437.79,546.21,6.53,3.11,eia.gov,False,
2021-01-01 14:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,437.0,543.85,8.04,5.02,eia.gov,False,
2021-01-01 15:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,439.75,546.13,8.09,5.11,eia.gov,False,
2021-01-01 16:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,445.1,550.14,8.01,5.11,eia.gov,False,
2021-01-01 17:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,456.57,559.63,7.48,4.67,eia.gov,False,
2021-01-01 18:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,456.69,559.6,7.08,4.39,eia.gov,False,
2021-01-01 19:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,461.15,564.59,6.32,3.78,eia.gov,False,
2021-01-01 20:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,463.3,567.39,5.67,3.07,eia.gov,False,
2021-01-01 21:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,468.48,573.89,4.36,1.68,eia.gov,False,
2021-01-01 22:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,473.02,579.0,3.57,0.84,eia.gov,False,
2021-01-01 23:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,473.77,580.06,3.31,0.69,eia.gov,False,
2021-01-02 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,475.58,581.48,3.37,0.69,eia.gov,False,
2021-01-02 01:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,473.04,579.02,3.49,0.76,eia.gov,False,
2021-01-02 02:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,467.58,574.83,3.54,0.79,eia.gov,False,
2021-01-02 03:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,457.76,566.79,3.75,0.82,eia.gov,False,
2021-01-02 04:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,453.06,564.06,3.75,0.84,eia.gov,False,
2021-01-02 05:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,454.05,565.68,3.19,0.9,eia.gov,False,
2021-01-02 06:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,451.31,562.75,3.3,0.95,eia.gov,False,
2021-01-02 07:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,455.13,566.63,2.92,1.0,eia.gov,False,
2021-01-02 08:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,457.36,568.92,2.68,1.02,eia.gov,False,
2021-01-02 09:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,456.61,568.09,2.81,1.05,eia.gov,False,
2021-01-02 10:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,455.5,566.64,3.1,1.06,eia.gov,False,
2021-01-02 11:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,452.98,563.79,3.53,1.03,eia.gov,False,
2021-01-02 12:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,451.69,562.42,3.82,1.13,eia.gov,False,
2021-01-02 13:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,447.96,557.7,4.88,1.68,eia.gov,False,
2021-01-02 14:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,451.22,559.73,5.57,2.57,eia.gov,False,
2021-01-02 15:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,454.49,563.13,5.32,2.7,eia.gov,False,
2021-01-02 16:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,451.67,558.36,5.81,3.24,eia.gov,False,
2021-01-02 17:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,456.01,559.99,6.33,3.57,eia.gov,False,
2021-01-02 18:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,459.86,563.73,5.95,3.16,eia.gov,False,
2021-01-02 19:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,460.17,564.46,5.67,2.83,eia.gov,False,
2021-01-02 20:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,460.37,564.98,5.42,2.54,eia.gov,False,
2021-01-02 21:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,464.21,569.55,4.59,1.63,eia.gov,False,
2021-01-02 22:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,467.47,573.63,3.75,0.8,eia.gov,False,
2021-01-02 23:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,468.8,575.18,3.57,0.69,eia.gov,False,
2021-01-03 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,470.25,576.37,3.58,0.69,eia.gov,False,
2021-01-03 01:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,468.48,574.36,3.79,0.7,eia.gov,False,
2021-01-03 02:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,463.2,569.79,4.2,0.73,eia.gov,False,
2021-01-03 03:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,455.22,563.54,4.56,0.75,eia.gov,False,
2021-01-03 04:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,451.82,562.09,4.4,0.77,eia.gov,False,
2021-01-03 05:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,452.25,562.81,4.04,0.82,eia.gov,False,
2021-01-03 06:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,450.22,560.13,4.51,0.87,eia.gov,False,
2021-01-03 07:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,447.09,556.82,4.67,0.95,eia.gov,False,
2021-01-03 08:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,445.94,555.3,4.88,0.98,eia.gov,False,
2021-01-03 09:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,446.76,556.04,4.87,0.97,eia.gov,False,
2021-01-03 10:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,446.77,555.96,4.95,0.96,eia.gov,False,
2021-01-03 11:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,447.03,555.81,5.29,0.95,eia.gov,False,
2021-01-03 12:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,446.67,556.01,5.06,0.93,eia.gov,False,
2021-01-03 13:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,444.73,553.06,6.16,2.13,eia.gov,False,
2021-01-03 14:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,444.66,551.21,7.58,3.49,eia.gov,False,
2021-01-03 15:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,441.23,546.97,8.54,4.63,eia.gov,False,
2021-01-03 16:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,438.68,544.04,9.05,5.34,eia.gov,False,
2021-01-03 17:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,437.44,543.09,8.94,5.4,eia.gov,False,
2021-01-03 18:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,437.37,543.17,8.83,5.46,eia.gov,False,
2021-01-03 19:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,436.74,542.51,8.87,5.49,eia.gov,False,
2021-01-03 20:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,435.34,541.22,8.77,5.22,eia.gov,False,
2021-01-03 21:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,442.54,550.04,7.13,3.56,eia.gov,False,
2021-01-03 22:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,453.14,562.73,4.67,0.99,eia.gov,False,
2021-01-03 23:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,458.07,566.5,4.43,0.67,eia.gov,False,
2021-01-04 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,458.55,567.44,4.26,0.65,eia.gov,False,
2021-01-04 01:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,456.62,566.75,4.13,0.64,eia.gov,False,
2021-01-04 02:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,457.21,567.37,4.22,0.64,eia.gov,False,
2021-01-04 03:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,451.1,560.79,4.93,0.64,eia.gov,False,
2021-01-04 04:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,454.29,563.64,4.91,0.63,eia.gov,False,
2021-01-04 05:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,450.08,560.12,4.51,0.65,eia.gov,False,
2021-01-04 06:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,450.66,560.94,4.23,0.58,eia.gov,False,
2021-01-04 07:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,450.99,561.03,4.41,0.58,eia.gov,False,
2021-01-04 08:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,453.14,563.02,4.44,0.57,eia.gov,False,
2021-01-04 09:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,456.73,566.66,4.37,0.58,eia.gov,False,
2021-01-04 10:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,460.33,570.07,4.35,0.59,eia.gov,False,
2021-01-04 11:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,466.26,575.25,4.3,0.61,eia.gov,False,
2021-01-04 12:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,472.37,579.72,4.31,0.75,eia.gov,False,
2021-01-04 13:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,464.87,568.13,6.68,3.39,eia.gov,False,
2021-01-04 14:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,453.42,554.46,9.38,6.38,eia.gov,False,
2021-01-04 15:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,444.15,545.51,10.43,7.33,eia.gov,False,
2021-01-04 16:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,440.11,541.86,10.82,7.55,eia.gov,False,
2021-01-04 17:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,436.98,539.35,10.78,7.66,eia.gov,False,
2021-01-04 18:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,431.11,533.7,11.03,7.93,eia.gov,False,
2021-01-04 19:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,427.78,530.9,11.07,7.98,eia.gov,False,
2021-01-04 20:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,429.49,533.76,10.73,7.46,eia.gov,False,
2021-01-04 21:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,440.49,546.8,8.51,4.7,eia.gov,False,
2021-01-04 22:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,459.12,565.97,5.27,1.11,eia.gov,False,
2021-01-04 23:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,464.87,571.53,4.54,0.62,eia.gov,False,
2021-01-05 00:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,464.72,571.57,4.5,0.67,eia.gov,False,
2021-01-05 01:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,462.91,569.79,4.56,0.62,eia.gov,False,
2021-01-05 02:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,466.15,572.89,4.28,0.56,eia.gov,False,
2021-01-05 03:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,465.3,571.36,4.75,0.53,eia.gov,False,
2021-01-05 04:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,466.47,572.78,4.71,0.5,eia.gov,False,
2021-01-05 05:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,466.51,574.6,4.23,0.52,eia.gov,False,
2021-01-05 06:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,463.07,572.89,4.1,0.5,eia.gov,False,
2021-01-05 07:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,462.56,572.17,4.36,0.52,eia.gov,False,
2021-01-05 08:00:00,USA,Duke Energy Florida Inc,US-FLA-FPC,464.04,573.01,4.5,0.5,eia.gov,False,
